originAirport,destinationAirport,minPrice
CWB,BCN,783
CWB,BUE,268
CWB,EZE,289
CWB,LAX,612
CWB,LIS,721
CWB,MAD,764
CWB,MIA,577
CWB,NYC,548
CWB,OPO,898
LIS,ARN,144
LIS,ATH,126
LIS,BOS,453
LIS,CWB,861
LIS,GIG,607
LIS,GRU,636
LIS,JFK,404
LIS,KEF,183
LIS,LON,46
LIS,MIL,53
LIS,NAP,110
LIS,PAR,48
LIS,PMO,121
LIS,PRG,143
LIS,ROM,71
LIS,SVQ,32
LIS,VLC,37
MAD,BOS,341
MAD,CWB,739
MAD,NYC,336
MAD,SAO,606
MIL,CAG,39
MIL,CFU,70
MIL,CTA,46
MIL,DUS,44
MIL,HER,88
MIL,LAX,469
MIL,NYC,333
MIL,OSL,88
MIL,PMO,42
MIL,PRG,52
MIL,TGD,89
MIL,TIA,51
MIL,VIE,44
MIL,ZAD,40
MIL,ZAG,53
MIL,ZTH,171
OPO,AGP,37
OPO,BCN,26
OPO,BIO,46
OPO,BLQ,91
OPO,BOD,41
OPO,BRU,64
OPO,CWB,808
OPO,FNC,48
OPO,GIG,783
OPO,GRU,680
OPO,KEF,196
OPO,LON,58
OPO,LPA,86
OPO,MAD,29
OPO,MIL,48
OPO,MRS,53
OPO,NAP,98
OPO,PAR,45
OPO,PDL,81
OPO,PMO,110
OPO,PRG,107
OPO,ROM,73
OPO,TLS,45
OPO,VLC,45
PTO,CWB,147
SAO,LAX,491
SAO,LIS,549
SAO,NYC,511
SAO,OPO,714
