originAirport,destinationAirport,minPrice
CWB,BCN,684
CWB,BUE,175
CWB,EZE,190
CWB,LAX,707
CWB,LIS,724
CWB,MAD,659
CWB,MIA,578
CWB,NYC,593
CWB,OPO,749
LIS,ARN,92
LIS,ATH,106
LIS,BOS,305
LIS,CWB,616
LIS,GIG,540
LIS,GRU,550
LIS,JFK,318
LIS,KEF,136
LIS,LON,43
LIS,MIL,30
LIS,NAP,65
LIS,PAR,39
LIS,PMO,78
LIS,PRG,92
LIS,ROM,54
LIS,SVQ,30
LIS,VLC,36
MAD,BOS,293
MAD,CWB,670
MAD,NYC,289
MAD,SAO,517
MIL,CAG,21
MIL,CFU,50
MIL,CTA,23
MIL,DUS,64
MIL,HER,64
MIL,LAX,415
MIL,NYC,292
MIL,OSL,55
MIL,PMO,22
MIL,PRG,33
MIL,TGD,59
MIL,TIA,42
MIL,VIE,20
MIL,ZAD,35
MIL,ZAG,31
MIL,ZTH,91
OPO,AGP,37
OPO,BCN,32
OPO,BIO,32
OPO,BLQ,56
OPO,BOD,32
OPO,BRU,47
OPO,CWB,748
OPO,FNC,33
OPO,GIG,561
OPO,GRU,553
OPO,KEF,144
OPO,LON,31
OPO,LPA,51
OPO,MAD,27
OPO,MIL,36
OPO,MRS,42
OPO,NAP,60
OPO,PAR,34
OPO,PDL,52
OPO,PMO,64
OPO,PRG,79
OPO,ROM,65
OPO,TLS,32
OPO,VLC,35
PTO,CWB,138
SAO,LAX,561
SAO,LIS,525
SAO,NYC,535
SAO,OPO,593
