originAirport,destinationAirport,minPrice
CWB,BCN,776
CWB,BUE,290
CWB,EZE,378
CWB,LAX,662
CWB,LIS,843
CWB,MAD,764
CWB,MIA,558
CWB,NYC,598
CWB,OPO,840
LIS,ARN,136
LIS,ATH,131
LIS,BOS,419
LIS,CWB,891
LIS,GIG,536
LIS,GRU,617
LIS,JFK,359
LIS,KEF,187
LIS,LON,58
LIS,MIL,52
LIS,NAP,109
LIS,PAR,53
LIS,PMO,109
LIS,PRG,152
LIS,ROM,92
LIS,SVQ,42
LIS,VLC,60
MAD,BOS,388
MAD,CWB,789
MAD,NYC,336
MAD,SAO,602
MIL,CAG,51
MIL,CFU,58
MIL,CTA,39
MIL,DUS,39
MIL,HER,84
MIL,LAX,490
MIL,NYC,341
MIL,OSL,89
MIL,PMO,44
MIL,PRG,41
MIL,TGD,88
MIL,TIA,43
MIL,VIE,40
MIL,ZAD,27
MIL,ZAG,43
MIL,ZTH,149
OPO,AGP,37
OPO,BCN,53
OPO,BIO,41
OPO,BLQ,94
OPO,BOD,41
OPO,BRU,58
OPO,CWB,951
OPO,FNC,46
OPO,GIG,702
OPO,GRU,769
OPO,KEF,196
OPO,LON,57
OPO,LPA,87
OPO,MAD,29
OPO,MIL,49
OPO,MRS,52
OPO,NAP,105
OPO,PAR,54
OPO,PDL,83
OPO,PMO,153
OPO,PRG,131
OPO,ROM,64
OPO,TLS,30
OPO,VLC,53
PTO,CWB,160
SAO,LAX,566
SAO,LIS,630
SAO,NYC,506
SAO,OPO,653
