originAirport,destinationAirport,minPrice
CWB,BCN,775
CWB,BUE,312
CWB,EZE,375
CWB,LAX,660
CWB,LIS,748
CWB,MAD,763
CWB,MIA,559
CWB,NYC,600
CWB,OPO,771
LIS,ARN,136
LIS,ATH,147
LIS,BOS,418
LIS,CWB,849
LIS,GIG,690
LIS,GRU,616
LIS,JFK,358
LIS,KEF,197
LIS,LON,48
LIS,MIL,53
LIS,NAP,108
LIS,PAR,55
LIS,PMO,145
LIS,PRG,136
LIS,ROM,78
LIS,SVQ,33
LIS,VLC,52
MAD,BOS,390
MAD,CWB,788
MAD,NYC,335
MAD,SAO,671
MIL,CAG,51
MIL,CFU,58
MIL,CTA,39
MIL,DUS,39
MIL,HER,84
MIL,LAX,488
MIL,NYC,340
MIL,OSL,89
MIL,PMO,43
MIL,PRG,41
MIL,TGD,88
MIL,TIA,43
MIL,VIE,40
MIL,ZAD,27
MIL,ZAG,43
MIL,ZTH,146
OPO,AGP,38
OPO,BCN,53
OPO,BIO,31
OPO,BLQ,76
OPO,BOD,39
OPO,BRU,80
OPO,CWB,911
OPO,FNC,42
OPO,GIG,847
OPO,GRU,609
OPO,KEF,203
OPO,LON,65
OPO,LPA,61
OPO,MAD,34
OPO,MIL,48
OPO,MRS,45
OPO,NAP,111
OPO,PAR,53
OPO,PDL,82
OPO,PMO,137
OPO,PRG,126
OPO,ROM,65
OPO,TLS,29
OPO,VLC,47
PTO,CWB,160
SAO,LAX,565
SAO,LIS,666
SAO,NYC,502
SAO,OPO,667
