originAirport,destinationAirport,minPrice
CWB,BCN,663
CWB,BUE,173
CWB,EZE,300
CWB,LAX,683
CWB,LIS,792
CWB,MAD,650
CWB,MIA,590
CWB,NYC,611
CWB,OPO,732
LIS,ARN,138
LIS,ATH,103
LIS,BOS,303
LIS,CWB,604
LIS,GIG,529
LIS,GRU,536
LIS,JFK,311
LIS,KEF,129
LIS,LON,43
LIS,MIL,28
LIS,NAP,64
LIS,PAR,37
LIS,PMO,137
LIS,PRG,88
LIS,ROM,53
LIS,SVQ,29
LIS,VLC,42
MAD,BOS,270
MAD,CWB,665
MAD,NYC,276
MAD,SAO,642
MIL,CAG,54
MIL,CFU,61
MIL,CTA,20
MIL,DUS,42
MIL,HER,100
MIL,LAX,411
MIL,NYC,289
MIL,OSL,82
MIL,PMO,20
MIL,PRG,32
MIL,TGD,101
MIL,TIA,44
MIL,VIE,42
MIL,ZAD,43
MIL,ZAG,47
MIL,ZTH,90
OPO,AGP,37
OPO,BCN,32
OPO,BIO,55
OPO,BLQ,57
OPO,BOD,47
OPO,BRU,43
OPO,CWB,914
OPO,FNC,27
OPO,GIG,779
OPO,GRU,569
OPO,KEF,157
OPO,LON,30
OPO,LPA,51
OPO,MAD,26
OPO,MIL,31
OPO,MRS,45
OPO,NAP,56
OPO,PAR,31
OPO,PDL,50
OPO,PMO,61
OPO,PRG,79
OPO,ROM,62
OPO,TLS,28
OPO,VLC,37
PTO,CWB,147
SAO,LAX,510
SAO,LIS,501
SAO,NYC,522
SAO,OPO,572
