originAirport,destinationAirport,minPrice
CWB,BCN,663
CWB,BUE,170
CWB,EZE,179
CWB,LAX,679
CWB,LIS,718
CWB,MAD,646
CWB,MIA,600
CWB,NYC,609
CWB,OPO,732
LIS,ARN,90
LIS,ATH,103
LIS,BOS,301
LIS,CWB,599
LIS,GIG,544
LIS,GRU,546
LIS,JFK,307
LIS,KEF,129
LIS,LON,42
LIS,MIL,28
LIS,NAP,64
LIS,PAR,38
LIS,PMO,76
LIS,PRG,91
LIS,ROM,53
LIS,SVQ,32
LIS,VLC,36
MAD,BOS,266
MAD,CWB,655
MAD,NYC,280
MAD,SAO,492
MIL,CAG,23
MIL,CFU,49
MIL,CTA,21
MIL,DUS,63
MIL,HER,70
MIL,LAX,413
MIL,NYC,288
MIL,OSL,52
MIL,PMO,18
MIL,PRG,32
MIL,TGD,54
MIL,TIA,45
MIL,VIE,26
MIL,ZAD,33
MIL,ZAG,34
MIL,ZTH,87
OPO,AGP,37
OPO,BCN,32
OPO,BIO,30
OPO,BLQ,57
OPO,BOD,34
OPO,BRU,43
OPO,CWB,750
OPO,FNC,27
OPO,GIG,562
OPO,GRU,523
OPO,KEF,153
OPO,LON,26
OPO,LPA,51
OPO,MAD,26
OPO,MIL,31
OPO,MRS,42
OPO,NAP,57
OPO,PAR,31
OPO,PDL,44
OPO,PMO,62
OPO,PRG,79
OPO,ROM,58
OPO,TLS,29
OPO,VLC,37
PTO,CWB,140
SAO,LAX,549
SAO,LIS,509
SAO,NYC,521
SAO,OPO,568
