originAirport,destinationAirport,minPrice
CWB,BCN,784
CWB,BUE,276
CWB,EZE,301
CWB,LAX,687
CWB,LIS,751
CWB,MAD,736
CWB,MIA,576
CWB,NYC,564
CWB,OPO,959
LIS,ARN,139
LIS,ATH,142
LIS,BOS,481
LIS,CWB,848
LIS,GIG,662
LIS,GRU,614
LIS,JFK,408
LIS,KEF,218
LIS,LON,67
LIS,MIL,61
LIS,NAP,113
LIS,PAR,51
LIS,PMO,140
LIS,PRG,136
LIS,ROM,73
LIS,SVQ,33
LIS,VLC,45
MAD,BOS,375
MAD,CWB,783
MAD,NYC,333
MAD,SAO,643
MIL,CAG,54
MIL,CFU,65
MIL,CTA,35
MIL,DUS,46
MIL,HER,88
MIL,LAX,457
MIL,NYC,337
MIL,OSL,85
MIL,PMO,39
MIL,PRG,47
MIL,TGD,101
MIL,TIA,50
MIL,VIE,42
MIL,ZAD,42
MIL,ZAG,47
MIL,ZTH,157
OPO,AGP,39
OPO,BCN,36
OPO,BIO,41
OPO,BLQ,100
OPO,BOD,43
OPO,BRU,83
OPO,CWB,962
OPO,FNC,44
OPO,GIG,754
OPO,GRU,684
OPO,KEF,162
OPO,LON,64
OPO,LPA,84
OPO,MAD,32
OPO,MIL,42
OPO,MRS,59
OPO,NAP,93
OPO,PAR,50
OPO,PDL,85
OPO,PMO,139
OPO,PRG,122
OPO,ROM,78
OPO,TLS,55
OPO,VLC,43
PTO,CWB,148
SAO,LAX,501
SAO,LIS,551
SAO,NYC,491
SAO,OPO,707
