originAirport,destinationAirport,minPrice
CWB,BCN,774
CWB,BUE,339
CWB,EZE,299
CWB,LAX,690
CWB,LIS,795
CWB,MAD,780
CWB,MIA,571
CWB,NYC,589
CWB,OPO,792
LIS,ARN,144
LIS,ATH,128
LIS,BOS,455
LIS,CWB,873
LIS,GIG,659
LIS,GRU,620
LIS,JFK,410
LIS,KEF,169
LIS,LON,64
LIS,MIL,55
LIS,NAP,104
LIS,PAR,51
LIS,PMO,148
LIS,PRG,149
LIS,ROM,61
LIS,SVQ,51
LIS,VLC,37
MAD,BOS,363
MAD,CWB,843
MAD,NYC,323
MAD,SAO,629
MIL,CAG,35
MIL,CFU,58
MIL,CTA,37
MIL,DUS,45
MIL,HER,98
MIL,LAX,462
MIL,NYC,331
MIL,OSL,96
MIL,PMO,43
MIL,PRG,47
MIL,TGD,93
MIL,TIA,48
MIL,VIE,45
MIL,ZAD,38
MIL,ZAG,39
MIL,ZTH,148
OPO,AGP,44
OPO,BCN,33
OPO,BIO,48
OPO,BLQ,86
OPO,BOD,43
OPO,BRU,72
OPO,CWB,917
OPO,FNC,33
OPO,GIG,702
OPO,GRU,643
OPO,KEF,171
OPO,LON,61
OPO,LPA,62
OPO,MAD,27
OPO,MIL,41
OPO,MRS,55
OPO,NAP,110
OPO,PAR,42
OPO,PDL,70
OPO,PMO,92
OPO,PRG,136
OPO,ROM,66
OPO,TLS,34
OPO,VLC,43
PTO,CWB,149
SAO,LAX,482
SAO,LIS,630
SAO,NYC,528
SAO,OPO,678
