originAirport,destinationAirport,minPrice
CWB,BCN,779
CWB,BUE,312
CWB,EZE,365
CWB,LAX,672
CWB,LIS,804
CWB,MAD,767
CWB,MIA,558
CWB,NYC,599
CWB,OPO,843
LIS,ARN,144
LIS,ATH,144
LIS,BOS,396
LIS,CWB,895
LIS,GIG,665
LIS,GRU,652
LIS,JFK,339
LIS,KEF,176
LIS,LON,35
LIS,MIL,53
LIS,NAP,145
LIS,PAR,48
LIS,PMO,139
LIS,PRG,159
LIS,ROM,89
LIS,SVQ,32
LIS,VLC,36
MAD,BOS,399
MAD,CWB,792
MAD,NYC,337
MAD,SAO,675
MIL,CAG,50
MIL,CFU,58
MIL,CTA,40
MIL,DUS,40
MIL,HER,83
MIL,LAX,491
MIL,NYC,343
MIL,OSL,92
MIL,PMO,45
MIL,PRG,42
MIL,TGD,91
MIL,TIA,43
MIL,VIE,41
MIL,ZAD,25
MIL,ZAG,44
MIL,ZTH,142
OPO,AGP,34
OPO,BCN,54
OPO,BIO,66
OPO,BLQ,82
OPO,BOD,41
OPO,BRU,65
OPO,CWB,866
OPO,FNC,47
OPO,GIG,801
OPO,GRU,634
OPO,KEF,192
OPO,LON,60
OPO,LPA,89
OPO,MAD,35
OPO,MIL,43
OPO,MRS,44
OPO,NAP,92
OPO,PAR,48
OPO,PDL,69
OPO,PMO,160
OPO,PRG,140
OPO,ROM,51
OPO,TLS,29
OPO,VLC,42
PTO,CWB,161
SAO,LAX,566
SAO,LIS,669
SAO,NYC,504
SAO,OPO,678
