originAirport,destinationAirport,minPrice
CWB,BCN,779
CWB,BUE,290
CWB,EZE,300
CWB,LAX,683
CWB,LIS,806
CWB,MAD,735
CWB,MIA,564
CWB,NYC,575
CWB,OPO,867
LIS,ARN,138
LIS,ATH,118
LIS,BOS,434
LIS,CWB,842
LIS,GIG,566
LIS,GRU,576
LIS,JFK,406
LIS,KEF,212
LIS,LON,68
LIS,MIL,60
LIS,NAP,124
LIS,PAR,48
LIS,PMO,131
LIS,PRG,136
LIS,ROM,57
LIS,SVQ,30
LIS,VLC,38
MAD,BOS,371
MAD,CWB,778
MAD,NYC,330
MAD,SAO,642
MIL,CAG,53
MIL,CFU,60
MIL,CTA,33
MIL,DUS,42
MIL,HER,96
MIL,LAX,452
MIL,NYC,333
MIL,OSL,82
MIL,PMO,36
MIL,PRG,47
MIL,TGD,101
MIL,TIA,49
MIL,VIE,42
MIL,ZAD,43
MIL,ZAG,47
MIL,ZTH,160
OPO,AGP,58
OPO,BCN,32
OPO,BIO,59
OPO,BLQ,81
OPO,BOD,40
OPO,BRU,53
OPO,CWB,787
OPO,FNC,39
OPO,GIG,695
OPO,GRU,569
OPO,KEF,192
OPO,LON,67
OPO,LPA,87
OPO,MAD,31
OPO,MIL,40
OPO,MRS,58
OPO,NAP,112
OPO,PAR,45
OPO,PDL,67
OPO,PMO,135
OPO,PRG,130
OPO,ROM,86
OPO,TLS,36
OPO,VLC,59
PTO,CWB,147
SAO,LAX,505
SAO,LIS,567
SAO,NYC,506
SAO,OPO,656
