originAirport,destinationAirport,minPrice
CWB,BCN,771
CWB,BUE,338
CWB,EZE,305
CWB,LAX,696
CWB,LIS,830
CWB,MAD,777
CWB,MIA,565
CWB,NYC,588
CWB,OPO,819
LIS,ARN,134
LIS,ATH,140
LIS,BOS,453
LIS,CWB,877
LIS,GIG,651
LIS,GRU,570
LIS,JFK,378
LIS,KEF,177
LIS,LON,53
LIS,MIL,55
LIS,NAP,113
LIS,PAR,44
LIS,PMO,145
LIS,PRG,159
LIS,ROM,73
LIS,SVQ,32
LIS,VLC,39
MAD,BOS,359
MAD,CWB,838
MAD,NYC,319
MAD,SAO,621
MIL,CAG,41
MIL,CFU,58
MIL,CTA,35
MIL,DUS,45
MIL,HER,94
MIL,LAX,470
MIL,NYC,330
MIL,OSL,92
MIL,PMO,42
MIL,PRG,48
MIL,TGD,94
MIL,TIA,49
MIL,VIE,44
MIL,ZAD,37
MIL,ZAG,39
MIL,ZTH,148
OPO,AGP,45
OPO,BCN,33
OPO,BIO,47
OPO,BLQ,90
OPO,BOD,41
OPO,BRU,70
OPO,CWB,926
OPO,FNC,39
OPO,GIG,538
OPO,GRU,619
OPO,KEF,163
OPO,LON,62
OPO,LPA,80
OPO,MAD,32
OPO,MIL,49
OPO,MRS,57
OPO,NAP,110
OPO,PAR,47
OPO,PDL,59
OPO,PMO,101
OPO,PRG,133
OPO,ROM,82
OPO,TLS,32
OPO,VLC,43
PTO,CWB,149
SAO,LAX,466
SAO,LIS,568
SAO,NYC,522
SAO,OPO,651
