originAirport,destinationAirport,minPrice
CWB,BCN,780
CWB,BUE,313
CWB,EZE,368
CWB,LAX,668
CWB,LIS,857
CWB,MAD,768
CWB,MIA,562
CWB,NYC,604
CWB,OPO,845
LIS,ARN,137
LIS,ATH,131
LIS,BOS,381
LIS,CWB,833
LIS,GIG,633
LIS,GRU,617
LIS,JFK,340
LIS,KEF,168
LIS,LON,39
LIS,MIL,57
LIS,NAP,114
LIS,PAR,48
LIS,PMO,197
LIS,PRG,159
LIS,ROM,73
LIS,SVQ,34
LIS,VLC,30
MAD,BOS,401
MAD,CWB,793
MAD,NYC,338
MAD,SAO,630
MIL,CAG,50
MIL,CFU,59
MIL,CTA,40
MIL,DUS,40
MIL,HER,81
MIL,LAX,491
MIL,NYC,343
MIL,OSL,88
MIL,PMO,45
MIL,PRG,41
MIL,TGD,88
MIL,TIA,44
MIL,VIE,40
MIL,ZAD,26
MIL,ZAG,44
MIL,ZTH,148
OPO,AGP,37
OPO,BCN,44
OPO,BIO,75
OPO,BLQ,97
OPO,BOD,40
OPO,BRU,79
OPO,CWB,953
OPO,FNC,47
OPO,GIG,796
OPO,GRU,763
OPO,KEF,234
OPO,LON,65
OPO,LPA,88
OPO,MAD,34
OPO,MIL,42
OPO,MRS,54
OPO,NAP,94
OPO,PAR,47
OPO,PDL,62
OPO,PMO,124
OPO,PRG,134
OPO,ROM,50
OPO,TLS,31
OPO,VLC,39
PTO,CWB,162
SAO,LAX,566
SAO,LIS,675
SAO,NYC,506
SAO,OPO,674
