originAirport,destinationAirport,minPrice
CWB,BCN,781
CWB,BUE,291
CWB,EZE,301
CWB,LAX,683
CWB,LIS,808
CWB,MAD,737
CWB,MIA,563
CWB,NYC,573
CWB,OPO,909
LIS,ARN,135
LIS,ATH,129
LIS,BOS,429
LIS,CWB,844
LIS,GIG,567
LIS,GRU,567
LIS,JFK,408
LIS,KEF,214
LIS,LON,62
LIS,MIL,53
LIS,NAP,128
LIS,PAR,48
LIS,PMO,123
LIS,PRG,136
LIS,ROM,64
LIS,SVQ,34
LIS,VLC,32
MAD,BOS,372
MAD,CWB,782
MAD,NYC,331
MAD,SAO,638
MIL,CAG,54
MIL,CFU,59
MIL,CTA,33
MIL,DUS,42
MIL,HER,88
MIL,LAX,454
MIL,NYC,334
MIL,OSL,83
MIL,PMO,37
MIL,PRG,47
MIL,TGD,101
MIL,TIA,51
MIL,VIE,42
MIL,ZAD,42
MIL,ZAG,46
MIL,ZTH,162
OPO,AGP,35
OPO,BCN,31
OPO,BIO,49
OPO,BLQ,107
OPO,BOD,50
OPO,BRU,56
OPO,CWB,958
OPO,FNC,41
OPO,GIG,537
OPO,GRU,723
OPO,KEF,200
OPO,LON,57
OPO,LPA,71
OPO,MAD,29
OPO,MIL,44
OPO,MRS,54
OPO,NAP,111
OPO,PAR,46
OPO,PDL,48
OPO,PMO,109
OPO,PRG,123
OPO,ROM,66
OPO,TLS,39
OPO,VLC,52
PTO,CWB,147
SAO,LAX,507
SAO,LIS,456
SAO,NYC,494
SAO,OPO,640
