originAirport,destinationAirport,minPrice
CWB,BCN,685
CWB,BUE,176
CWB,EZE,190
CWB,LAX,708
CWB,LIS,725
CWB,MAD,660
CWB,MIA,597
CWB,NYC,594
CWB,OPO,970
LIS,ARN,137
LIS,ATH,106
LIS,BOS,306
LIS,CWB,617
LIS,GIG,541
LIS,GRU,551
LIS,JFK,410
LIS,KEF,186
LIS,LON,43
LIS,MIL,30
LIS,NAP,65
LIS,PAR,39
LIS,PMO,78
LIS,PRG,92
LIS,ROM,54
LIS,SVQ,30
LIS,VLC,27
MAD,BOS,293
MAD,CWB,671
MAD,NYC,289
MAD,SAO,518
MIL,CAG,21
MIL,CFU,74
MIL,CTA,23
MIL,DUS,64
MIL,HER,64
MIL,LAX,416
MIL,NYC,293
MIL,OSL,55
MIL,PMO,40
MIL,PRG,33
MIL,TGD,59
MIL,TIA,42
MIL,VIE,46
MIL,ZAD,35
MIL,ZAG,39
MIL,ZTH,156
OPO,AGP,35
OPO,BCN,32
OPO,BIO,48
OPO,BLQ,56
OPO,BOD,32
OPO,BRU,47
OPO,CWB,749
OPO,FNC,33
OPO,GIG,726
OPO,GRU,553
OPO,KEF,163
OPO,LON,31
OPO,LPA,51
OPO,MAD,27
OPO,MIL,36
OPO,MRS,42
OPO,NAP,60
OPO,PAR,34
OPO,PDL,52
OPO,PMO,64
OPO,PRG,80
OPO,ROM,63
OPO,TLS,33
OPO,VLC,35
PTO,CWB,173
SAO,LAX,562
SAO,LIS,526
SAO,NYC,536
SAO,OPO,594
