originAirport,destinationAirport,minPrice
CWB,BCN,771
CWB,BUE,322
CWB,EZE,305
CWB,LAX,688
CWB,LIS,830
CWB,MAD,776
CWB,MIA,567
CWB,NYC,586
CWB,OPO,847
LIS,ARN,171
LIS,ATH,103
LIS,BOS,452
LIS,CWB,869
LIS,GIG,661
LIS,GRU,618
LIS,JFK,416
LIS,KEF,219
LIS,LON,58
LIS,MIL,61
LIS,NAP,113
LIS,PAR,56
LIS,PMO,145
LIS,PRG,141
LIS,ROM,52
LIS,SVQ,39
LIS,VLC,39
MAD,BOS,361
MAD,CWB,837
MAD,NYC,322
MAD,SAO,627
MIL,CAG,42
MIL,CFU,58
MIL,CTA,35
MIL,DUS,45
MIL,HER,97
MIL,LAX,460
MIL,NYC,326
MIL,OSL,94
MIL,PMO,43
MIL,PRG,45
MIL,TGD,93
MIL,TIA,49
MIL,VIE,45
MIL,ZAD,38
MIL,ZAG,38
MIL,ZTH,148
OPO,AGP,61
OPO,BCN,33
OPO,BIO,49
OPO,BLQ,92
OPO,BOD,47
OPO,BRU,70
OPO,CWB,882
OPO,FNC,32
OPO,GIG,700
OPO,GRU,647
OPO,KEF,227
OPO,LON,65
OPO,LPA,75
OPO,MAD,33
OPO,MIL,39
OPO,MRS,54
OPO,NAP,108
OPO,PAR,43
OPO,PDL,70
OPO,PMO,118
OPO,PRG,132
OPO,ROM,56
OPO,TLS,30
OPO,VLC,48
PTO,CWB,147
SAO,LAX,478
SAO,LIS,632
SAO,NYC,522
SAO,OPO,704
