originAirport,destinationAirport,minPrice
CWB,BCN,647
CWB,BUE,171
CWB,EZE,366
CWB,LAX,661
CWB,LIS,772
CWB,MAD,656
CWB,MIA,600
CWB,NYC,590
CWB,OPO,837
LIS,ARN,135
LIS,ATH,154
LIS,BOS,417
LIS,CWB,888
LIS,GIG,558
LIS,GRU,613
LIS,JFK,359
LIS,KEF,191
LIS,LON,43
LIS,MIL,45
LIS,NAP,124
LIS,PAR,52
LIS,PMO,146
LIS,PRG,153
LIS,ROM,73
LIS,SVQ,38
LIS,VLC,35
MAD,BOS,275
MAD,CWB,786
MAD,NYC,335
MAD,SAO,591
MIL,CAG,50
MIL,CFU,58
MIL,CTA,39
MIL,DUS,41
MIL,HER,68
MIL,LAX,488
MIL,NYC,340
MIL,OSL,74
MIL,PMO,20
MIL,PRG,29
MIL,TGD,87
MIL,TIA,50
MIL,VIE,28
MIL,ZAD,37
MIL,ZAG,31
MIL,ZTH,146
OPO,AGP,51
OPO,BCN,52
OPO,BIO,35
OPO,BLQ,107
OPO,BOD,40
OPO,BRU,57
OPO,CWB,947
OPO,FNC,46
OPO,GIG,837
OPO,GRU,755
OPO,KEF,187
OPO,LON,61
OPO,LPA,56
OPO,MAD,28
OPO,MIL,49
OPO,MRS,41
OPO,NAP,122
OPO,PAR,45
OPO,PDL,71
OPO,PMO,146
OPO,PRG,80
OPO,ROM,70
OPO,TLS,34
OPO,VLC,41
PTO,CWB,159
SAO,LAX,550
SAO,LIS,612
SAO,NYC,533
SAO,OPO,679
