originAirport,destinationAirport,minPrice
CWB,BCN,645
CWB,BUE,313
CWB,EZE,186
CWB,LAX,692
CWB,LIS,711
CWB,MAD,775
CWB,MIA,608
CWB,NYC,618
CWB,OPO,731
LIS,ARN,110
LIS,ATH,106
LIS,BOS,309
LIS,CWB,623
LIS,GIG,703
LIS,GRU,537
LIS,JFK,160
LIS,KEF,152
LIS,LON,43
LIS,MIL,27
LIS,NAP,114
LIS,PAR,38
LIS,PMO,134
LIS,PRG,94
LIS,ROM,54
LIS,SVQ,31
LIS,VLC,42
MAD,BOS,284
MAD,CWB,794
MAD,NYC,292
MAD,SAO,676
MIL,CAG,23
MIL,CFU,57
MIL,CTA,23
MIL,DUS,66
MIL,HER,72
MIL,LAX,414
MIL,NYC,281
MIL,OSL,58
MIL,PMO,45
MIL,PRG,30
MIL,TGD,46
MIL,TIA,43
MIL,VIE,21
MIL,ZAD,39
MIL,ZAG,35
MIL,ZTH,92
OPO,AGP,46
OPO,BCN,33
OPO,BIO,35
OPO,BLQ,54
OPO,BOD,42
OPO,BRU,48
OPO,CWB,954
OPO,FNC,28
OPO,GIG,563
OPO,GRU,572
OPO,KEF,163
OPO,LON,31
OPO,LPA,90
OPO,MAD,27
OPO,MIL,31
OPO,MRS,41
OPO,NAP,57
OPO,PAR,33
OPO,PDL,53
OPO,PMO,114
OPO,PRG,81
OPO,ROM,76
OPO,TLS,43
OPO,VLC,41
PTO,CWB,141
SAO,LAX,561
SAO,LIS,546
SAO,NYC,535
SAO,OPO,679
