City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Incheon,Coreia do Sul,2265,569.51,LOT,ICN,2023-11-26,2023-12-03,http://kayak.com/flights/MAD-ICN/2023-11-26/2023-12-03/,569.51,1.0
Paris,França,130,66.36,Ryanair,PAR,2024-01-19,2024-01-23,http://kayak.com/flights/MAD-PAR/2024-01-19/2024-01-23/,66.36,1.0
Londres,Reino Unido,150,56.22,Ryanair,LON,2023-09-20,2023-09-27,http://kayak.com/flights/MAD-LON/2023-09-20/2023-09-27/,56.22,1.0
Los Angeles,Estados Unidos,1705,566.75,ITA Airways,LAX,2024-03-15,2024-03-20,http://kayak.com/flights/MAD-LAX/2024-03-15/2024-03-20/,566.75,1.0
Nova Iorque,Estados Unidos,1495,274.62,PLAY,NYC,2023-11-24,2023-11-30,http://kayak.com/flights/MAD-NYC/2023-11-24/2023-11-30/,274.62,1.0
Copenhaga,Dinamarca,1585,96.77,TAP AIR PORTUGAL,CPH,2023-12-05,2023-12-09,http://kayak.com/flights/MAD-CPH/2023-12-05/2023-12-09/,96.77,1.0
São Francisco,Estados Unidos,1605,407.32,TAP AIR PORTUGAL,SFO,2024-03-04,2024-03-11,http://kayak.com/flights/MAD-SFO/2024-03-04/2024-03-11/,407.32,1.0
Barcelona,Espanha,85,35.02,Vueling,BCN,2023-07-20,2023-07-24,http://kayak.com/flights/MAD-BCN/2023-07-20/2023-07-24/,35.02,1.0
Banguecoque,Tailândia,1675,703.13,Emirates,BKK,2023-06-14,2023-06-21,http://kayak.com/flights/MAD-BKK/2023-06-14/2023-06-21/,703.13,1.0
Miami,Estados Unidos,790,404.56,TAP AIR PORTUGAL,MIA,2024-01-23,2024-01-30,http://kayak.com/flights/MAD-MIA/2024-01-23/2024-01-30/,404.56,1.0
Frankfurt,Alemanha,380,98.61,Ryanair,FRA,2023-09-23,2023-09-27,http://kayak.com/flights/MAD-FRA/2023-09-23/2023-09-27/,98.61,1.0
Viena,Áustria,915,85.71,Ryanair,VIE,2023-09-06,2023-09-13,http://kayak.com/flights/MAD-VIE/2023-09-06/2023-09-13/,85.71,1.0
Boston,Estados Unidos,1500,294.89,PLAY,BOS,2023-11-20,2023-11-26,http://kayak.com/flights/MAD-BOS/2023-11-20/2023-11-26/,294.89,1.0
Lisboa,Portugal,80,45.16,TAP AIR PORTUGAL,LIS,2024-01-25,2024-01-29,http://kayak.com/flights/MAD-LIS/2024-01-25/2024-01-29/,45.16,1.0
Amesterdão,Holanda,165,110.59,Iberia Express,AMS,2024-03-04,2024-03-08,http://kayak.com/flights/MAD-AMS/2024-03-04/2024-03-08/,110.59,1.0
Nova Deli,Índia,905,517.9,Várias companhias aéreas,DEL,2024-01-17,2024-01-24,http://kayak.com/flights/MAD-DEL/2024-01-17/2024-01-24/,517.9,1.0
Istambul,Turquia,955,136.39,Aegean Airlines,IST,2024-03-01,2024-03-08,http://kayak.com/flights/MAD-IST/2024-03-01/2024-03-08/,136.39,1.0
Las Vegas,Estados Unidos,1080,611.9,Delta,LAS,2024-02-13,2024-02-20,http://kayak.com/flights/MAD-LAS/2024-02-13/2024-02-20/,611.9,1.0
