City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Incheon,Coreia do Sul,3680,830.33,LOT,ICN,2023-05-24,2023-05-29,http://kayak.com/flights/MAD-ICN/2023-05-24/2023-05-29/,830.33,1.0
Paris,França,610,38.78,Ryanair,PAR,2023-03-22,2023-03-29,http://kayak.com/flights/MAD-PAR/2023-03-22/2023-03-29/,38.78,1.0
Nova Iorque,Estados Unidos,1075,313.03,Várias companhias aéreas,NYC,2023-04-19,2023-04-25,http://kayak.com/flights/MAD-NYC/2023-04-19/2023-04-25/,313.03,1.0
Los Angeles,Estados Unidos,1118,558.91,United Airlines,LAX,2023-03-15,2023-03-21,http://kayak.com/flights/MAD-LAX/2023-03-15/2023-03-21/,558.91,1.0
Londres,Reino Unido,150,38.78,Ryanair,LON,2023-05-03,2023-05-09,http://kayak.com/flights/MAD-LON/2023-05-03/2023-05-09/,38.78,1.0
Copenhaga,Dinamarca,590,102.14,Ryanair,CPH,2023-06-03,2023-06-10,http://kayak.com/flights/MAD-CPH/2023-06-03/2023-06-10/,102.14,1.0
Banguecoque,Tailândia,1750,660.1,Etihad Airways,BKK,2023-05-15,2023-05-22,http://kayak.com/flights/MAD-BKK/2023-05-15/2023-05-22/,660.1,1.0
Miami,Estados Unidos,1685,418.0,TAP AIR PORTUGAL,MIA,2023-10-11,2023-10-17,http://kayak.com/flights/MAD-MIA/2023-10-11/2023-10-17/,418.0,1.0
São Francisco,Estados Unidos,930,533.38,Várias companhias aéreas,SFO,2023-04-19,2023-04-26,http://kayak.com/flights/MAD-SFO/2023-04-19/2023-04-26/,533.38,1.0
Barcelona,Espanha,90,26.48,Vueling,BCN,2023-04-13,2023-04-20,http://kayak.com/flights/MAD-BCN/2023-04-13/2023-04-20/,26.48,1.0
Boston,Estados Unidos,1715,411.38,Várias companhias aéreas,BOS,2023-10-21,2023-10-27,http://kayak.com/flights/MAD-BOS/2023-10-21/2023-10-27/,411.38,1.0
Lisboa,Portugal,85,29.32,easyJet,LIS,2023-03-21,2023-03-28,http://kayak.com/flights/MAD-LIS/2023-03-21/2023-03-28/,29.32,1.0
Viena,Áustria,185,46.34,Ryanair,VIE,2023-06-21,2023-06-28,http://kayak.com/flights/MAD-VIE/2023-06-21/2023-06-28/,46.34,1.0
Frankfurt,Alemanha,665,74.72,Ryanair,FRA,2023-03-22,2023-03-28,http://kayak.com/flights/MAD-FRA/2023-03-22/2023-03-28/,74.72,1.0
Amesterdão,Holanda,730,127.67,Várias companhias aéreas,AMS,2023-03-29,2023-04-03,http://kayak.com/flights/MAD-AMS/2023-03-29/2023-04-03/,127.67,1.0
Las Vegas,Estados Unidos,1567,658.21,Air Canada,LAS,2023-10-09,2023-10-16,http://kayak.com/flights/MAD-LAS/2023-10-09/2023-10-16/,658.21,1.0
Roma,Itália,650,53.91,Ryanair,ROM,2023-04-19,2023-04-26,http://kayak.com/flights/MAD-ROM/2023-04-19/2023-04-26/,53.91,1.0
Newark,Estados Unidos,865,362.21,TAP AIR PORTUGAL,EWR,2023-11-17,2023-11-24,http://kayak.com/flights/MAD-EWR/2023-11-17/2023-11-24/,362.21,1.0
Nova Deli,Índia,955,620.38,Finnair,DEL,2023-04-26,2023-04-30,http://kayak.com/flights/MAD-DEL/2023-04-26/2023-04-30/,620.38,1.0
Atlanta,Estados Unidos,1663,597.69,United Airlines,ATL,2023-03-14,2023-03-21,http://kayak.com/flights/MAD-ATL/2023-03-14/2023-03-21/,597.69,1.0
Manila,Filipinas,1765,781.15,Etihad Airways,MNL,2023-06-07,2023-06-11,http://kayak.com/flights/MAD-MNL/2023-06-07/2023-06-11/,781.15,1.0
Seattle,Estados Unidos,1455,740.49,Air France,SEA,2023-04-16,2023-04-23,http://kayak.com/flights/MAD-SEA/2023-04-16/2023-04-23/,740.49,1.0
Dubai,Emirados Árabes Unidos,1400,360.32,Várias companhias aéreas,DXB,2023-03-22,2023-03-27,http://kayak.com/flights/MAD-DXB/2023-03-22/2023-03-27/,360.32,1.0
Bogotá,Colômbia,1635,533.38,Air France,BOG,2023-10-31,2023-11-06,http://kayak.com/flights/MAD-BOG/2023-10-31/2023-11-06/,533.38,1.0
Munique,Alemanha,165,138.08,Iberia,MUC,2023-05-16,2023-05-23,http://kayak.com/flights/MAD-MUC/2023-05-16/2023-05-23/,138.08,1.0
Berlim,Alemanha,185,105.92,Iberia,BER,2023-10-06,2023-10-10,http://kayak.com/flights/MAD-BER/2023-10-06/2023-10-10/,105.92,1.0
Dallas,Estados Unidos,1020,626.06,Air Canada,DFW,2023-10-11,2023-10-17,http://kayak.com/flights/MAD-DFW/2023-10-11/2023-10-17/,626.06,1.0
Denver,Estados Unidos,1136,736.71,KLM,DEN,2023-03-08,2023-03-12,http://kayak.com/flights/MAD-DEN/2023-03-08/2023-03-12/,736.71,1.0
Singapura,Singapura,1790,752.78,Turkish Airlines,SIN,2023-04-04,2023-04-10,http://kayak.com/flights/MAD-SIN/2023-04-04/2023-04-10/,752.78,1.0
Cancún,México,830,480.42,TAP AIR PORTUGAL,CUN,2023-10-03,2023-10-10,http://kayak.com/flights/MAD-CUN/2023-10-03/2023-10-10/,480.42,1.0
Atenas,Grécia,790,127.67,Várias companhias aéreas,ATH,2023-05-03,2023-05-09,http://kayak.com/flights/MAD-ATH/2023-05-03/2023-05-09/,127.67,1.0
Chicago,Estados Unidos,1435,363.15,KLM,ORD,2023-03-08,2023-03-15,http://kayak.com/flights/MAD-ORD/2023-03-08/2023-03-15/,363.15,1.0
Cidade do México,México,2775,698.88,United Airlines,MEX,2023-09-03,2023-09-10,http://kayak.com/flights/MAD-MEX/2023-09-03/2023-09-10/,698.88,1.0
Zurique,Suíça,140,105.92,Air Europa,ZRH,2023-06-03,2023-06-10,http://kayak.com/flights/MAD-ZRH/2023-06-03/2023-06-10/,105.92,1.0
Orlando,Estados Unidos,1086,582.56,United Airlines,MCO,2023-03-14,2023-03-21,http://kayak.com/flights/MAD-MCO/2023-03-14/2023-03-21/,582.56,1.0
Sydney,Austrália,1775,1518.8,Várias companhias aéreas,SYD,2023-10-23,2023-10-30,http://kayak.com/flights/MAD-SYD/2023-10-23/2023-10-30/,1518.8,1.0
Telavive,Israel,1280,149.43,Várias companhias aéreas,TLV,2023-05-22,2023-05-29,http://kayak.com/flights/MAD-TLV/2023-05-22/2023-05-29/,149.43,1.0
Fort Lauderdale,Estados Unidos,1019,363.15,Delta,FLL,2023-03-08,2023-03-14,http://kayak.com/flights/MAD-FLL/2023-03-08/2023-03-14/,363.15,1.0
