City,Country,Duration,Price,Airline,Airport,Depart,Return,Link
Jerez de la Frontera,Espanha,440,149.83,Iberia,XRY,2023-06-17,2023-06-24,http://kayak.com/flights/OPO-XRY/2023-06-17/2023-06-24/
Kayseri,Turquia,815,429.13,Várias companhias aéreas,ASR,2023-06-16,2023-06-20,http://kayak.com/flights/OPO-ASR/2023-06-16/2023-06-20/
Lajes,Portugal,530,105.44,TAP AIR PORTUGAL,TER,2023-06-14,2023-06-21,http://kayak.com/flights/OPO-TER/2023-06-14/2023-06-21/
Las Palmas,Espanha,165,82.31,Ryanair,LPA,2023-06-06,2023-06-13,http://kayak.com/flights/OPO-LPA/2023-06-06/2023-06-13/
Liverpool,Reino Unido,625,189.6,easyJet,LPL,2023-06-26,2023-06-30,http://kayak.com/flights/OPO-LPL/2023-06-26/2023-06-30/
Londres,Reino Unido,145,61.04,easyJet,LON,2023-06-07,2023-06-11,http://kayak.com/flights/OPO-LON/2023-06-07/2023-06-11/
Luqa,Malta,500,152.6,Várias companhias aéreas,MLA,2023-06-23,2023-06-28,http://kayak.com/flights/OPO-MLA/2023-06-23/2023-06-28/
Luxemburgo,Luxemburgo,150,73.07,easyJet,LUX,2023-06-13,2023-06-20,http://kayak.com/flights/OPO-LUX/2023-06-13/2023-06-20/
Lárnaca,Chipre,3035,234.91,SWISS,LCA,2023-06-08,2023-06-13,http://kayak.com/flights/OPO-LCA/2023-06-08/2023-06-13/
Maceió,Brasil,1430,1188.41,Várias companhias aéreas,MCZ,2023-06-23,2023-06-30,http://kayak.com/flights/OPO-MCZ/2023-06-23/2023-06-30/
Madrid,Espanha,75,52.72,Várias companhias aéreas,MAD,2023-06-08,2023-06-15,http://kayak.com/flights/OPO-MAD/2023-06-08/2023-06-15/
Mahón,Espanha,860,101.74,Várias companhias aéreas,MAH,2023-06-03,2023-06-07,http://kayak.com/flights/OPO-MAH/2023-06-03/2023-06-07/
Malé,Maldivas,1480,751.89,Iberia,MLE,2023-06-18,2023-06-25,http://kayak.com/flights/OPO-MLE/2023-06-18/2023-06-25/
Manchester,Reino Unido,815,142.43,Várias companhias aéreas,MAN,2023-06-26,2023-06-30,http://kayak.com/flights/OPO-MAN/2023-06-26/2023-06-30/
Maputo,Moçambique,1845,889.69,TAP AIR PORTUGAL,MPM,2023-06-03,2023-06-10,http://kayak.com/flights/OPO-MPM/2023-06-03/2023-06-10/
Marraquexe,Marrocos,535,135.03,Air Europa,RAK,2023-06-25,2023-06-29,http://kayak.com/flights/OPO-RAK/2023-06-25/2023-06-29/
Marselha,França,130,56.42,Ryanair,MRS,2023-06-03,2023-06-07,http://kayak.com/flights/OPO-MRS/2023-06-03/2023-06-07/
Miami,Estados Unidos,1010,443.0,Air Europa,MIA,2023-06-07,2023-06-13,http://kayak.com/flights/OPO-MIA/2023-06-07/2023-06-13/
Milão,Itália,155,50.87,Várias companhias aéreas,MIL,2023-06-01,2023-06-05,http://kayak.com/flights/OPO-MIL/2023-06-01/2023-06-05/
Málaga,Espanha,450,83.24,Iberia,AGP,2023-06-03,2023-06-10,http://kayak.com/flights/OPO-AGP/2023-06-03/2023-06-10/
Míconos,Grécia,760,167.4,Várias companhias aéreas,JMK,2023-06-11,2023-06-16,http://kayak.com/flights/OPO-JMK/2023-06-11/2023-06-16/
Nevşehir,Turquia,805,442.07,Turkish Airlines,NAV,2023-06-16,2023-06-20,http://kayak.com/flights/OPO-NAV/2023-06-16/2023-06-20/
Newark,Estados Unidos,475,575.25,United Airlines,EWR,2023-06-07,2023-06-11,http://kayak.com/flights/OPO-EWR/2023-06-07/2023-06-11/
Nice,França,145,86.94,easyJet,NCE,2023-06-07,2023-06-13,http://kayak.com/flights/OPO-NCE/2023-06-07/2023-06-13/
Nova Iorque,Estados Unidos,890,430.98,Iberia,NYC,2023-06-07,2023-06-13,http://kayak.com/flights/OPO-NYC/2023-06-07/2023-06-13/
Nápoles,Itália,525,144.28,Várias companhias aéreas,NAP,2023-06-06,2023-06-11,http://kayak.com/flights/OPO-NAP/2023-06-06/2023-06-11/
Pafos,Chipre,590,190.52,Ryanair,PFO,2023-06-04,2023-06-11,http://kayak.com/flights/OPO-PFO/2023-06-04/2023-06-11/
Palermo,Itália,2800,235.84,SWISS,PMO,2023-06-20,2023-06-24,http://kayak.com/flights/OPO-PMO/2023-06-20/2023-06-24/
