City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Incheon,Coreia do Sul,1645,969.52,Etihad Airways,ICN,2023-05-16,2023-05-23,http://kayak.com/flights/NAP-ICN/2023-05-16/2023-05-23/,969.52,1.0
Paris,França,150,71.85,Ryanair,PAR,2023-09-25,2023-09-29,http://kayak.com/flights/NAP-PAR/2023-09-25/2023-09-29/,71.85,1.0
Nova Iorque,Estados Unidos,1310,357.43,Várias companhias aéreas,NYC,2023-10-04,2023-10-11,http://kayak.com/flights/NAP-NYC/2023-10-04/2023-10-11/,357.43,1.0
Los Angeles,Estados Unidos,1150,575.71,United Airlines,LAX,2024-02-01,2024-02-07,http://kayak.com/flights/NAP-LAX/2024-02-01/2024-02-07/,575.71,1.0
Londres,Reino Unido,175,39.11,Wizz Air Malta,LON,2024-01-09,2024-01-13,http://kayak.com/flights/NAP-LON/2024-01-09/2024-01-13/,39.11,1.0
Copenhaga,Dinamarca,170,53.66,Ryanair,CPH,2023-05-16,2023-05-23,http://kayak.com/flights/NAP-CPH/2023-05-16/2023-05-23/,53.66,1.0
Barcelona,Espanha,120,68.22,Vueling,BCN,2023-09-20,2023-09-24,http://kayak.com/flights/NAP-BCN/2023-09-20/2023-09-24/,68.22,1.0
Madrid,Espanha,165,62.76,Ryanair,MAD,2023-10-10,2023-10-17,http://kayak.com/flights/NAP-MAD/2023-10-10/2023-10-17/,62.76,1.0
São Francisco,Estados Unidos,1540,973.16,ITA Airways,SFO,2023-06-16,2023-06-23,http://kayak.com/flights/NAP-SFO/2023-06-16/2023-06-23/,973.16,1.0
Banguecoque,Tailândia,2220,1170.52,Várias companhias aéreas,BKK,2023-04-17,2023-04-23,http://kayak.com/flights/NAP-BKK/2023-04-17/2023-04-23/,1170.52,1.0
Miami,Estados Unidos,1838,512.96,British Airways,MIA,2023-10-23,2023-10-30,http://kayak.com/flights/NAP-MIA/2023-10-23/2023-10-30/,512.96,1.0
Boston,Estados Unidos,985,551.16,Delta,BOS,2023-04-27,2023-05-01,http://kayak.com/flights/NAP-BOS/2023-04-27/2023-05-01/,551.16,1.0
Viena,Áustria,105,55.48,Wizz Air Malta,VIE,2023-07-16,2023-07-23,http://kayak.com/flights/NAP-VIE/2023-07-16/2023-07-23/,55.48,1.0
Lisboa,Portugal,470,143.7,Ryanair,LIS,2023-09-09,2023-09-15,http://kayak.com/flights/NAP-LIS/2023-09-09/2023-09-15/,143.7,1.0
Frankfurt,Alemanha,1530,173.72,Ryanair,FRA,2023-05-06,2023-05-13,http://kayak.com/flights/NAP-FRA/2023-05-06/2023-05-13/,173.72,1.0
Amesterdão,Holanda,165,120.06,easyJet,AMS,2024-01-08,2024-01-14,http://kayak.com/flights/NAP-AMS/2024-01-08/2024-01-14/,120.06,1.0
Istambul,Turquia,1350,185.54,Air Serbia,IST,2023-10-20,2023-10-26,http://kayak.com/flights/NAP-IST/2023-10-20/2023-10-26/,185.54,1.0
Roma,Itália,645,161.89,Ryanair,ROM,2023-04-26,2023-05-01,http://kayak.com/flights/NAP-ROM/2023-04-26/2023-05-01/,161.89,1.0
Las Vegas,Estados Unidos,1983,703.95,British Airways,LAS,2024-02-13,2024-02-19,http://kayak.com/flights/NAP-LAS/2024-02-13/2024-02-19/,703.95,1.0
Atlanta,Estados Unidos,1145,509.32,Air France,ATL,2023-05-11,2023-05-16,http://kayak.com/flights/NAP-ATL/2023-05-11/2023-05-16/,509.32,1.0
Nova Deli,Índia,945,755.79,Turkish Airlines,DEL,2023-05-13,2023-05-20,http://kayak.com/flights/NAP-DEL/2023-05-13/2023-05-20/,755.79,1.0
Berlim,Alemanha,460,91.86,Ryanair,BER,2023-06-14,2023-06-19,http://kayak.com/flights/NAP-BER/2023-06-14/2023-06-19/,91.86,1.0
Newark,Estados Unidos,1310,357.43,Várias companhias aéreas,EWR,2023-10-04,2023-10-11,http://kayak.com/flights/NAP-EWR/2023-10-04/2023-10-11/,357.43,1.0
Seattle,Estados Unidos,1160,693.95,Várias companhias aéreas,SEA,2023-05-16,2023-05-23,http://kayak.com/flights/NAP-SEA/2023-05-16/2023-05-23/,693.95,1.0
Dubai,Emirados Árabes Unidos,1365,257.39,Várias companhias aéreas,DXB,2023-05-18,2023-05-25,http://kayak.com/flights/NAP-DXB/2023-05-18/2023-05-25/,257.39,1.0
Manila,Filipinas,3435,830.37,Várias companhias aéreas,MNL,2023-05-16,2023-05-23,http://kayak.com/flights/NAP-MNL/2023-05-16/2023-05-23/,830.37,1.0
Munique,Alemanha,605,165.53,Air France,MUC,2023-05-16,2023-05-23,http://kayak.com/flights/NAP-MUC/2023-05-16/2023-05-23/,165.53,1.0
Atenas,Grécia,105,94.59,easyJet,ATH,2023-10-05,2023-10-09,http://kayak.com/flights/NAP-ATH/2023-10-05/2023-10-09/,94.59,1.0
Singapura,Singapura,2290,1082.3,Várias companhias aéreas,SIN,2023-04-17,2023-04-24,http://kayak.com/flights/NAP-SIN/2023-04-17/2023-04-24/,1082.3,1.0
Dallas,Estados Unidos,2180,874.93,Iberia,DFW,2023-04-17,2023-04-24,http://kayak.com/flights/NAP-DFW/2023-04-17/2023-04-24/,874.93,1.0
