City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Incheon,Coreia do Sul,2175,615.98,Air China,ICN,2023-07-08,2023-07-15,http://kayak.com/flights/MXP-ICN/2023-07-08/2023-07-15/,615.98,1.0
Paris,França,110,49.21,easyJet,PAR,2023-10-16,2023-10-23,http://kayak.com/flights/MXP-PAR/2023-10-16/2023-10-23/,49.21,1.0
Los Angeles,Estados Unidos,1480,413.69,Scandinavian Airlines,LAX,2023-09-11,2023-09-18,http://kayak.com/flights/MXP-LAX/2023-09-11/2023-09-18/,413.69,1.0
Nova Iorque,Estados Unidos,1915,317.11,Scandinavian Airlines,NYC,2023-10-06,2023-10-13,http://kayak.com/flights/MXP-NYC/2023-10-06/2023-10-13/,317.11,1.0
Londres,Reino Unido,120,30.07,Ryanair,LON,2023-06-07,2023-06-14,http://kayak.com/flights/MXP-LON/2023-06-07/2023-06-14/,30.07,1.0
Copenhaga,Dinamarca,125,71.99,easyJet,CPH,2023-09-07,2023-09-12,http://kayak.com/flights/MXP-CPH/2023-09-07/2023-09-12/,71.99,1.0
São Francisco,Estados Unidos,975,408.23,Scandinavian Airlines,SFO,2023-10-10,2023-10-17,http://kayak.com/flights/MXP-SFO/2023-10-10/2023-10-17/,408.23,1.0
Madrid,Espanha,635,91.13,Várias companhias aéreas,MAD,2023-05-24,2023-05-29,http://kayak.com/flights/MXP-MAD/2023-05-24/2023-05-29/,91.13,1.0
Barcelona,Espanha,105,36.45,Vueling,BCN,2023-06-07,2023-06-14,http://kayak.com/flights/MXP-BCN/2023-06-07/2023-06-14/,36.45,1.0
Banguecoque,Tailândia,1915,515.75,Gulf Air,BKK,2023-05-20,2023-05-25,http://kayak.com/flights/MXP-BKK/2023-05-20/2023-05-25/,515.75,1.0
Miami,Estados Unidos,1300,371.78,TAP AIR PORTUGAL,MIA,2023-10-08,2023-10-13,http://kayak.com/flights/MXP-MIA/2023-10-08/2023-10-13/,371.78,1.0
Boston,Estados Unidos,800,565.87,Várias companhias aéreas,BOS,2023-06-22,2023-06-26,http://kayak.com/flights/MXP-BOS/2023-06-22/2023-06-26/,565.87,1.0
Frankfurt,Alemanha,685,91.13,Ryanair,FRA,2023-06-06,2023-06-11,http://kayak.com/flights/MXP-FRA/2023-06-06/2023-06-11/,91.13,1.0
Lisboa,Portugal,175,67.43,easyJet,LIS,2023-12-13,2023-12-20,http://kayak.com/flights/MXP-LIS/2023-12-13/2023-12-20/,67.43,1.0
Viena,Áustria,90,34.63,Ryanair,VIE,2023-06-13,2023-06-17,http://kayak.com/flights/MXP-VIE/2023-06-13/2023-06-17/,34.63,1.0
Amesterdão,Holanda,115,72.9,easyJet,AMS,2023-10-26,2023-10-30,http://kayak.com/flights/MXP-AMS/2023-10-26/2023-10-30/,72.9,1.0
Istambul,Turquia,660,133.04,Várias companhias aéreas,IST,2024-03-01,2024-03-06,http://kayak.com/flights/MXP-IST/2024-03-01/2024-03-06/,133.04,1.0
Nova Deli,Índia,1615,405.49,Várias companhias aéreas,DEL,2023-06-07,2023-06-13,http://kayak.com/flights/MXP-DEL/2023-06-07/2023-06-13/,405.49,1.0
Dubai,Emirados Árabes Unidos,615,233.27,Várias companhias aéreas,DXB,2023-05-31,2023-06-07,http://kayak.com/flights/MXP-DXB/2023-05-31/2023-06-07/,233.27,1.0
Las Vegas,Estados Unidos,1925,550.38,Várias companhias aéreas,LAS,2023-05-30,2023-06-06,http://kayak.com/flights/MXP-LAS/2023-05-30/2023-06-06/,550.38,1.0
Atlanta,Estados Unidos,1768,710.75,American Airlines,ATL,2023-06-08,2023-06-15,http://kayak.com/flights/MXP-ATL/2023-06-08/2023-06-15/,710.75,1.0
Seattle,Estados Unidos,885,708.02,Lufthansa,SEA,2023-10-29,2023-11-04,http://kayak.com/flights/MXP-SEA/2023-10-29/2023-11-04/,708.02,1.0
Manila,Filipinas,1805,512.11,Air China,MNL,2023-06-09,2023-06-16,http://kayak.com/flights/MXP-MNL/2023-06-09/2023-06-16/,512.11,1.0
