City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Incheon,Coreia do Sul,1525,699.82,Finnair,ICN,2024-03-06,2024-03-10,http://kayak.com/flights/LIS-ICN/2024-03-06/2024-03-10/,699.82,1
Paris,França,155,56.77,Ryanair,PAR,2023-09-16,2023-09-23,http://kayak.com/flights/LIS-PAR/2023-09-16/2023-09-23/,56.77,1
Londres,Reino Unido,170,45.6,Wizz Air UK,LON,2023-11-15,2023-11-22,http://kayak.com/flights/LIS-LON/2023-11-15/2023-11-22/,45.6,1
Nova Iorque,Estados Unidos,1000,411.33,American Airlines,NYC,2023-10-18,2023-10-23,http://kayak.com/flights/LIS-NYC/2023-10-18/2023-10-23/,411.33,1
Copenhaga,Dinamarca,735,166.58,Várias companhias aéreas,CPH,2023-08-15,2023-08-22,http://kayak.com/flights/LIS-CPH/2023-08-15/2023-08-22/,166.58,1
Madrid,Espanha,80,45.6,easyJet,MAD,2023-09-27,2023-10-01,http://kayak.com/flights/LIS-MAD/2023-09-27/2023-10-01/,45.6,1
Barcelona,Espanha,125,75.38,Várias companhias aéreas,BCN,2023-10-27,2023-11-03,http://kayak.com/flights/LIS-BCN/2023-10-27/2023-11-03/,75.38,1
Los Angeles,Estados Unidos,3265,1053.44,Várias companhias aéreas,LAX,2023-07-31,2023-08-06,http://kayak.com/flights/LIS-LAX/2023-07-31/2023-08-06/,1053.44,1
Viena,Áustria,450,156.35,Várias companhias aéreas,VIE,2023-09-27,2023-10-02,http://kayak.com/flights/LIS-VIE/2023-09-27/2023-10-02/,156.35,1
Schiphol,Holanda,195,175.89,Vueling,AMS,2023-08-11,2023-08-16,http://kayak.com/flights/LIS-AMS/2023-08-11/2023-08-16/,175.89,1
Frankfurt,Alemanha,1320,303.38,Várias companhias aéreas,FRA,2023-06-12,2023-06-19,http://kayak.com/flights/LIS-FRA/2023-06-12/2023-06-19/,303.38,1
Miami,Estados Unidos,765,393.65,Air Europa,MIA,2023-10-15,2023-10-21,http://kayak.com/flights/LIS-MIA/2023-10-15/2023-10-21/,393.65,1
São Francisco,Estados Unidos,1216,586.28,Várias companhias aéreas,SFO,2024-01-27,2024-02-03,http://kayak.com/flights/LIS-SFO/2024-01-27/2024-02-03/,586.28,1
Roma,Itália,190,101.44,Ryanair,ROM,2023-11-25,2023-12-02,http://kayak.com/flights/LIS-ROM/2023-11-25/2023-12-02/,101.44,1
Istambul,Turquia,635,238.24,Várias companhias aéreas,IST,2023-11-12,2023-11-19,http://kayak.com/flights/LIS-IST/2023-11-12/2023-11-19/,238.24,1
Boston,Estados Unidos,1150,516.49,Várias companhias aéreas,BOS,2023-10-07,2023-10-14,http://kayak.com/flights/LIS-BOS/2023-10-07/2023-10-14/,516.49,1
Telavive,Israel,835,181.47,Várias companhias aéreas,TLV,2023-11-15,2023-11-19,http://kayak.com/flights/LIS-TLV/2023-11-15/2023-11-19/,181.47,1
Berlim,Alemanha,560,187.06,KLM,BER,2023-07-26,2023-08-01,http://kayak.com/flights/LIS-BER/2023-07-26/2023-08-01/,187.06,1
Munique,Alemanha,615,142.39,Várias companhias aéreas,MUC,2024-01-16,2024-01-21,http://kayak.com/flights/LIS-MUC/2024-01-16/2024-01-21/,142.39,1
Zurique,Suíça,660,138.66,TAP AIR PORTUGAL,ZRH,2023-09-26,2023-10-03,http://kayak.com/flights/LIS-ZRH/2023-09-26/2023-10-03/,138.66,1
Dubai,Emirados Árabes Unidos,1510,325.72,Várias companhias aéreas,DXB,2023-09-11,2023-09-15,http://kayak.com/flights/LIS-DXB/2023-09-11/2023-09-15/,325.72,1
Palma de Maiorca,Espanha,390,96.79,Várias companhias aéreas,PMI,2023-09-17,2023-09-23,http://kayak.com/flights/LIS-PMI/2023-09-17/2023-09-23/,96.79,1
Bruxelas,Bélgica,170,90.27,Ryanair,BRU,2023-11-09,2023-11-15,http://kayak.com/flights/LIS-BRU/2023-11-09/2023-11-15/,90.27,1
Milão,Itália,175,59.56,Ryanair,MIL,2023-10-11,2023-10-15,http://kayak.com/flights/LIS-MIL/2023-10-11/2023-10-15/,59.56,1
Dublin,Irlanda,170,67.94,Ryanair,DUB,2023-10-06,2023-10-10,http://kayak.com/flights/LIS-DUB/2023-10-06/2023-10-10/,67.94,1
Atenas,Grécia,1610,254.99,Várias companhias aéreas,ATH,2023-06-28,2023-07-04,http://kayak.com/flights/LIS-ATH/2023-06-28/2023-07-04/,254.99,1
Málaga,Espanha,75,77.24,Ryanair,AGP,2023-07-20,2023-07-25,http://kayak.com/flights/LIS-AGP/2023-07-20/2023-07-25/,77.24,1
Porto,Portugal,60,73.52,TAP AIR PORTUGAL,OPO,2023-09-07,2023-09-11,http://kayak.com/flights/LIS-OPO/2023-09-07/2023-09-11/,73.52,1
Estocolmo,Suécia,630,159.14,Lufthansa,STO,2023-11-20,2023-11-27,http://kayak.com/flights/LIS-STO/2023-11-20/2023-11-27/,159.14,1
Lyon,França,150,101.44,easyJet,LYS,2023-10-29,2023-11-04,http://kayak.com/flights/LIS-LYS/2023-10-29/2023-11-04/,101.44,1
Manchester,Reino Unido,2300,212.18,Várias companhias aéreas,MAN,2023-07-09,2023-07-16,http://kayak.com/flights/LIS-MAN/2023-07-09/2023-07-16/,212.18,1
Banguecoque,Tailândia,2145,932.47,Etihad Airways,BKK,2023-09-23,2023-09-29,http://kayak.com/flights/LIS-BKK/2023-09-23/2023-09-29/,932.47,1
Newark,Estados Unidos,845,420.64,British Airways,EWR,2023-11-04,2023-11-11,http://kayak.com/flights/LIS-EWR/2023-11-04/2023-11-11/,420.64,1
Praga,República Checa,695,122.84,Várias companhias aéreas,PRG,2023-11-22,2023-11-26,http://kayak.com/flights/LIS-PRG/2023-11-22/2023-11-26/,122.84,1
Varsóvia,Polónia,1015,194.5,Várias companhias aéreas,WAW,2023-07-13,2023-07-17,http://kayak.com/flights/LIS-WAW/2023-07-13/2023-07-17/,194.5,1
Nice,França,155,120.05,easyJet,NCE,2023-09-04,2023-09-08,http://kayak.com/flights/LIS-NCE/2023-09-04/2023-09-08/,120.05,1
Marselha,França,1100,133.08,Várias companhias aéreas,MRS,2023-06-20,2023-06-26,http://kayak.com/flights/LIS-MRS/2023-06-20/2023-06-26/,133.08,1
Toronto,Canadá,1095,380.62,Várias companhias aéreas,YYZ,2023-12-06,2023-12-10,http://kayak.com/flights/LIS-YYZ/2023-12-06/2023-12-10/,380.62,1
Hamburgo,Alemanha,505,214.04,Várias companhias aéreas,HAM,2023-06-17,2023-06-22,http://kayak.com/flights/LIS-HAM/2023-06-17/2023-06-22/,214.04,1
Helsínquia,Finlândia,1630,289.42,KLM,HEL,2023-10-29,2023-11-04,http://kayak.com/flights/LIS-HEL/2023-10-29/2023-11-04/,289.42,1
Atlanta,Estados Unidos,1197,623.51,Várias companhias aéreas,ATL,2024-01-31,2024-02-07,http://kayak.com/flights/LIS-ATL/2024-01-31/2024-02-07/,623.51,1
Veneza,Itália,1450,197.29,Várias companhias aéreas,VCE,2023-06-26,2023-07-02,http://kayak.com/flights/LIS-VCE/2023-06-26/2023-07-02/,197.29,1
Oslo,Noruega,820,352.7,Várias companhias aéreas,OSL,2023-07-18,2023-07-24,http://kayak.com/flights/LIS-OSL/2023-07-18/2023-07-24/,352.7,1
Nápoles,Itália,650,137.73,Ryanair,NAP,2023-09-27,2023-10-02,http://kayak.com/flights/LIS-NAP/2023-09-27/2023-10-02/,137.73,1
Budapeste,Hungria,2145,226.14,Várias companhias aéreas,BUD,2023-07-14,2023-07-18,http://kayak.com/flights/LIS-BUD/2023-07-14/2023-07-18/,226.14,1
Valência,Espanha,105,73.52,Ryanair,VLC,2023-07-26,2023-07-31,http://kayak.com/flights/LIS-VLC/2023-07-26/2023-07-31/,73.52,1
Genebra,Suíça,160,199.15,easyJet,GVA,2023-06-29,2023-07-03,http://kayak.com/flights/LIS-GVA/2023-06-29/2023-07-03/,199.15,1
Nantes,França,1355,121.91,Várias companhias aéreas,NTE,2023-07-20,2023-07-25,http://kayak.com/flights/LIS-NTE/2023-07-20/2023-07-25/,121.91,1
Bordéus,França,115,47.47,Ryanair,BOD,2023-09-26,2023-09-30,http://kayak.com/flights/LIS-BOD/2023-09-26/2023-09-30/,47.47,1
Alicante,Espanha,675,161.93,Air Europa,ALC,2023-07-05,2023-07-12,http://kayak.com/flights/LIS-ALC/2023-07-05/2023-07-12/,161.93,1
Cairo,Egito,1535,369.45,Royal Air Maroc,CAI,2023-10-26,2023-10-31,http://kayak.com/flights/LIS-CAI/2023-10-26/2023-10-31/,369.45,1
Edimburgo,Reino Unido,695,172.17,Várias companhias aéreas,EDI,2023-07-12,2023-07-18,http://kayak.com/flights/LIS-EDI/2023-07-12/2023-07-18/,172.17,1
Marraquexe,Marrocos,540,97.72,Várias companhias aéreas,RAK,2023-11-20,2023-11-26,http://kayak.com/flights/LIS-RAK/2023-11-20/2023-11-26/,97.72,1
"Washington, D.C.",Estados Unidos,937,467.17,Várias companhias aéreas,WAS,2023-09-06,2023-09-13,http://kayak.com/flights/LIS-WAS/2023-09-06/2023-09-13/,467.17,1
Cancún,México,1425,473.68,Iberia,CUN,2023-11-03,2023-11-09,http://kayak.com/flights/LIS-CUN/2023-11-03/2023-11-09/,473.68,1
Riga,Letónia,1615,207.53,Várias companhias aéreas,RIX,2023-08-22,2023-08-29,http://kayak.com/flights/LIS-RIX/2023-08-22/2023-08-29/,207.53,1
Ibiza,Espanha,105,83.76,Várias companhias aéreas,IBZ,2023-07-29,2023-08-04,http://kayak.com/flights/LIS-IBZ/2023-07-29/2023-08-04/,83.76,1
Nova Deli,Índia,825,752.86,Turkish Airlines,DEL,2023-10-16,2023-10-20,http://kayak.com/flights/LIS-DEL/2023-10-16/2023-10-20/,752.86,1
Sevilha,Espanha,65,57.7,Ryanair,SVQ,2023-06-14,2023-06-21,http://kayak.com/flights/LIS-SVQ/2023-06-14/2023-06-21/,57.7,1
Bucareste,Roménia,515,145.18,Várias companhias aéreas,BUH,2023-09-21,2023-09-25,http://kayak.com/flights/LIS-BUH/2023-09-21/2023-09-25/,145.18,1
Cracóvia,Polónia,820,196.36,KLM,KRK,2023-10-17,2023-10-22,http://kayak.com/flights/LIS-KRK/2023-10-17/2023-10-22/,196.36,1
Bilbau,Espanha,100,69.8,Vueling,BIO,2023-10-27,2023-11-03,http://kayak.com/flights/LIS-BIO/2023-10-27/2023-11-03/,69.8,1
Casablanca,Marrocos,450,160.07,Várias companhias aéreas,CMN,2023-10-17,2023-10-23,http://kayak.com/flights/LIS-CMN/2023-10-17/2023-10-23/,160.07,1
Birmingham,Reino Unido,175,194.5,easyJet,BHX,2023-06-15,2023-06-22,http://kayak.com/flights/LIS-BHX/2023-06-15/2023-06-22/,194.5,1
Luqa,Malta,195,211.25,Air Malta,MLA,2023-07-10,2023-07-17,http://kayak.com/flights/LIS-MLA/2023-07-10/2023-07-17/,211.25,1
Túnis,Tunísia,700,156.35,Várias companhias aéreas,TUN,2023-09-16,2023-09-23,http://kayak.com/flights/LIS-TUN/2023-09-16/2023-09-23/,156.35,1
Belgrado,Sérvia,655,127.5,Várias companhias aéreas,BEG,2023-09-27,2023-10-03,http://kayak.com/flights/LIS-BEG/2023-09-27/2023-10-03/,127.5,1
Faro,Portugal,285,136.8,Várias companhias aéreas,FAO,2023-07-08,2023-07-15,http://kayak.com/flights/LIS-FAO/2023-07-08/2023-07-15/,136.8,1
Colónia,Alemanha,190,144.25,Ryanair,CGN,2023-07-20,2023-07-27,http://kayak.com/flights/LIS-CGN/2023-07-20/2023-07-27/,144.25,1
Funchal,Portugal,110,60.49,Ryanair,FNC,2023-06-21,2023-06-27,http://kayak.com/flights/LIS-FNC/2023-06-21/2023-06-27/,60.49,1
Denver,Estados Unidos,1220,738.9,British Airways,DEN,2023-08-31,2023-09-05,http://kayak.com/flights/LIS-DEN/2023-08-31/2023-09-05/,738.9,1
Bari,Itália,685,102.37,Ryanair,BRI,2023-09-28,2023-10-03,http://kayak.com/flights/LIS-BRI/2023-09-28/2023-10-03/,102.37,1
Toulouse,França,120,240.1,Ryanair,TLS,2023-06-10,2023-06-17,http://kayak.com/flights/LIS-TLS/2023-06-10/2023-06-17/,240.1,1
Las Palmas,Espanha,1290,142.39,Várias companhias aéreas,LPA,2023-11-10,2023-11-14,http://kayak.com/flights/LIS-LPA/2023-11-10/2023-11-14/,142.39,1
Bérgamo,Itália,175,59.56,Ryanair,BGY,2023-10-11,2023-10-15,http://kayak.com/flights/LIS-BGY/2023-10-11/2023-10-15/,59.56,1
Bolonha,Itália,185,194.5,Ryanair,BLQ,2023-09-09,2023-09-14,http://kayak.com/flights/LIS-BLQ/2023-09-09/2023-09-14/,194.5,1
Basileia,Suíça,175,88.41,easyJet,BSL,2023-11-12,2023-11-17,http://kayak.com/flights/LIS-BSL/2023-11-12/2023-11-17/,88.41,1
Estugarda,Alemanha,190,309.89,Eurowings,STR,2023-07-09,2023-07-16,http://kayak.com/flights/LIS-STR/2023-07-09/2023-07-16/,309.89,1
Gotemburgo,Suécia,1025,335.95,Várias companhias aéreas,GOT,2023-07-09,2023-07-16,http://kayak.com/flights/LIS-GOT/2023-07-09/2023-07-16/,335.95,1
Santa Cruz de Tenerife,Espanha,485,129.36,Várias companhias aéreas,TCI,2023-10-03,2023-10-10,http://kayak.com/flights/LIS-TCI/2023-10-03/2023-10-10/,129.36,1
Tirana,Albânia,575,250.34,Várias companhias aéreas,TIA,2023-06-21,2023-06-26,http://kayak.com/flights/LIS-TIA/2023-06-21/2023-06-26/,250.34,1
Astúrias,Espanha,90,43.74,Volotea,OVD,2023-08-11,2023-08-18,http://kayak.com/flights/LIS-OVD/2023-08-11/2023-08-18/,43.74,1
