City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct,weekday_depart,weekday_return,diff_days
Banguecoque,Tailândia,2155,520.62,Gulf Air,BKK,2023-06-12,2023-06-19,http://kayak.com/flights/MXP-BKK/2023-06-12/2023-06-19/,520.62,1.0,2023,6,MXP,521.17,621.0250943396227,610.34,2023-04-27 02:34:11,True,-0.5499999999999545,-0.10553178425464907,Monday,Monday,7 days
Conacri,Guiné,1210,454.41,Ethiopian Air,CKY,2023-05-11,2023-05-15,http://kayak.com/flights/MXP-CKY/2023-05-11/2023-05-15/,454.41,1.0,2023,5,MXP,454.89,501.0914634146341,502.37,2023-04-27 02:34:11,True,-0.47999999999996135,-0.10552001582799386,Thursday,Monday,4 days
Antuérpia,Bélgica,540,454.41,Várias companhias aéreas,ANR,2023-09-05,2023-09-09,http://kayak.com/flights/MXP-ANR/2023-09-05/2023-09-09/,454.41,1.0,2023,9,MXP,454.89,454.89,454.89,2023-04-27 02:34:11,True,-0.47999999999996135,-0.10552001582799386,Tuesday,Saturday,4 days
Nur-Sultan,Cazaquistão,1000,530.6,Várias companhias aéreas,NQZ,2023-11-03,2023-11-08,http://kayak.com/flights/MXP-NQZ/2023-11-03/2023-11-08/,530.6,1.0,2023,11,MXP,531.16,542.6229999999999,545.11,2023-04-27 02:34:11,True,-0.5599999999999454,-0.1054296257248184,Friday,Wednesday,5 days
Asmara,Eritreia,760,521.53,Ethiopian Air,ASM,2023-05-26,2023-06-02,http://kayak.com/flights/MXP-ASM/2023-05-26/2023-06-02/,521.53,1.0,2023,5,MXP,522.08,554.3471153846153,547.76,2023-04-27 02:34:11,True,-0.5500000000000682,-0.10534783941159749,Friday,Friday,7 days
Goiânia,Brasil,3450,976.84,LATAM Airlines,GYN,2023-06-03,2023-06-09,http://kayak.com/flights/MXP-GYN/2023-06-03/2023-06-09/,976.84,1.0,2023,6,MXP,977.87,1177.8385714285714,1122.68,2023-04-27 02:34:11,True,-1.0299999999999727,-0.10533097446490562,Saturday,Friday,6 days
Kuala Lumpur,Malásia,1135,559.62,Etihad Airways,KUL,2023-06-06,2023-06-13,http://kayak.com/flights/MXP-KUL/2023-06-06/2023-06-13/,559.62,1.0,2023,6,MXP,560.21,707.928,676.47,2023-04-27 02:34:11,True,-0.5900000000000318,-0.10531764873887145,Tuesday,Tuesday,7 days
Medellín,Colômbia,1705,759.16,Várias companhias aéreas,MDE,2024-02-12,2024-02-16,http://kayak.com/flights/MXP-MDE/2024-02-12/2024-02-16/,759.16,1.0,2024,2,MXP,759.96,759.96,759.96,2023-04-27 02:34:11,True,-0.8000000000000682,-0.10526869835255385,Monday,Friday,4 days
Rimini,Itália,710,142.4,Várias companhias aéreas,RMI,2023-05-14,2023-05-20,http://kayak.com/flights/MXP-RMI/2023-05-14/2023-05-20/,142.4,1.0,2023,5,MXP,142.55,1153.1376,164.44,2023-04-27 02:34:11,True,-0.15000000000000568,-0.10522623640828177,Sunday,Saturday,6 days
Hamilton,Canadá,1005,541.48,Várias companhias aéreas,YHM,2023-12-03,2023-12-09,http://kayak.com/flights/MXP-YHM/2023-12-03/2023-12-09/,541.48,1.0,2023,12,MXP,542.05,542.05,542.05,2023-04-27 02:34:11,True,-0.5699999999999363,-0.10515635089012754,Sunday,Saturday,6 days
Cidade do Kansas,Estados Unidos,976,741.02,British Airways,MCI,2023-10-28,2023-11-04,http://kayak.com/flights/MXP-MCI/2023-10-28/2023-11-04/,741.02,1.0,2023,10,MXP,741.8,785.573469387755,771.1,2023-04-27 02:34:11,True,-0.7799999999999727,-0.10514963602048703,Saturday,Saturday,7 days
Radom,Polónia,2070,532.41,Várias companhias aéreas,RDO,2023-07-16,2023-07-23,http://kayak.com/flights/MXP-RDO/2023-07-16/2023-07-23/,532.41,1.0,2023,7,MXP,532.97,532.97,532.97,2023-04-27 02:34:11,True,-0.5600000000000591,-0.10507158001389555,Sunday,Sunday,7 days
Xangai,China,1955,532.41,British Airways,SHA,2023-11-09,2023-11-14,http://kayak.com/flights/MXP-SHA/2023-11-09/2023-11-14/,532.41,1.0,2023,11,MXP,532.97,699.41,748.36,2023-04-27 02:34:11,True,-0.5600000000000591,-0.10507158001389555,Thursday,Tuesday,5 days
Newquay,Reino Unido,365,313.83,Várias companhias aéreas,NQY,2023-07-18,2023-07-23,http://kayak.com/flights/MXP-NQY/2023-07-18/2023-07-23/,313.83,1.0,2023,7,MXP,314.16,314.16,314.16,2023-04-27 02:34:11,True,-0.3300000000000409,-0.10504201680673572,Tuesday,Sunday,5 days
