City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Incheon,Coreia do Sul,3310,578.75,LOT,ICN,2024-03-04,2024-03-10,http://kayak.com/flights/MXP-ICN/2024-03-04/2024-03-10/,578.75,1.0
Paris,França,110,49.9,easyJet,PAR,2023-06-05,2023-06-09,http://kayak.com/flights/MXP-PAR/2023-06-05/2023-06-09/,49.9,1.0
Nova Iorque,Estados Unidos,1055,301.17,British Airways,NYC,2023-11-07,2023-11-14,http://kayak.com/flights/MXP-NYC/2023-11-07/2023-11-14/,301.17,1.0
Londres,Reino Unido,120,34.48,Ryanair,LON,2023-05-27,2023-06-03,http://kayak.com/flights/MXP-LON/2023-05-27/2023-06-03/,34.48,1.0
Los Angeles,Estados Unidos,1480,452.66,Scandinavian Airlines,LAX,2023-09-21,2023-09-27,http://kayak.com/flights/MXP-LAX/2023-09-21/2023-09-27/,452.66,1.0
Copenhaga,Dinamarca,130,107.05,easyJet,CPH,2023-05-15,2023-05-20,http://kayak.com/flights/MXP-CPH/2023-05-15/2023-05-20/,107.05,1.0
Madrid,Espanha,820,70.76,Ryanair,MAD,2023-05-23,2023-05-30,http://kayak.com/flights/MXP-MAD/2023-05-23/2023-05-30/,70.76,1.0
Barcelona,Espanha,105,39.01,Ryanair,BCN,2023-05-24,2023-05-31,http://kayak.com/flights/MXP-BCN/2023-05-24/2023-05-31/,39.01,1.0
São Francisco,Estados Unidos,1530,435.43,Scandinavian Airlines,SFO,2023-11-02,2023-11-09,http://kayak.com/flights/MXP-SFO/2023-11-02/2023-11-09/,435.43,1.0
Banguecoque,Tailândia,2155,512.53,Gulf Air,BKK,2023-05-15,2023-05-20,http://kayak.com/flights/MXP-BKK/2023-05-15/2023-05-20/,512.53,1.0
Miami,Estados Unidos,945,390.98,British Airways,MIA,2024-02-10,2024-02-14,http://kayak.com/flights/MXP-MIA/2024-02-10/2024-02-14/,390.98,1.0
Boston,Estados Unidos,1500,420.01,Scandinavian Airlines,BOS,2023-05-26,2023-06-02,http://kayak.com/flights/MXP-BOS/2023-05-26/2023-06-02/,420.01,1.0
Lisboa,Portugal,170,71.67,easyJet,LIS,2023-10-22,2023-10-29,http://kayak.com/flights/MXP-LIS/2023-10-22/2023-10-29/,71.67,1.0
Frankfurt,Alemanha,1190,106.14,Várias companhias aéreas,FRA,2023-06-21,2023-06-28,http://kayak.com/flights/MXP-FRA/2023-06-21/2023-06-28/,106.14,1.0
Viena,Áustria,90,50.8,Ryanair,VIE,2023-06-15,2023-06-19,http://kayak.com/flights/MXP-VIE/2023-06-15/2023-06-19/,50.8,1.0
Amesterdão,Holanda,115,99.79,easyJet,AMS,2023-06-08,2023-06-14,http://kayak.com/flights/MXP-AMS/2023-06-08/2023-06-14/,99.79,1.0
Istambul,Turquia,510,146.96,Várias companhias aéreas,IST,2023-06-07,2023-06-14,http://kayak.com/flights/MXP-IST/2023-06-07/2023-06-14/,146.96,1.0
Las Vegas,Estados Unidos,1334,676.72,Air Canada,LAS,2023-11-08,2023-11-14,http://kayak.com/flights/MXP-LAS/2023-11-08/2023-11-14/,676.72,1.0
Dubai,Emirados Árabes Unidos,1280,233.14,Várias companhias aéreas,DXB,2023-06-07,2023-06-11,http://kayak.com/flights/MXP-DXB/2023-06-07/2023-06-11/,233.14,1.0
Manila,Filipinas,1745,789.21,SAUDIA,MNL,2023-09-17,2023-09-22,http://kayak.com/flights/MXP-MNL/2023-09-17/2023-09-22/,789.21,1.0
Roma,Itália,800,107.95,Várias companhias aéreas,ROM,2023-07-29,2023-08-02,http://kayak.com/flights/MXP-ROM/2023-07-29/2023-08-02/,107.95,1.0
Newark,Estados Unidos,735,338.36,British Airways,EWR,2023-10-11,2023-10-18,http://kayak.com/flights/MXP-EWR/2023-10-11/2023-10-18/,338.36,1.0
Nova Deli,Índia,1880,462.64,Gulf Air,DEL,2023-05-16,2023-05-23,http://kayak.com/flights/MXP-DEL/2023-05-16/2023-05-23/,462.64,1.0
Atlanta,Estados Unidos,1115,601.43,Várias companhias aéreas,ATL,2023-09-23,2023-09-30,http://kayak.com/flights/MXP-ATL/2023-09-23/2023-09-30/,601.43,1.0
Seattle,Estados Unidos,1135,694.87,Air Canada,SEA,2023-11-18,2023-11-25,http://kayak.com/flights/MXP-SEA/2023-11-18/2023-11-25/,694.87,1.0
Berlim,Alemanha,105,45.36,Ryanair,BER,2023-09-13,2023-09-19,http://kayak.com/flights/MXP-BER/2023-09-13/2023-09-19/,45.36,1.0
Telavive,Israel,260,88.9,easyJet,TLV,2023-11-03,2023-11-07,http://kayak.com/flights/MXP-TLV/2023-11-03/2023-11-07/,88.9,1.0
Atenas,Grécia,160,71.67,easyJet,ATH,2023-10-12,2023-10-19,http://kayak.com/flights/MXP-ATH/2023-10-12/2023-10-19/,71.67,1.0
Dallas,Estados Unidos,1923,767.44,Scandinavian Airlines,DFW,2023-05-26,2023-06-02,http://kayak.com/flights/MXP-DFW/2023-05-26/2023-06-02/,767.44,1.0
Palma de Maiorca,Espanha,115,40.83,easyJet,PMI,2023-10-05,2023-10-09,http://kayak.com/flights/MXP-PMI/2023-10-05/2023-10-09/,40.83,1.0
Munique,Alemanha,920,196.85,Várias companhias aéreas,MUC,2023-05-16,2023-05-20,http://kayak.com/flights/MXP-MUC/2023-05-16/2023-05-20/,196.85,1.0
Bogotá,Colômbia,2660,794.65,Air Canada,BOG,2023-10-12,2023-10-19,http://kayak.com/flights/MXP-BOG/2023-10-12/2023-10-19/,794.65,1.0
Singapura,Singapura,1650,560.61,Air China,SIN,2023-05-25,2023-05-31,http://kayak.com/flights/MXP-SIN/2023-05-25/2023-05-31/,560.61,1.0
Bruxelas,Bélgica,95,114.3,Brussels Airlines,BRU,2023-06-13,2023-06-18,http://kayak.com/flights/MXP-BRU/2023-06-13/2023-06-18/,114.3,1.0
Sydney,Austrália,2400,1384.29,Finnair,SYD,2023-05-23,2023-05-30,http://kayak.com/flights/MXP-SYD/2023-05-23/2023-05-30/,1384.29,1.0
Zurique,Suíça,55,145.15,SWISS,ZRH,2023-06-04,2023-06-11,http://kayak.com/flights/MXP-ZRH/2023-06-04/2023-06-11/,145.15,1.0
Denver,Estados Unidos,840,757.46,Delta,DEN,2023-05-12,2023-05-19,http://kayak.com/flights/MXP-DEN/2023-05-12/2023-05-19/,757.46,1.0
Chicago,Estados Unidos,850,461.73,British Airways,ORD,2023-11-04,2023-11-11,http://kayak.com/flights/MXP-ORD/2023-11-04/2023-11-11/,461.73,1.0
Toronto,Canadá,1960,448.13,TAP AIR PORTUGAL,YYZ,2024-02-05,2024-02-10,http://kayak.com/flights/MXP-YYZ/2024-02-05/2024-02-10/,448.13,1.0
Manchester,Reino Unido,1005,103.42,Ryanair,MAN,2023-05-06,2023-05-13,http://kayak.com/flights/MXP-MAN/2023-05-06/2023-05-13/,103.42,1.0
Cidade do México,México,1585,860.87,United Airlines,MEX,2023-05-12,2023-05-19,http://kayak.com/flights/MXP-MEX/2023-05-12/2023-05-19/,860.87,1.0
Málaga,Espanha,160,53.53,Ryanair,AGP,2023-09-28,2023-10-03,http://kayak.com/flights/MXP-AGP/2023-09-28/2023-10-03/,53.53,1.0
Oslo,Noruega,345,102.51,Várias companhias aéreas,OSL,2023-06-09,2023-06-13,http://kayak.com/flights/MXP-OSL/2023-06-09/2023-06-13/,102.51,1.0
Porto,Portugal,160,63.5,easyJet,OPO,2023-06-06,2023-06-13,http://kayak.com/flights/MXP-OPO/2023-06-06/2023-06-13/,63.5,1.0
