City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Incheon,Coreia do Sul,1975,586.34,LOT,ICN,2023-03-06,2023-03-12,http://kayak.com/flights/MXP-ICN/2023-03-06/2023-03-12/,586.34,1.0
Paris,França,110,36.77,easyJet,PAR,2023-03-27,2023-03-31,http://kayak.com/flights/MXP-PAR/2023-03-27/2023-03-31/,36.77,1.0
Londres,Reino Unido,120,18.39,Ryanair,LON,2023-03-16,2023-03-20,http://kayak.com/flights/MXP-LON/2023-03-16/2023-03-20/,18.39,1.0
Nova Iorque,Estados Unidos,620,305.12,British Airways,NYC,2023-02-22,2023-03-01,http://kayak.com/flights/MXP-NYC/2023-02-22/2023-03-01/,305.12,1.0
Los Angeles,Estados Unidos,2180,442.97,Air Canada,LAX,2023-02-01,2023-02-08,http://kayak.com/flights/MXP-LAX/2023-02-01/2023-02-08/,442.97,1.0
Copenhaga,Dinamarca,130,52.39,easyJet,CPH,2023-05-10,2023-05-15,http://kayak.com/flights/MXP-CPH/2023-05-10/2023-05-15/,52.39,1.0
Banguecoque,Tailândia,935,595.53,Oman Air,BKK,2023-05-13,2023-05-19,http://kayak.com/flights/MXP-BKK/2023-05-13/2023-05-19/,595.53,1.0
Madrid,Espanha,140,40.44,Ryanair,MAD,2023-02-09,2023-02-15,http://kayak.com/flights/MXP-MAD/2023-02-09/2023-02-15/,40.44,1.0
Miami,Estados Unidos,1016,361.18,British Airways,MIA,2023-01-31,2023-02-07,http://kayak.com/flights/MXP-MIA/2023-01-31/2023-02-07/,361.18,1.0
Barcelona,Espanha,100,34.93,Várias companhias aéreas,BCN,2023-03-18,2023-03-22,http://kayak.com/flights/MXP-BCN/2023-03-18/2023-03-22/,34.93,1.0
São Francisco,Estados Unidos,1910,430.11,Scandinavian Airlines,SFO,2023-05-09,2023-05-16,http://kayak.com/flights/MXP-SFO/2023-05-09/2023-05-16/,430.11,1.0
Frankfurt,Alemanha,870,99.26,Várias companhias aéreas,FRA,2023-03-05,2023-03-10,http://kayak.com/flights/MXP-FRA/2023-03-05/2023-03-10/,99.26,1.0
Lisboa,Portugal,175,34.93,easyJet,LIS,2023-03-01,2023-03-08,http://kayak.com/flights/MXP-LIS/2023-03-01/2023-03-08/,34.93,1.0
Viena,Áustria,90,31.25,Ryanair,VIE,2023-02-01,2023-02-08,http://kayak.com/flights/MXP-VIE/2023-02-01/2023-02-08/,31.25,1.0
Boston,Estados Unidos,1545,465.03,Scandinavian Airlines,BOS,2023-05-09,2023-05-16,http://kayak.com/flights/MXP-BOS/2023-05-09/2023-05-16/,465.03,1.0
Amesterdão,Holanda,115,62.5,easyJet,AMS,2023-06-15,2023-06-19,http://kayak.com/flights/MXP-AMS/2023-06-15/2023-06-19/,62.5,1.0
Manila,Filipinas,1340,809.66,SAUDIA,MNL,2023-03-04,2023-03-11,http://kayak.com/flights/MXP-MNL/2023-03-04/2023-03-11/,809.66,1.0
Nova Deli,Índia,2610,469.62,Várias companhias aéreas,DEL,2023-01-30,2023-02-03,http://kayak.com/flights/MXP-DEL/2023-01-30/2023-02-03/,469.62,1.0
Dubai,Emirados Árabes Unidos,1280,324.42,Várias companhias aéreas,DXB,2023-02-02,2023-02-07,http://kayak.com/flights/MXP-DXB/2023-02-02/2023-02-07/,324.42,1.0
Las Vegas,Estados Unidos,1219,625.86,Várias companhias aéreas,LAS,2023-03-02,2023-03-09,http://kayak.com/flights/MXP-LAS/2023-03-02/2023-03-09/,625.86,1.0
Roma,Itália,675,50.55,Ryanair,ROM,2023-02-02,2023-02-07,http://kayak.com/flights/MXP-ROM/2023-02-02/2023-02-07/,50.55,1.0
Munique,Alemanha,880,99.26,Várias companhias aéreas,MUC,2023-02-22,2023-03-01,http://kayak.com/flights/MXP-MUC/2023-02-22/2023-03-01/,99.26,1.0
Bogotá,Colômbia,2040,467.79,Turkish Airlines,BOG,2023-03-20,2023-03-26,http://kayak.com/flights/MXP-BOG/2023-03-20/2023-03-26/,467.79,1.0
Cancún,México,1865,560.61,Turkish Airlines,CUN,2023-01-30,2023-02-03,http://kayak.com/flights/MXP-CUN/2023-01-30/2023-02-03/,560.61,1.0
Istambul,Turquia,960,153.48,Várias companhias aéreas,IST,2023-02-09,2023-02-15,http://kayak.com/flights/MXP-IST/2023-02-09/2023-02-15/,153.48,1.0
Berlim,Alemanha,110,37.68,Ryanair,BER,2023-01-30,2023-02-06,http://kayak.com/flights/MXP-BER/2023-01-30/2023-02-06/,37.68,1.0
Singapura,Singapura,1540,553.26,Várias companhias aéreas,SIN,2023-04-12,2023-04-18,http://kayak.com/flights/MXP-SIN/2023-04-12/2023-04-18/,553.26,1.0
Sydney,Austrália,2155,1102.83,American Airlines,SYD,2023-09-11,2023-09-18,http://kayak.com/flights/MXP-SYD/2023-09-11/2023-09-18/,1102.83,1.0
