City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Incheon,Coreia do Sul,1470,611.15,Turkish Airlines,ICN,2023-03-14,2023-03-21,http://kayak.com/flights/LIS-ICN/2023-03-14/2023-03-21/,611.15,1.0
Paris,França,150,25.74,Ryanair,PAR,2023-03-15,2023-03-22,http://kayak.com/flights/LIS-PAR/2023-03-15/2023-03-22/,25.74,1.0
Londres,Reino Unido,170,28.49,Várias companhias aéreas,LON,2023-03-23,2023-03-28,http://kayak.com/flights/LIS-LON/2023-03-23/2023-03-28/,28.49,1.0
Nova Iorque,Estados Unidos,1420,342.8,Aer Lingus,NYC,2023-03-22,2023-03-27,http://kayak.com/flights/LIS-NYC/2023-03-22/2023-03-27/,342.8,1.0
Los Angeles,Estados Unidos,2120,556.01,Vueling,LAX,2023-02-15,2023-02-19,http://kayak.com/flights/LIS-LAX/2023-02-15/2023-02-19/,556.01,1.0
Copenhaga,Dinamarca,1425,76.28,Ryanair,CPH,2023-02-01,2023-02-05,http://kayak.com/flights/LIS-CPH/2023-02-01/2023-02-05/,76.28,1.0
Banguecoque,Tailândia,2000,734.3,Finnair,BKK,2023-05-03,2023-05-10,http://kayak.com/flights/LIS-BKK/2023-05-03/2023-05-10/,734.3,1.0
Madrid,Espanha,85,18.39,Ryanair,MAD,2023-03-16,2023-03-20,http://kayak.com/flights/LIS-MAD/2023-03-16/2023-03-20/,18.39,1.0
Miami,Estados Unidos,1000,352.91,Air Europa,MIA,2023-02-02,2023-02-09,http://kayak.com/flights/LIS-MIA/2023-02-02/2023-02-09/,352.91,1.0
Barcelona,Espanha,120,18.39,Ryanair,BCN,2023-03-11,2023-03-16,http://kayak.com/flights/LIS-BCN/2023-03-11/2023-03-16/,18.39,1.0
São Francisco,Estados Unidos,1190,575.31,Várias companhias aéreas,SFO,2023-10-14,2023-10-21,http://kayak.com/flights/LIS-SFO/2023-10-14/2023-10-21/,575.31,1.0
Frankfurt,Alemanha,1035,66.17,Ryanair,FRA,2023-02-01,2023-02-08,http://kayak.com/flights/LIS-FRA/2023-02-01/2023-02-08/,66.17,1.0
Viena,Áustria,345,83.64,Ryanair,VIE,2023-05-04,2023-05-08,http://kayak.com/flights/LIS-VIE/2023-05-04/2023-05-08/,83.64,1.0
Boston,Estados Unidos,1320,499.03,Finnair,BOS,2023-02-22,2023-03-01,http://kayak.com/flights/LIS-BOS/2023-02-22/2023-03-01/,499.03,1.0
Amesterdão,Holanda,355,89.15,Várias companhias aéreas,AMS,2023-02-22,2023-03-01,http://kayak.com/flights/LIS-AMS/2023-02-22/2023-03-01/,89.15,1.0
Manila,Filipinas,1920,869.4,Várias companhias aéreas,MNL,2023-02-11,2023-02-17,http://kayak.com/flights/LIS-MNL/2023-02-11/2023-02-17/,869.4,1.0
Nova Deli,Índia,2260,711.33,IndiGo,DEL,2023-01-27,2023-02-03,http://kayak.com/flights/LIS-DEL/2023-01-27/2023-02-03/,711.33,1.0
Dubai,Emirados Árabes Unidos,915,414.48,Air France,DXB,2024-01-08,2024-01-15,http://kayak.com/flights/LIS-DXB/2024-01-08/2024-01-15/,414.48,1.0
Las Vegas,Estados Unidos,1210,697.54,British Airways,LAS,2023-10-19,2023-10-23,http://kayak.com/flights/LIS-LAS/2023-10-19/2023-10-23/,697.54,1.0
Roma,Itália,190,54.23,Ryanair,ROM,2023-05-21,2023-05-25,http://kayak.com/flights/LIS-ROM/2023-05-21/2023-05-25/,54.23,1.0
Munique,Alemanha,765,108.45,Air Europa,MUC,2023-02-06,2023-02-13,http://kayak.com/flights/LIS-MUC/2023-02-06/2023-02-13/,108.45,1.0
Cancún,México,1210,442.05,Iberia,CUN,2023-03-02,2023-03-06,http://kayak.com/flights/LIS-CUN/2023-03-02/2023-03-06/,442.05,1.0
Bogotá,Colômbia,1245,609.32,Iberia,BOG,2023-02-12,2023-02-19,http://kayak.com/flights/LIS-BOG/2023-02-12/2023-02-19/,609.32,1.0
Istambul,Turquia,465,210.46,Várias companhias aéreas,IST,2023-03-23,2023-03-30,http://kayak.com/flights/LIS-IST/2023-03-23/2023-03-30/,210.46,1.0
Berlim,Alemanha,715,71.69,Ryanair,BER,2023-03-01,2023-03-06,http://kayak.com/flights/LIS-BER/2023-03-01/2023-03-06/,71.69,1.0
Singapura,Singapura,2255,704.89,Turkish Airlines,SIN,2023-10-06,2023-10-13,http://kayak.com/flights/LIS-SIN/2023-10-06/2023-10-13/,704.89,1.0
Atlanta,Estados Unidos,1095,620.34,British Airways,ATL,2023-04-22,2023-04-29,http://kayak.com/flights/LIS-ATL/2023-04-22/2023-04-29/,620.34,1.0
Newark,Estados Unidos,1395,400.7,Várias companhias aéreas,EWR,2023-02-22,2023-02-28,http://kayak.com/flights/LIS-EWR/2023-02-22/2023-02-28/,400.7,1.0
Cidade do México,México,990,584.5,Várias companhias aéreas,MEX,2023-05-17,2023-05-24,http://kayak.com/flights/LIS-MEX/2023-05-17/2023-05-24/,584.5,1.0
Zurique,Suíça,185,44.12,easyJet,ZRH,2023-03-08,2023-03-15,http://kayak.com/flights/LIS-ZRH/2023-03-08/2023-03-15/,44.12,1.0
Seattle,Estados Unidos,1645,721.44,Iberia,SEA,2023-04-18,2023-04-24,http://kayak.com/flights/LIS-SEA/2023-04-18/2023-04-24/,721.44,1.0
Atenas,Grécia,1150,80.88,Ryanair,ATH,2023-03-02,2023-03-07,http://kayak.com/flights/LIS-ATH/2023-03-02/2023-03-07/,80.88,1.0
Dallas,Estados Unidos,1175,658.02,Várias companhias aéreas,DFW,2023-03-27,2023-04-02,http://kayak.com/flights/LIS-DFW/2023-03-27/2023-04-02/,658.02,1.0
