City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Incheon,Coreia do Sul,1225,835.89,Lufthansa,ICN,2023-09-05,2023-09-12,http://kayak.com/flights/MXP-ICN/2023-09-05/2023-09-12/,835.89,1.0
Paris,França,90,35.65,Vueling,PAR,2023-03-18,2023-03-23,http://kayak.com/flights/MXP-PAR/2023-03-18/2023-03-23/,35.65,1.0
Nova Iorque,Estados Unidos,2735,334.92,Várias companhias aéreas,NYC,2023-03-06,2023-03-13,http://kayak.com/flights/MXP-NYC/2023-03-06/2023-03-13/,334.92,1.0
Londres,Reino Unido,120,30.96,Ryanair,LON,2023-03-13,2023-03-17,http://kayak.com/flights/MXP-LON/2023-03-13/2023-03-17/,30.96,1.0
Los Angeles,Estados Unidos,1570,507.54,Scandinavian Airlines,LAX,2023-05-20,2023-05-27,http://kayak.com/flights/MXP-LAX/2023-05-20/2023-05-27/,507.54,1.0
Copenhaga,Dinamarca,1640,87.25,Várias companhias aéreas,CPH,2023-03-20,2023-03-25,http://kayak.com/flights/MXP-CPH/2023-03-20/2023-03-25/,87.25,1.0
Banguecoque,Tailândia,1200,643.57,Gulf Air,BKK,2023-03-20,2023-03-27,http://kayak.com/flights/MXP-BKK/2023-03-20/2023-03-27/,643.57,1.0
Madrid,Espanha,590,48.79,Várias companhias aéreas,MAD,2023-03-15,2023-03-22,http://kayak.com/flights/MXP-MAD/2023-03-15/2023-03-22/,48.79,1.0
Miami,Estados Unidos,1191,476.58,United Airlines,MIA,2023-03-09,2023-03-13,http://kayak.com/flights/MXP-MIA/2023-03-09/2023-03-13/,476.58,1.0
Barcelona,Espanha,95,58.17,Várias companhias aéreas,BCN,2023-03-20,2023-03-25,http://kayak.com/flights/MXP-BCN/2023-03-20/2023-03-25/,58.17,1.0
São Francisco,Estados Unidos,1125,592.91,SWISS,SFO,2023-05-20,2023-05-27,http://kayak.com/flights/MXP-SFO/2023-05-20/2023-05-27/,592.91,1.0
Boston,Estados Unidos,1715,548.82,Turkish Airlines,BOS,2023-04-03,2023-04-09,http://kayak.com/flights/MXP-BOS/2023-04-03/2023-04-09/,548.82,1.0
Lisboa,Portugal,175,43.16,easyJet,LIS,2023-03-14,2023-03-21,http://kayak.com/flights/MXP-LIS/2023-03-14/2023-03-21/,43.16,1.0
Viena,Áustria,400,79.75,Ryanair,VIE,2023-03-01,2023-03-06,http://kayak.com/flights/MXP-VIE/2023-03-01/2023-03-06/,79.75,1.0
Amesterdão,Holanda,125,128.53,easyJet,AMS,2023-03-20,2023-03-25,http://kayak.com/flights/MXP-AMS/2023-03-20/2023-03-25/,128.53,1.0
Las Vegas,Estados Unidos,1692,690.48,Várias companhias aéreas,LAS,2023-04-14,2023-04-19,http://kayak.com/flights/MXP-LAS/2023-04-14/2023-04-19/,690.48,1.0
Nova Deli,Índia,1940,517.86,Gulf Air,DEL,2023-06-06,2023-06-12,http://kayak.com/flights/MXP-DEL/2023-06-06/2023-06-12/,517.86,1.0
Manila,Filipinas,1550,815.25,Gulf Air,MNL,2023-03-16,2023-03-23,http://kayak.com/flights/MXP-MNL/2023-03-16/2023-03-23/,815.25,1.0
Newark,Estados Unidos,690,369.63,Várias companhias aéreas,EWR,2023-03-06,2023-03-13,http://kayak.com/flights/MXP-EWR/2023-03-06/2023-03-13/,369.63,1.0
