City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Incheon,Coreia do Sul,1325,567.15,Air China,ICN,2023-05-20,2023-05-26,http://kayak.com/flights/MXP-ICN/2023-05-20/2023-05-26/,567.15,1.0
Paris,França,110,49.91,easyJet,PAR,2023-06-05,2023-06-12,http://kayak.com/flights/MXP-PAR/2023-06-05/2023-06-12/,49.91,1.0
Nova Iorque,Estados Unidos,645,325.77,British Airways,NYC,2023-11-23,2023-11-30,http://kayak.com/flights/MXP-NYC/2023-11-23/2023-11-30/,325.77,1.0
Londres,Reino Unido,120,30.86,Ryanair,LON,2023-06-07,2023-06-14,http://kayak.com/flights/MXP-LON/2023-06-07/2023-06-14/,30.86,1.0
Los Angeles,Estados Unidos,2095,434.66,Companhia aérea não revelada,LAX,2023-11-10,2023-11-15,http://kayak.com/flights/MXP-LAX/2023-11-10/2023-11-15/,434.66,1.0
Copenhaga,Dinamarca,125,93.47,easyJet,CPH,2023-09-24,2023-09-28,http://kayak.com/flights/MXP-CPH/2023-09-24/2023-09-28/,93.47,1.0
São Francisco,Estados Unidos,1060,443.74,TAP AIR PORTUGAL,SFO,2023-10-17,2023-10-24,http://kayak.com/flights/MXP-SFO/2023-10-17/2023-10-24/,443.74,1.0
Madrid,Espanha,140,44.47,Ryanair,MAD,2023-10-10,2023-10-17,http://kayak.com/flights/MXP-MAD/2023-10-10/2023-10-17/,44.47,1.0
Barcelona,Espanha,105,45.38,easyJet,BCN,2023-10-05,2023-10-10,http://kayak.com/flights/MXP-BCN/2023-10-05/2023-10-10/,45.38,1.0
Banguecoque,Tailândia,1915,502.72,Gulf Air,BKK,2023-05-13,2023-05-18,http://kayak.com/flights/MXP-BKK/2023-05-13/2023-05-18/,502.72,1.0
Miami,Estados Unidos,1435,351.18,TAP AIR PORTUGAL,MIA,2023-10-17,2023-10-22,http://kayak.com/flights/MXP-MIA/2023-10-17/2023-10-22/,351.18,1.0
Boston,Estados Unidos,1965,512.7,Várias companhias aéreas,BOS,2023-06-05,2023-06-12,http://kayak.com/flights/MXP-BOS/2023-06-05/2023-06-12/,512.7,1.0
Lisboa,Portugal,175,67.15,easyJet,LIS,2023-12-13,2023-12-20,http://kayak.com/flights/MXP-LIS/2023-12-13/2023-12-20/,67.15,1.0
Frankfurt,Alemanha,840,126.14,Várias companhias aéreas,FRA,2023-05-17,2023-05-21,http://kayak.com/flights/MXP-FRA/2023-05-17/2023-05-21/,126.14,1.0
Viena,Áustria,90,37.21,Ryanair,VIE,2023-06-07,2023-06-12,http://kayak.com/flights/MXP-VIE/2023-06-07/2023-06-12/,37.21,1.0
Amesterdão,Holanda,115,89.84,easyJet,AMS,2024-03-12,2024-03-17,http://kayak.com/flights/MXP-AMS/2024-03-12/2024-03-17/,89.84,1.0
Istambul,Turquia,445,156.99,Várias companhias aéreas,IST,2023-06-07,2023-06-14,http://kayak.com/flights/MXP-IST/2023-06-07/2023-06-14/,156.99,1.0
Las Vegas,Estados Unidos,1027,676.04,Air Canada,LAS,2023-09-18,2023-09-24,http://kayak.com/flights/MXP-LAS/2023-09-18/2023-09-24/,676.04,1.0
Dubai,Emirados Árabes Unidos,1680,250.46,Várias companhias aéreas,DXB,2023-06-07,2023-06-12,http://kayak.com/flights/MXP-DXB/2023-06-07/2023-06-12/,250.46,1.0
Nova Deli,Índia,1830,473.68,Gulf Air,DEL,2023-09-17,2023-09-22,http://kayak.com/flights/MXP-DEL/2023-09-17/2023-09-22/,473.68,1.0
Atlanta,Estados Unidos,849,528.13,British Airways,ATL,2023-12-05,2023-12-10,http://kayak.com/flights/MXP-ATL/2023-12-05/2023-12-10/,528.13,1.0
Newark,Estados Unidos,1080,337.57,British Airways,EWR,2023-10-12,2023-10-18,http://kayak.com/flights/MXP-EWR/2023-10-12/2023-10-18/,337.57,1.0
Roma,Itália,600,71.69,Várias companhias aéreas,ROM,2023-06-06,2023-06-13,http://kayak.com/flights/MXP-ROM/2023-06-06/2023-06-13/,71.69,1.0
Manila,Filipinas,1805,591.65,Várias companhias aéreas,MNL,2023-06-07,2023-06-14,http://kayak.com/flights/MXP-MNL/2023-06-07/2023-06-14/,591.65,1.0
Seattle,Estados Unidos,1480,715.06,Condor,SEA,2023-05-18,2023-05-23,http://kayak.com/flights/MXP-SEA/2023-05-18/2023-05-23/,715.06,1.0
Telavive,Israel,260,78.95,easyJet,TLV,2023-11-19,2023-11-24,http://kayak.com/flights/MXP-TLV/2023-11-19/2023-11-24/,78.95,1.0
Berlim,Alemanha,105,71.69,Ryanair,BER,2023-06-27,2023-07-04,http://kayak.com/flights/MXP-BER/2023-06-27/2023-07-04/,71.69,1.0
Dallas,Estados Unidos,1440,815.78,American Airlines,DFW,2023-05-15,2023-05-22,http://kayak.com/flights/MXP-DFW/2023-05-15/2023-05-22/,815.78,1.0
Atenas,Grécia,160,71.69,easyJet,ATH,2023-10-12,2023-10-19,http://kayak.com/flights/MXP-ATH/2023-10-12/2023-10-19/,71.69,1.0
Bogotá,Colômbia,1760,862.06,Delta,BOG,2023-05-09,2023-05-16,http://kayak.com/flights/MXP-BOG/2023-05-09/2023-05-16/,862.06,1.0
Munique,Alemanha,70,98.01,easyJet,MUC,2023-09-08,2023-09-15,http://kayak.com/flights/MXP-MUC/2023-09-08/2023-09-15/,98.01,1.0
Singapura,Singapura,1650,568.06,Air China,SIN,2023-05-25,2023-05-31,http://kayak.com/flights/MXP-SIN/2023-05-25/2023-05-31/,568.06,1.0
Palma de Maiorca,Espanha,105,43.56,Ryanair,PMI,2023-05-14,2023-05-18,http://kayak.com/flights/MXP-PMI/2023-05-14/2023-05-18/,43.56,1.0
Denver,Estados Unidos,1366,766.78,Várias companhias aéreas,DEN,2023-05-15,2023-05-22,http://kayak.com/flights/MXP-DEN/2023-05-15/2023-05-22/,766.78,1.0
Sydney,Austrália,2570,1022.68,Air China,SYD,2023-05-23,2023-05-30,http://kayak.com/flights/MXP-SYD/2023-05-23/2023-05-30/,1022.68,1.0
Zurique,Suíça,55,144.29,SWISS,ZRH,2023-06-07,2023-06-14,http://kayak.com/flights/MXP-ZRH/2023-06-07/2023-06-14/,144.29,1.0
Chicago,Estados Unidos,845,412.89,Scandinavian Airlines,ORD,2023-11-22,2023-11-27,http://kayak.com/flights/MXP-ORD/2023-11-22/2023-11-27/,412.89,1.0
Bruxelas,Bélgica,95,111.62,Brussels Airlines,BRU,2023-06-07,2023-06-12,http://kayak.com/flights/MXP-BRU/2023-06-07/2023-06-12/,111.62,1.0
Cidade do México,México,1470,742.28,United Airlines,MEX,2023-05-15,2023-05-22,http://kayak.com/flights/MXP-MEX/2023-05-15/2023-05-22/,742.28,1.0
Toronto,Canadá,2015,393.83,Scandinavian Airlines,YYZ,2023-10-09,2023-10-16,http://kayak.com/flights/MXP-YYZ/2023-10-09/2023-10-16/,393.83,1.0
Manchester,Reino Unido,135,63.53,easyJet,MAN,2023-06-17,2023-06-24,http://kayak.com/flights/MXP-MAN/2023-06-17/2023-06-24/,63.53,1.0
Mumbai,Índia,1665,338.48,Várias companhias aéreas,BOM,2023-06-07,2023-06-11,http://kayak.com/flights/MXP-BOM/2023-06-07/2023-06-11/,338.48,1.0
Málaga,Espanha,160,65.34,Ryanair,AGP,2023-06-07,2023-06-14,http://kayak.com/flights/MXP-AGP/2023-06-07/2023-06-14/,65.34,1.0
"Washington, D.C.",Estados Unidos,1530,439.2,Scandinavian Airlines,WAS,2023-12-07,2023-12-13,http://kayak.com/flights/MXP-WAS/2023-12-07/2023-12-13/,439.2,1.0
Orlando,Estados Unidos,1937,634.3,Várias companhias aéreas,MCO,2023-06-05,2023-06-12,http://kayak.com/flights/MXP-MCO/2023-06-05/2023-06-12/,634.3,1.0
Joanesburgo,África do Sul,795,852.99,Lufthansa,JNB,2024-04-25,2024-05-01,http://kayak.com/flights/MXP-JNB/2024-04-25/2024-05-01/,852.99,1.0
Estocolmo,Suécia,1260,97.1,Ryanair,STO,2023-06-14,2023-06-20,http://kayak.com/flights/MXP-STO/2023-06-14/2023-06-20/,97.1,1.0
Dublin,Irlanda,595,69.88,Ryanair,DUB,2023-06-08,2023-06-14,http://kayak.com/flights/MXP-DUB/2023-06-08/2023-06-14/,69.88,1.0
Oslo,Noruega,1040,100.73,Ryanair,OSL,2023-06-13,2023-06-20,http://kayak.com/flights/MXP-OSL/2023-06-13/2023-06-20/,100.73,1.0
