City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Incheon,Coreia do Sul,2125,705.3,Turkish Airlines,ICN,2023-03-08,2023-03-15,http://kayak.com/flights/LIS-ICN/2023-03-08/2023-03-15/,705.3,1
Paris,França,150,28.81,Ryanair,PAR,2023-03-14,2023-03-18,http://kayak.com/flights/LIS-PAR/2023-03-14/2023-03-18/,28.81,1
Londres,Reino Unido,170,27.88,Wizz Air UK,LON,2023-03-07,2023-03-14,http://kayak.com/flights/LIS-LON/2023-03-07/2023-03-14/,27.88,1
Nova Iorque,Estados Unidos,780,395.86,Aer Lingus,NYC,2023-05-08,2023-05-13,http://kayak.com/flights/LIS-NYC/2023-05-08/2023-05-13/,395.86,1
Los Angeles,Estados Unidos,1830,645.83,Várias companhias aéreas,LAX,2023-03-08,2023-03-15,http://kayak.com/flights/LIS-LAX/2023-03-08/2023-03-15/,645.83,1
Copenhaga,Dinamarca,735,95.72,Ryanair,CPH,2023-03-02,2023-03-07,http://kayak.com/flights/LIS-CPH/2023-03-02/2023-03-07/,95.72,1
Madrid,Espanha,85,20.45,Ryanair,MAD,2023-03-08,2023-03-15,http://kayak.com/flights/LIS-MAD/2023-03-08/2023-03-15/,20.45,1
Barcelona,Espanha,120,37.17,easyJet,BCN,2023-03-21,2023-03-27,http://kayak.com/flights/LIS-BCN/2023-03-21/2023-03-27/,37.17,1
Miami,Estados Unidos,835,375.42,Várias companhias aéreas,MIA,2023-09-12,2023-09-18,http://kayak.com/flights/LIS-MIA/2023-09-12/2023-09-18/,375.42,1
Banguecoque,Tailândia,2050,796.36,Finnair,BKK,2023-05-12,2023-05-19,http://kayak.com/flights/LIS-BKK/2023-05-12/2023-05-19/,796.36,1
Frankfurt,Alemanha,695,92.93,Ryanair,FRA,2023-03-23,2023-03-28,http://kayak.com/flights/LIS-FRA/2023-03-23/2023-03-28/,92.93,1
São Francisco,Estados Unidos,1242,591.0,Várias companhias aéreas,SFO,2023-02-22,2023-03-01,http://kayak.com/flights/LIS-SFO/2023-02-22/2023-03-01/,591.0,1
Viena,Áustria,955,78.99,Várias companhias aéreas,VIE,2023-03-17,2023-03-21,http://kayak.com/flights/LIS-VIE/2023-03-17/2023-03-21/,78.99,1
Boston,Estados Unidos,1740,443.25,Várias companhias aéreas,BOS,2023-03-08,2023-03-14,http://kayak.com/flights/LIS-BOS/2023-03-08/2023-03-14/,443.25,1
Amesterdão,Holanda,185,105.94,easyJet,AMS,2023-06-14,2023-06-21,http://kayak.com/flights/LIS-AMS/2023-06-14/2023-06-21/,105.94,1
Roma,Itália,190,60.41,Ryanair,ROM,2023-03-07,2023-03-14,http://kayak.com/flights/LIS-ROM/2023-03-07/2023-03-14/,60.41,1
Berlim,Alemanha,1275,109.66,Várias companhias aéreas,BER,2023-03-21,2023-03-27,http://kayak.com/flights/LIS-BER/2023-03-21/2023-03-27/,109.66,1
Istambul,Turquia,845,169.13,Várias companhias aéreas,IST,2023-10-05,2023-10-10,http://kayak.com/flights/LIS-IST/2023-10-05/2023-10-10/,169.13,1
Munique,Alemanha,765,148.68,Air Europa,MUC,2023-03-07,2023-03-14,http://kayak.com/flights/LIS-MUC/2023-03-07/2023-03-14/,148.68,1
Zurique,Suíça,185,55.76,easyJet,ZRH,2023-03-08,2023-03-15,http://kayak.com/flights/LIS-ZRH/2023-03-08/2023-03-15/,55.76,1
Las Vegas,Estados Unidos,1615,753.62,American Airlines,LAS,2023-04-14,2023-04-19,http://kayak.com/flights/LIS-LAS/2023-04-14/2023-04-19/,753.62,1
Newark,Estados Unidos,1260,414.45,British Airways,EWR,2023-02-23,2023-02-28,http://kayak.com/flights/LIS-EWR/2023-02-23/2023-02-28/,414.45,1
Atenas,Grécia,890,105.01,Várias companhias aéreas,ATH,2023-03-07,2023-03-14,http://kayak.com/flights/LIS-ATH/2023-03-07/2023-03-14/,105.01,1
Milão,Itália,175,40.89,easyJet,MIL,2023-02-28,2023-03-07,http://kayak.com/flights/LIS-MIL/2023-02-28/2023-03-07/,40.89,1
