City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Everett,Estados Unidos,1629,1769.58,Várias companhias aéreas,PAE,2023-06-12,2023-06-19,http://kayak.com/flights/OPO-PAE/2023-06-12/2023-06-19/,1769.58,1.0
Rovaniemi,Finlândia,780,628.98,Várias companhias aéreas,RVN,2023-12-06,2023-12-10,http://kayak.com/flights/OPO-RVN/2023-12-06/2023-12-10/,628.98,1.0
Hamilton,Canadá,1520,965.48,Várias companhias aéreas,YHM,2023-08-08,2023-08-15,http://kayak.com/flights/OPO-YHM/2023-08-08/2023-08-15/,965.48,1.0
Parikia,Grécia,1275,363.09,Várias companhias aéreas,PAS,2023-09-06,2023-09-13,http://kayak.com/flights/OPO-PAS/2023-09-06/2023-09-13/,363.09,1.0
Éilat,Israel,1345,608.81,Várias companhias aéreas,ETM,2023-07-17,2023-07-21,http://kayak.com/flights/OPO-ETM/2023-07-17/2023-07-21/,608.81,1.0
Uberlândia,Brasil,1785,1088.34,Várias companhias aéreas,UDI,2023-05-24,2023-05-31,http://kayak.com/flights/OPO-UDI/2023-05-24/2023-05-31/,1088.34,1.0
Horta,Portugal,815,203.55,Várias companhias aéreas,HOR,2023-06-10,2023-06-15,http://kayak.com/flights/OPO-HOR/2023-06-10/2023-06-15/,203.55,1.0
Porto Santo,Portugal,125,132.04,easyJet,PXO,2023-04-27,2023-05-04,http://kayak.com/flights/OPO-PXO/2023-04-27/2023-05-04/,132.04,1.0
Ilha do Pico,Portugal,695,271.4,Azores Airlines,PIX,2023-06-10,2023-06-17,http://kayak.com/flights/OPO-PIX/2023-06-10/2023-06-17/,271.4,1.0
São Tomé,São Tomé e Príncipe,700,940.72,TAP AIR PORTUGAL,TMS,2023-06-25,2023-07-01,http://kayak.com/flights/OPO-TMS/2023-06-25/2023-07-01/,940.72,1.0
Maastricht,Holanda,145,219.14,Ryanair,MST,2023-07-24,2023-07-31,http://kayak.com/flights/OPO-MST/2023-07-24/2023-07-31/,219.14,1.0
Bergerac,França,100,58.69,Ryanair,EGC,2023-05-01,2023-05-08,http://kayak.com/flights/OPO-EGC/2023-05-01/2023-05-08/,58.69,1.0
Castellón de la Plana,Espanha,100,60.52,Ryanair,CDT,2023-06-27,2023-07-04,http://kayak.com/flights/OPO-CDT/2023-06-27/2023-07-04/,60.52,1.0
Skýros,Grécia,1755,505.21,Várias companhias aéreas,SKU,2023-08-15,2023-08-22,http://kayak.com/flights/OPO-SKU/2023-08-15/2023-08-22/,505.21,1.0
