City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct
Jidá,Arábia Saudita,1345,332.13,Várias companhias aéreas,JED,2023-04-26,2023-05-01,http://kayak.com/flights/OPO-JED/2023-04-26/2023-05-01/,332.13,1,2023,4,OPO,333.73,849.5172,949.1400000000001,2023-03-22 02:31:35,True,-1.6000000000000227,-0.4794294789200919
Dubrovnik,Croácia,2175,187.0,Várias companhias aéreas,DBV,2023-07-02,2023-07-06,http://kayak.com/flights/OPO-DBV/2023-07-02/2023-07-06/,187.0,1,2023,7,OPO,187.9,280.035,322.595,2023-03-22 02:31:35,True,-0.9000000000000057,-0.47897817988291946
Montreal,Canadá,1430,542.38,Brussels Airlines,YUL,2023-06-05,2023-06-09,http://kayak.com/flights/OPO-YUL/2023-06-05/2023-06-09/,542.38,1,2023,6,OPO,544.99,728.6157142857144,862.88,2023-03-22 02:31:35,True,-2.6100000000000136,-0.4789078698691744
San Jose,Estados Unidos,1760,956.37,Várias companhias aéreas,SJC,2023-04-21,2023-04-27,http://kayak.com/flights/OPO-SJC/2023-04-21/2023-04-27/,956.37,1,2023,4,OPO,960.97,960.97,960.97,2023-03-22 02:31:35,True,-4.600000000000023,-0.47868299738805814
Brive-la-Gaillarde,França,105,106.06,Ryanair,BVE,2023-07-24,2023-07-31,http://kayak.com/flights/OPO-BVE/2023-07-24/2023-07-31/,106.06,1,2023,7,OPO,106.57,2069.294,2285.8450000000003,2023-03-22 02:31:35,True,-0.5099999999999909,-0.4785586938162624
Recife,Brasil,1330,1033.59,TAP AIR PORTUGAL,REC,2023-08-17,2023-08-24,http://kayak.com/flights/OPO-REC/2023-08-17/2023-08-24/,1033.59,1,2023,8,OPO,1038.56,1038.56,1038.56,2023-03-22 02:31:35,True,-4.970000000000027,-0.4785472192266241
Cuiabá,Brasil,1535,1121.04,Azul,CGB,2023-04-18,2023-04-25,http://kayak.com/flights/OPO-CGB/2023-04-18/2023-04-25/,1121.04,1,2023,4,OPO,1126.43,1413.625,1448.28,2023-03-22 02:31:35,True,-5.3900000000001,-0.47850288078265846
Busuanga,Filipinas,2210,2203.0,Várias companhias aéreas,USU,2023-08-07,2023-08-14,http://kayak.com/flights/OPO-USU/2023-08-07/2023-08-14/,2203.0,1,2023,8,OPO,2213.59,3334.558,3352.1150000000002,2023-03-22 02:31:35,True,-10.590000000000146,-0.47840837734179065
Tbilisi,Geórgia,1280,493.07,Várias companhias aéreas,TBS,2023-05-21,2023-05-28,http://kayak.com/flights/OPO-TBS/2023-05-21/2023-05-28/,493.07,1,2023,5,OPO,495.44,495.44,495.44,2023-03-22 02:31:35,True,-2.3700000000000045,-0.47836266752785495
Reus,Espanha,3010,264.22,Ryanair,REU,2023-08-18,2023-08-25,http://kayak.com/flights/OPO-REU/2023-08-18/2023-08-25/,264.22,1,2023,8,OPO,265.49,355.90233333333333,325.89,2023-03-22 02:31:35,True,-1.2699999999999818,-0.4783607668838682
Oulu,Finlândia,1475,572.15,Finnair,OUL,2023-05-19,2023-05-25,http://kayak.com/flights/OPO-OUL/2023-05-19/2023-05-25/,572.15,1,2023,5,OPO,574.9,574.9,574.9,2023-03-22 02:31:35,True,-2.75,-0.4783440598364933
Porto Alegre,Brasil,1280,1231.75,Azul,POA,2023-12-07,2023-12-14,http://kayak.com/flights/OPO-POA/2023-12-07/2023-12-14/,1231.75,1,2023,12,OPO,1237.67,1237.67,1237.67,2023-03-22 02:31:35,True,-5.920000000000073,-0.4783181300346677
La Paz,Bolívia,2160,1359.2,Várias companhias aéreas,LPB,2023-04-21,2023-04-28,http://kayak.com/flights/OPO-LPB/2023-04-21/2023-04-28/,1359.2,1,2023,4,OPO,1365.73,1365.73,1365.73,2023-03-22 02:31:35,True,-6.529999999999973,-0.4781325737883749
João Pessoa,Brasil,1955,934.98,Várias companhias aéreas,JPA,2023-05-05,2023-05-12,http://kayak.com/flights/OPO-JPA/2023-05-05/2023-05-12/,934.98,1,2023,5,OPO,939.47,1048.933076923077,1057.49,2023-03-22 02:31:35,True,-4.490000000000009,-0.4779290450998977
Edremit,Turquia,2020,628.9,Várias companhias aéreas,EDO,2023-08-06,2023-08-13,http://kayak.com/flights/OPO-EDO/2023-08-06/2023-08-13/,628.9,1,2023,8,OPO,631.92,631.92,631.92,2023-03-22 02:31:35,True,-3.019999999999982,-0.4779085960248104
Cardiff,Reino Unido,1320,191.65,Ryanair,CWL,2023-07-06,2023-07-10,http://kayak.com/flights/OPO-CWL/2023-07-06/2023-07-10/,191.65,1,2023,7,OPO,192.57,192.57,192.57,2023-03-22 02:31:35,True,-0.9199999999999875,-0.47774835124889004
Winnipeg,Canadá,1465,504.24,Delta,YWG,2023-04-20,2023-04-27,http://kayak.com/flights/OPO-YWG/2023-04-20/2023-04-27/,504.24,1,2023,4,OPO,506.66,506.66,506.66,2023-03-22 02:31:35,True,-2.420000000000016,-0.4776378636561039
Krabi,Tailândia,2235,825.2,Várias companhias aéreas,KBV,2024-01-15,2024-01-22,http://kayak.com/flights/OPO-KBV/2024-01-15/2024-01-22/,825.2,1,2024,1,OPO,829.16,927.2258333333333,937.02,2023-03-22 02:31:35,True,-3.9599999999999227,-0.47759177963238975
Aalborg,Dinamarca,1770,364.69,Várias companhias aéreas,AAL,2023-06-11,2023-06-16,http://kayak.com/flights/OPO-AAL/2023-06-11/2023-06-16/,364.69,1,2023,6,OPO,366.44,366.44,366.44,2023-03-22 02:31:35,True,-1.75,-0.47756795109704187
Fortaleza,Brasil,980,875.44,TAP AIR PORTUGAL,FOR,2023-10-02,2023-10-09,http://kayak.com/flights/OPO-FOR/2023-10-02/2023-10-09/,875.44,1,2023,10,OPO,879.64,888.058,889.18,2023-03-22 02:31:35,True,-4.199999999999932,-0.47746805511344775
Granada,Espanha,660,129.32,Vueling,GRX,2023-10-28,2023-11-01,http://kayak.com/flights/OPO-GRX/2023-10-28/2023-11-01/,129.32,1,2023,10,OPO,129.94,129.94,129.94,2023-03-22 02:31:35,True,-0.6200000000000045,-0.4771432969062679
Casablanca,Marrocos,1035,137.69,TAP AIR PORTUGAL,CMN,2023-09-30,2023-10-07,http://kayak.com/flights/OPO-CMN/2023-09-30/2023-10-07/,137.69,1,2023,9,OPO,138.35,154.18,151.98,2023-03-22 02:31:35,True,-0.6599999999999966,-0.4770509577159354
Norwich,Reino Unido,830,352.6,KLM,NWI,2023-06-27,2023-07-02,http://kayak.com/flights/OPO-NWI/2023-06-27/2023-07-02/,352.6,1,2023,6,OPO,354.29,354.29,354.29,2023-03-22 02:31:35,True,-1.6899999999999977,-0.47701035874565967
