City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Incheon,Coreia do Sul,1180,799.97,Lufthansa,ICN,2023-11-16,2023-11-23,http://kayak.com/flights/LIS-ICN/2023-11-16/2023-11-23/,799.97,1.0
Paris,França,155,65.42,Ryanair,PAR,2023-09-25,2023-09-30,http://kayak.com/flights/LIS-PAR/2023-09-25/2023-09-30/,65.42,1.0
Nova Iorque,Estados Unidos,740,410.27,Várias companhias aéreas,NYC,2024-01-23,2024-01-29,http://kayak.com/flights/LIS-NYC/2024-01-23/2024-01-29/,410.27,1.0
Londres,Reino Unido,170,45.8,Wizz Air UK,LON,2023-11-15,2023-11-22,http://kayak.com/flights/LIS-LON/2023-11-15/2023-11-22/,45.8,1.0
Los Angeles,Estados Unidos,1540,609.33,Várias companhias aéreas,LAX,2023-11-16,2023-11-22,http://kayak.com/flights/LIS-LAX/2023-11-16/2023-11-22/,609.33,1.0
Copenhaga,Dinamarca,1550,250.46,Várias companhias aéreas,CPH,2023-06-08,2023-06-13,http://kayak.com/flights/LIS-CPH/2023-06-08/2023-06-13/,250.46,1.0
Madrid,Espanha,85,46.73,easyJet,MAD,2023-07-05,2023-07-12,http://kayak.com/flights/LIS-MAD/2023-07-05/2023-07-12/,46.73,1.0
São Francisco,Estados Unidos,1595,600.91,Várias companhias aéreas,SFO,2023-10-11,2023-10-16,http://kayak.com/flights/LIS-SFO/2023-10-11/2023-10-16/,600.91,1.0
Banguecoque,Tailândia,1875,736.42,Várias companhias aéreas,BKK,2023-06-16,2023-06-23,http://kayak.com/flights/LIS-BKK/2023-06-16/2023-06-23/,736.42,1.0
Barcelona,Espanha,125,51.4,easyJet,BCN,2023-09-20,2023-09-27,http://kayak.com/flights/LIS-BCN/2023-09-20/2023-09-27/,51.4,1.0
Miami,Estados Unidos,1330,392.51,Várias companhias aéreas,MIA,2023-11-22,2023-11-29,http://kayak.com/flights/LIS-MIA/2023-11-22/2023-11-29/,392.51,1.0
Boston,Estados Unidos,1435,677.55,United Airlines,BOS,2023-06-12,2023-06-19,http://kayak.com/flights/LIS-BOS/2023-06-12/2023-06-19/,677.55,1.0
Frankfurt,Alemanha,1535,158.88,Várias companhias aéreas,FRA,2023-09-10,2023-09-17,http://kayak.com/flights/LIS-FRA/2023-09-10/2023-09-17/,158.88,1.0
Viena,Áustria,455,179.44,Várias companhias aéreas,VIE,2023-10-04,2023-10-08,http://kayak.com/flights/LIS-VIE/2023-10-04/2023-10-08/,179.44,1.0
Schiphol,Holanda,630,151.4,Várias companhias aéreas,AMS,2023-09-23,2023-09-30,http://kayak.com/flights/LIS-AMS/2023-09-23/2023-09-30/,151.4,1.0
Istambul,Turquia,2050,330.83,Várias companhias aéreas,IST,2023-07-05,2023-07-11,http://kayak.com/flights/LIS-IST/2023-07-05/2023-07-11/,330.83,1.0
Dubai,Emirados Árabes Unidos,1530,488.77,Várias companhias aéreas,DXB,2023-06-11,2023-06-17,http://kayak.com/flights/LIS-DXB/2023-06-11/2023-06-17/,488.77,1.0
Nova Deli,Índia,1875,579.42,Etihad Airways,DEL,2023-07-13,2023-07-17,http://kayak.com/flights/LIS-DEL/2023-07-13/2023-07-17/,579.42,1.0
Las Vegas,Estados Unidos,1080,769.13,Iberia,LAS,2023-09-09,2023-09-15,http://kayak.com/flights/LIS-LAS/2023-09-09/2023-09-15/,769.13,1.0
Atlanta,Estados Unidos,795,1098.09,Air France,ATL,2023-07-02,2023-07-07,http://kayak.com/flights/LIS-ATL/2023-07-02/2023-07-07/,1098.09,1.0
Manila,Filipinas,1955,1470.97,Emirates,MNL,2023-07-06,2023-07-13,http://kayak.com/flights/LIS-MNL/2023-07-06/2023-07-13/,1470.97,1.0
Berlim,Alemanha,2910,187.85,Várias companhias aéreas,BER,2023-08-29,2023-09-04,http://kayak.com/flights/LIS-BER/2023-08-29/2023-09-04/,187.85,1.0
Telavive,Israel,640,207.47,Várias companhias aéreas,TLV,2023-12-11,2023-12-17,http://kayak.com/flights/LIS-TLV/2023-12-11/2023-12-17/,207.47,1.0
Dallas,Estados Unidos,1080,987.81,United Airlines,DFW,2023-06-29,2023-07-06,http://kayak.com/flights/LIS-DFW/2023-06-29/2023-07-06/,987.81,1.0
Newark,Estados Unidos,870,418.68,Delta,EWR,2024-01-23,2024-01-29,http://kayak.com/flights/LIS-EWR/2024-01-23/2024-01-29/,418.68,1.0
Seattle,Estados Unidos,1159,1037.34,Delta,SEA,2023-07-05,2023-07-12,http://kayak.com/flights/LIS-SEA/2023-07-05/2023-07-12/,1037.34,1.0
Singapura,Singapura,1390,679.42,Várias companhias aéreas,SIN,2023-10-10,2023-10-17,http://kayak.com/flights/LIS-SIN/2023-10-10/2023-10-17/,679.42,1.0
Roma,Itália,185,135.51,TAP AIR PORTUGAL,ROM,2023-11-08,2023-11-13,http://kayak.com/flights/LIS-ROM/2023-11-08/2023-11-13/,135.51,1.0
Bogotá,Colômbia,1226,956.04,Várias companhias aéreas,BOG,2023-07-06,2023-07-13,http://kayak.com/flights/LIS-BOG/2023-07-06/2023-07-13/,956.04,1.0
Munique,Alemanha,1615,248.59,Várias companhias aéreas,MUC,2023-06-22,2023-06-26,http://kayak.com/flights/LIS-MUC/2023-06-22/2023-06-26/,248.59,1.0
Sydney,Austrália,3760,1310.23,Várias companhias aéreas,SYD,2023-12-02,2023-12-07,http://kayak.com/flights/LIS-SYD/2023-12-02/2023-12-07/,1310.23,1.0
Atenas,Grécia,505,163.55,Várias companhias aéreas,ATH,2023-10-12,2023-10-19,http://kayak.com/flights/LIS-ATH/2023-10-12/2023-10-19/,163.55,1.0
Denver,Estados Unidos,1055,907.44,Air France,DEN,2023-06-07,2023-06-14,http://kayak.com/flights/LIS-DEN/2023-06-07/2023-06-14/,907.44,1.0
Cidade do México,México,2075,764.46,American Airlines,MEX,2023-06-07,2023-06-12,http://kayak.com/flights/LIS-MEX/2023-06-07/2023-06-12/,764.46,1.0
Zurique,Suíça,185,109.35,easyJet,ZRH,2023-12-04,2023-12-08,http://kayak.com/flights/LIS-ZRH/2023-12-04/2023-12-08/,109.35,1.0
Chicago,Estados Unidos,855,1047.62,KLM,ORD,2023-08-16,2023-08-21,http://kayak.com/flights/LIS-ORD/2023-08-16/2023-08-21/,1047.62,1.0
Palma de Maiorca,Espanha,600,102.8,Várias companhias aéreas,PMI,2023-07-10,2023-07-14,http://kayak.com/flights/LIS-PMI/2023-07-10/2023-07-14/,102.8,1.0
Bruxelas,Bélgica,170,113.08,Ryanair,BRU,2023-09-21,2023-09-28,http://kayak.com/flights/LIS-BRU/2023-09-21/2023-09-28/,113.08,1.0
Manchester,Reino Unido,170,280.37,Ryanair,MAN,2023-07-07,2023-07-14,http://kayak.com/flights/LIS-MAN/2023-07-07/2023-07-14/,280.37,1.0
Cancún,México,615,639.23,TAP AIR PORTUGAL,CUN,2023-07-15,2023-07-22,http://kayak.com/flights/LIS-CUN/2023-07-15/2023-07-22/,639.23,1.0
Milão,Itália,170,71.03,easyJet,MIL,2023-09-21,2023-09-27,http://kayak.com/flights/LIS-MIL/2023-09-21/2023-09-27/,71.03,1.0
"Washington, D.C.",Estados Unidos,1170,466.34,British Airways,WAS,2023-09-11,2023-09-17,http://kayak.com/flights/LIS-WAS/2023-09-11/2023-09-17/,466.34,1.0
Orlando,Estados Unidos,1265,550.45,Lufthansa,MCO,2023-09-29,2023-10-05,http://kayak.com/flights/LIS-MCO/2023-09-29/2023-10-05/,550.45,1.0
Helsínquia,Finlândia,1570,259.81,Várias companhias aéreas,HEL,2023-08-31,2023-09-04,http://kayak.com/flights/LIS-HEL/2023-08-31/2023-09-04/,259.81,1.0
Tóquio,Japão,1990,859.78,Etihad Airways,TYO,2024-01-11,2024-01-17,http://kayak.com/flights/LIS-TYO/2024-01-11/2024-01-17/,859.78,1.0
Dublin,Irlanda,170,150.47,Ryanair,DUB,2023-08-19,2023-08-23,http://kayak.com/flights/LIS-DUB/2023-08-19/2023-08-23/,150.47,1.0
Estocolmo,Suécia,415,163.55,Brussels Airlines,STO,2023-12-08,2023-12-13,http://kayak.com/flights/LIS-STO/2023-12-08/2023-12-13/,163.55,1.0
Oslo,Noruega,650,207.47,Várias companhias aéreas,OSL,2023-08-22,2023-08-28,http://kayak.com/flights/LIS-OSL/2023-08-22/2023-08-28/,207.47,1.0
Málaga,Espanha,75,40.19,Ryanair,AGP,2023-06-29,2023-07-06,http://kayak.com/flights/LIS-AGP/2023-06-29/2023-07-06/,40.19,1.0
Vancouver,Canadá,1380,999.96,Air Transat,YVR,2023-07-06,2023-07-13,http://kayak.com/flights/LIS-YVR/2023-07-06/2023-07-13/,999.96,1.0
Varsóvia,Polónia,605,202.8,Várias companhias aéreas,WAW,2023-06-15,2023-06-22,http://kayak.com/flights/LIS-WAW/2023-06-15/2023-06-22/,202.8,1.0
Dusseldorf,Alemanha,400,207.47,Várias companhias aéreas,DUS,2023-09-13,2023-09-18,http://kayak.com/flights/LIS-DUS/2023-09-13/2023-09-18/,207.47,1.0
Porto,Portugal,60,79.44,TAP AIR PORTUGAL,OPO,2023-08-04,2023-08-08,http://kayak.com/flights/LIS-OPO/2023-08-04/2023-08-08/,79.44,1.0
Joanesburgo,África do Sul,1340,892.49,Emirates,JNB,2023-07-20,2023-07-25,http://kayak.com/flights/LIS-JNB/2023-07-20/2023-07-25/,892.49,1.0
