City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Incheon,Coreia do Sul,3685,954.15,Várias companhias aéreas,ICN,2023-09-08,2023-09-15,http://kayak.com/flights/NAP-ICN/2023-09-08/2023-09-15/,954.15,1
Paris,França,150,54.13,Ryanair,PAR,2023-03-27,2023-03-31,http://kayak.com/flights/NAP-PAR/2023-03-27/2023-03-31/,54.13,1
Londres,Reino Unido,165,38.54,Wizz Air,LON,2023-02-11,2023-02-18,http://kayak.com/flights/NAP-LON/2023-02-11/2023-02-18/,38.54,1
Nova Iorque,Estados Unidos,1440,320.2,ITA Airways,NYC,2023-02-02,2023-02-09,http://kayak.com/flights/NAP-NYC/2023-02-02/2023-02-09/,320.2,1
Los Angeles,Estados Unidos,1199,463.32,KLM,LAX,2023-02-08,2023-02-12,http://kayak.com/flights/NAP-LAX/2023-02-08/2023-02-12/,463.32,1
Copenhaga,Dinamarca,660,98.17,Ryanair,CPH,2023-02-25,2023-03-04,http://kayak.com/flights/NAP-CPH/2023-02-25/2023-03-04/,98.17,1
Madrid,Espanha,350,74.32,Várias companhias aéreas,MAD,2023-04-12,2023-04-18,http://kayak.com/flights/NAP-MAD/2023-04-12/2023-04-18/,74.32,1
Barcelona,Espanha,125,40.37,Vueling,BCN,2023-09-13,2023-09-17,http://kayak.com/flights/NAP-BCN/2023-09-13/2023-09-17/,40.37,1
Frankfurt,Alemanha,740,72.48,Ryanair,FRA,2023-03-08,2023-03-13,http://kayak.com/flights/NAP-FRA/2023-03-08/2023-03-13/,72.48,1
Lisboa,Portugal,980,82.58,Ryanair,LIS,2023-03-13,2023-03-18,http://kayak.com/flights/NAP-LIS/2023-03-13/2023-03-18/,82.58,1
Miami,Estados Unidos,1550,392.67,British Airways,MIA,2023-02-27,2023-03-06,http://kayak.com/flights/NAP-MIA/2023-02-27/2023-03-06/,392.67,1
Viena,Áustria,105,48.63,Ryanair,VIE,2023-05-17,2023-05-22,http://kayak.com/flights/NAP-VIE/2023-05-17/2023-05-22/,48.63,1
Amesterdão,Holanda,160,97.25,easyJet,AMS,2023-08-15,2023-08-22,http://kayak.com/flights/NAP-AMS/2023-08-15/2023-08-22/,97.25,1
São Francisco,Estados Unidos,1484,516.53,British Airways,SFO,2023-05-27,2023-06-03,http://kayak.com/flights/NAP-SFO/2023-05-27/2023-06-03/,516.53,1
Roma,Itália,1305,91.75,Várias companhias aéreas,ROM,2023-03-21,2023-03-26,http://kayak.com/flights/NAP-ROM/2023-03-21/2023-03-26/,91.75,1
Boston,Estados Unidos,1020,511.94,British Airways,BOS,2023-10-22,2023-10-29,http://kayak.com/flights/NAP-BOS/2023-10-22/2023-10-29/,511.94,1
Berlim,Alemanha,140,85.33,easyJet,BER,2023-06-05,2023-06-09,http://kayak.com/flights/NAP-BER/2023-06-05/2023-06-09/,85.33,1
Istambul,Turquia,850,154.14,Várias companhias aéreas,IST,2023-03-23,2023-03-27,http://kayak.com/flights/NAP-IST/2023-03-23/2023-03-27/,154.14,1
Munique,Alemanha,910,163.31,Várias companhias aéreas,MUC,2023-03-06,2023-03-13,http://kayak.com/flights/NAP-MUC/2023-03-06/2023-03-13/,163.31,1
Milão,Itália,90,24.78,Ryanair,MIL,2023-03-11,2023-03-15,http://kayak.com/flights/NAP-MIL/2023-03-11/2023-03-15/,24.78,1
Telavive,Israel,210,38.54,Ryanair,TLV,2023-02-01,2023-02-08,http://kayak.com/flights/NAP-TLV/2023-02-01/2023-02-08/,38.54,1
Dubai,Emirados Árabes Unidos,2560,344.97,Várias companhias aéreas,DXB,2023-01-27,2023-02-03,http://kayak.com/flights/NAP-DXB/2023-01-27/2023-02-03/,344.97,1
Atenas,Grécia,105,99.09,easyJet,ATH,2023-06-05,2023-06-10,http://kayak.com/flights/NAP-ATH/2023-06-05/2023-06-10/,99.09,1
Varsóvia,Polónia,805,86.25,Ryanair,WAW,2023-02-17,2023-02-21,http://kayak.com/flights/NAP-WAW/2023-02-17/2023-02-21/,86.25,1
Zurique,Suíça,1290,209.18,Air France,ZRH,2023-01-27,2023-02-03,http://kayak.com/flights/NAP-ZRH/2023-01-27/2023-02-03/,209.18,1
Manchester,Reino Unido,185,104.59,Ryanair,MAN,2023-04-07,2023-04-14,http://kayak.com/flights/NAP-MAN/2023-04-07/2023-04-14/,104.59,1
Newark,Estados Unidos,995,327.53,British Airways,EWR,2023-10-09,2023-10-15,http://kayak.com/flights/NAP-EWR/2023-10-09/2023-10-15/,327.53,1
Bruxelas,Bélgica,145,48.63,Ryanair,BRU,2023-05-17,2023-05-23,http://kayak.com/flights/NAP-BRU/2023-05-17/2023-05-23/,48.63,1
Dublin,Irlanda,204,109.18,Ryanair,DUB,2023-03-29,2023-04-04,http://kayak.com/flights/NAP-DUB/2023-03-29/2023-04-04/,109.18,1
Palma de Maiorca,Espanha,115,28.45,Ryanair,PMI,2023-02-25,2023-03-04,http://kayak.com/flights/NAP-PMI/2023-02-25/2023-03-04/,28.45,1
Málaga,Espanha,780,83.49,Ryanair,AGP,2023-03-25,2023-03-30,http://kayak.com/flights/NAP-AGP/2023-03-25/2023-03-30/,83.49,1
Porto,Portugal,865,85.33,Ryanair,OPO,2023-02-28,2023-03-05,http://kayak.com/flights/NAP-OPO/2023-02-28/2023-03-05/,85.33,1
Nova Deli,Índia,1855,648.64,Várias companhias aéreas,DEL,2023-01-27,2023-02-03,http://kayak.com/flights/NAP-DEL/2023-01-27/2023-02-03/,648.64,1
Oslo,Noruega,695,115.6,Várias companhias aéreas,OSL,2023-03-13,2023-03-19,http://kayak.com/flights/NAP-OSL/2023-03-13/2023-03-19/,115.6,1
Dusseldorf,Alemanha,1580,141.29,Várias companhias aéreas,DUS,2023-03-11,2023-03-16,http://kayak.com/flights/NAP-DUS/2023-03-11/2023-03-16/,141.29,1
Atlanta,Estados Unidos,1940,496.35,Várias companhias aéreas,ATL,2023-04-30,2023-05-07,http://kayak.com/flights/NAP-ATL/2023-04-30/2023-05-07/,496.35,1
Las Vegas,Estados Unidos,1174,683.51,KLM,LAS,2023-02-11,2023-02-15,http://kayak.com/flights/NAP-LAS/2023-02-11/2023-02-15/,683.51,1
Helsínquia,Finlândia,720,140.37,Ryanair,HEL,2023-02-15,2023-02-21,http://kayak.com/flights/NAP-HEL/2023-02-15/2023-02-21/,140.37,1
Hamburgo,Alemanha,465,161.48,Ryanair,HAM,2023-05-25,2023-05-29,http://kayak.com/flights/NAP-HAM/2023-05-25/2023-05-29/,161.48,1
Veneza,Itália,75,38.54,Ryanair,VCE,2023-02-08,2023-02-13,http://kayak.com/flights/NAP-VCE/2023-02-08/2023-02-13/,38.54,1
Budapeste,Hungria,100,66.06,Várias companhias aéreas,BUD,2023-03-13,2023-03-20,http://kayak.com/flights/NAP-BUD/2023-03-13/2023-03-20/,66.06,1
Praga,República Checa,780,73.4,Várias companhias aéreas,PRG,2023-05-25,2023-05-30,http://kayak.com/flights/NAP-PRG/2023-05-25/2023-05-30/,73.4,1
Lyon,França,730,153.22,Air France,LYS,2023-02-13,2023-02-17,http://kayak.com/flights/NAP-LYS/2023-02-13/2023-02-17/,153.22,1
Estocolmo,Suécia,905,133.04,Ryanair,STO,2023-03-18,2023-03-23,http://kayak.com/flights/NAP-STO/2023-03-18/2023-03-23/,133.04,1
Marselha,França,105,44.04,Ryanair,MRS,2023-05-18,2023-05-22,http://kayak.com/flights/NAP-MRS/2023-05-18/2023-05-22/,44.04,1
Genebra,Suíça,110,89.92,easyJet,GVA,2023-02-22,2023-02-26,http://kayak.com/flights/NAP-GVA/2023-02-22/2023-02-26/,89.92,1
