City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct
Seattle,Estados Unidos,1490,702.01,British Airways,SEA,2023-10-02,2023-10-09,http://kayak.com/flights/LIS-SEA/2023-10-02/2023-10-09/,702.01,1.0,2023,10,LIS,702.13,702.13,702.13,2023-03-20 02:41:09,True,-0.12000000000000455,-0.017090852121402666
Umeå,Suécia,905,234.32,Várias companhias aéreas,UME,2023-05-25,2023-05-30,http://kayak.com/flights/LIS-UME/2023-05-25/2023-05-30/,234.32,1.0,2023,5,LIS,234.36,248.74875,253.33,2023-03-20 02:41:09,True,-0.040000000000020464,-0.017067759003251606
Liverpool,Reino Unido,1620,117.16,Várias companhias aéreas,LPL,2023-04-17,2023-04-24,http://kayak.com/flights/LIS-LPL/2023-04-17/2023-04-24/,117.16,1.0,2023,4,LIS,117.18,292.0892592592593,232.29,2023-03-20 02:41:09,True,-0.020000000000010232,-0.017067759003251606
Acra,Gana,1430,647.65,TAAG,ACC,2023-11-07,2023-11-12,http://kayak.com/flights/LIS-ACC/2023-11-07/2023-11-12/,647.65,1.0,2023,11,LIS,647.76,647.76,647.76,2023-03-20 02:41:09,True,-0.11000000000001364,-0.016981598122763623
Girona,Espanha,645,118.1,Ryanair,GRO,2023-09-19,2023-09-26,http://kayak.com/flights/LIS-GRO/2023-09-19/2023-09-26/,118.1,1.0,2023,9,LIS,118.12,118.12,118.12,2023-03-20 02:41:09,True,-0.020000000000010232,-0.016931933626828845
Tours,França,495,237.13,Várias companhias aéreas,TUF,2023-04-18,2023-04-25,http://kayak.com/flights/LIS-TUF/2023-04-18/2023-04-25/,237.13,1.0,2023,4,LIS,237.17,295.025,314.88,2023-03-20 02:41:09,True,-0.03999999999999204,-0.016865539486440966
Dortmund,Alemanha,1100,119.04,Ryanair,DTM,2023-05-03,2023-05-09,http://kayak.com/flights/LIS-DTM/2023-05-03/2023-05-09/,119.04,1.0,2023,5,LIS,119.06,254.03636363636363,342.3,2023-03-20 02:41:09,True,-0.01999999999999602,-0.01679825298168656
Jyväskylä,Finlândia,665,657.96,Finnair,JYV,2023-04-17,2023-04-24,http://kayak.com/flights/LIS-JYV/2023-04-17/2023-04-24/,657.96,1.0,2023,4,LIS,658.07,658.07,658.07,2023-03-20 02:41:09,True,-0.11000000000001364,-0.016715546978287057
Takamatsu,Japão,1695,1378.71,Várias companhias aéreas,TAK,2023-06-03,2023-06-09,http://kayak.com/flights/LIS-TAK/2023-06-03/2023-06-09/,1378.71,1.0,2023,6,LIS,1378.94,1383.7400000000002,1386.94,2023-03-20 02:41:09,True,-0.2300000000000182,-0.01667947843996245
Lihue,Estados Unidos,2261,842.6,Air Canada,LIH,2023-12-08,2023-12-12,http://kayak.com/flights/LIS-LIH/2023-12-08/2023-12-12/,842.6,1.0,2023,12,LIS,842.74,1227.4792857142857,1291.585,2023-03-20 02:41:09,True,-0.13999999999998636,-0.016612478344446253
Bozeman,Estados Unidos,2149,784.49,KLM,BZN,2023-04-16,2023-04-23,http://kayak.com/flights/LIS-BZN/2023-04-16/2023-04-23/,784.49,1.0,2023,4,LIS,784.62,784.62,784.62,2023-03-20 02:41:09,True,-0.12999999999999545,-0.0165685299890387
Anchorage,Estados Unidos,1574,1088.16,Várias companhias aéreas,ANC,2023-12-03,2023-12-10,http://kayak.com/flights/LIS-ANC/2023-12-03/2023-12-10/,1088.16,1.0,2023,12,LIS,1088.34,1088.34,1088.34,2023-03-20 02:41:09,True,-0.1799999999998363,-0.016538949225410837
