City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct,weekday_depart,weekday_return,diff_days
Bucareste,Roménia,570,142.4,SWISS,BUH,2023-11-14,2023-11-21,http://kayak.com/flights/LIS-BUH/2023-11-14/2023-11-21/,142.4,1.0,2023,11,LIS,142.74,155.685,151.19,2023-06-03 02:51:49,True,-0.3400000000000034,-0.23819532016253567,Tuesday,Tuesday,7 days
Dalaman,Turquia,1640,482.11,Várias companhias aéreas,DLM,2023-10-28,2023-11-04,http://kayak.com/flights/LIS-DLM/2023-10-28/2023-11-04/,482.11,1.0,2023,10,LIS,483.26,483.7733333333333,483.26,2023-06-03 02:51:49,True,-1.1499999999999773,-0.23796713984190232,Saturday,Saturday,7 days
Bangalore,Índia,1875,746.43,Etihad Airways,BLR,2023-07-13,2023-07-17,http://kayak.com/flights/LIS-BLR/2023-07-13/2023-07-17/,746.43,1.0,2023,7,LIS,748.21,1031.4488811188812,990.07,2023-06-03 02:51:49,True,-1.7800000000000864,-0.23790112401599633,Thursday,Monday,4 days
Gotemburgo,Suécia,2185,214.07,Várias companhias aéreas,GOT,2023-08-20,2023-08-26,http://kayak.com/flights/LIS-GOT/2023-08-20/2023-08-26/,214.07,1.0,2023,8,LIS,214.58,292.365625,315.66,2023-06-03 02:51:49,True,-0.5100000000000193,-0.237673594929639,Sunday,Saturday,6 days
Port Louis,Maurícia,3145,705.48,SWISS,MRU,2023-11-13,2023-11-20,http://kayak.com/flights/LIS-MRU/2023-11-13/2023-11-20/,705.48,1.0,2023,11,LIS,707.16,881.0990384615385,874.11,2023-06-03 02:51:49,True,-1.67999999999995,-0.23756999830306436,Monday,Monday,7 days
Savannah,Estados Unidos,1505,680.35,American Airlines,SAV,2023-11-01,2023-11-06,http://kayak.com/flights/LIS-SAV/2023-11-01/2023-11-06/,680.35,1.0,2023,11,LIS,681.97,682.6933333333333,681.97,2023-06-03 02:51:49,True,-1.6200000000000045,-0.23754710617769176,Wednesday,Monday,5 days
Hartford,Estados Unidos,1850,890.69,United Airlines,BDL,2023-06-08,2023-06-15,http://kayak.com/flights/LIS-BDL/2023-06-08/2023-06-15/,890.69,1.0,2023,6,LIS,892.81,941.2416666666667,949.72,2023-06-03 02:51:49,True,-2.119999999999891,-0.23745253749396744,Thursday,Thursday,7 days
Springfield,Estados Unidos,1850,890.69,United Airlines,SFY,2023-06-08,2023-06-15,http://kayak.com/flights/LIS-SFY/2023-06-08/2023-06-15/,890.69,1.0,2023,6,LIS,892.81,1080.0805882352943,1156.15,2023-06-03 02:51:49,True,-2.119999999999891,-0.23745253749396744,Thursday,Thursday,7 days
Acra,Gana,1655,668.25,Brussels Airlines,ACC,2024-01-30,2024-02-06,http://kayak.com/flights/LIS-ACC/2024-01-30/2024-02-06/,668.25,1.0,2024,1,LIS,669.84,678.71,679.23,2023-06-03 02:51:49,True,-1.5900000000000318,-0.23737011823719573,Tuesday,Tuesday,7 days
Lubango,Angola,1975,659.88,TAAG,SDD,2023-10-26,2023-10-30,http://kayak.com/flights/LIS-SDD/2023-10-26/2023-10-30/,659.88,1.0,2023,10,LIS,661.45,662.15,661.45,2023-06-03 02:51:49,True,-1.57000000000005,-0.23735732103712298,Thursday,Monday,4 days
Oslo,Noruega,665,130.3,Várias companhias aéreas,OSL,2023-09-19,2023-09-23,http://kayak.com/flights/LIS-OSL/2023-09-19/2023-09-23/,130.3,1.0,2023,9,LIS,130.61,170.1509677419355,171.49,2023-06-03 02:51:49,True,-0.3100000000000023,-0.23734782941581978,Tuesday,Saturday,4 days
Hanói,Vietname,1975,1357.91,Emirates,HAN,2023-12-17,2023-12-24,http://kayak.com/flights/LIS-HAN/2023-12-17/2023-12-24/,1357.91,1.0,2023,12,LIS,1361.14,1361.14,1361.14,2023-06-03 02:51:49,True,-3.230000000000018,-0.23730108585450563,Sunday,Sunday,7 days
Kailua-Kona,Estados Unidos,2180,845.09,United Airlines,KOA,2024-01-12,2024-01-19,http://kayak.com/flights/LIS-KOA/2024-01-12/2024-01-19/,845.09,1.0,2024,1,LIS,847.1,847.1,847.1,2023-06-03 02:51:49,True,-2.009999999999991,-0.237280132215794,Friday,Friday,7 days
Escópia,Macedónia do Norte,2385,235.47,Várias companhias aéreas,SKP,2023-07-18,2023-07-24,http://kayak.com/flights/LIS-SKP/2023-07-18/2023-07-24/,235.47,1.0,2023,7,LIS,236.03,340.79459459459457,332.16,2023-06-03 02:51:49,True,-0.5600000000000023,-0.23725797568105844,Tuesday,Monday,6 days
Adelaide,Austrália,2235,1988.93,Turkish Airlines,ADL,2023-07-02,2023-07-09,http://kayak.com/flights/LIS-ADL/2023-07-02/2023-07-09/,1988.93,1.0,2023,7,LIS,1993.66,1993.66,1993.66,2023-06-03 02:51:49,True,-4.730000000000018,-0.2372520891225193,Sunday,Sunday,7 days
João Pessoa,Brasil,1400,1021.92,Várias companhias aéreas,JPA,2024-03-04,2024-03-11,http://kayak.com/flights/LIS-JPA/2024-03-04/2024-03-11/,1021.92,1.0,2024,3,LIS,1024.35,1025.4366666666665,1024.35,2023-06-03 02:51:49,True,-2.42999999999995,-0.2372236052130571,Monday,Monday,7 days
Cruz,Brasil,2555,1400.72,Várias companhias aéreas,JJD,2023-07-08,2023-07-15,http://kayak.com/flights/LIS-JJD/2023-07-08/2023-07-15/,1400.72,1.0,2023,7,LIS,1404.05,1404.05,1404.05,2023-06-03 02:51:49,True,-3.3299999999999272,-0.2371710409173411,Saturday,Saturday,7 days
Omaha,Estados Unidos,1673,1173.63,Várias companhias aéreas,OMA,2023-06-29,2023-07-06,http://kayak.com/flights/LIS-OMA/2023-06-29/2023-07-06/,1173.63,1.0,2023,6,LIS,1176.42,1177.1680000000001,1176.42,2023-06-03 02:51:49,True,-2.7899999999999636,-0.23716019788850606,Thursday,Thursday,7 days
Simpson Bay,São Martinho (Sint Maarten),2044,1148.5,American Airlines,SXM,2023-08-21,2023-08-26,http://kayak.com/flights/LIS-SXM/2023-08-21/2023-08-26/,1148.5,1.0,2023,8,LIS,1151.23,1186.909375,1202.66,2023-06-03 02:51:49,True,-2.730000000000018,-0.23713767014410833,Monday,Saturday,5 days
Almaty,Cazaquistão,2405,719.44,Várias companhias aéreas,ALA,2023-06-08,2023-06-12,http://kayak.com/flights/LIS-ALA/2023-06-08/2023-06-12/,719.44,1.0,2023,6,LIS,721.15,834.1472727272726,856.93,2023-06-03 02:51:49,True,-1.7099999999999227,-0.23712126464673408,Thursday,Monday,4 days
Thal,Suíça,1250,2057.8,Várias companhias aéreas,ACH,2023-10-04,2023-10-08,http://kayak.com/flights/LIS-ACH/2023-10-04/2023-10-08/,2057.8,1.0,2023,10,LIS,2062.69,2065.5057142857145,2062.69,2023-06-03 02:51:49,True,-4.889999999999873,-0.23706907000081798,Wednesday,Sunday,4 days
Sinop,Brasil,955,1329.99,Azul,OPS,2023-09-22,2023-09-29,http://kayak.com/flights/LIS-OPS/2023-09-22/2023-09-29/,1329.99,1.0,2023,9,LIS,1333.15,1334.967142857143,1333.15,2023-06-03 02:51:49,True,-3.160000000000082,-0.23703259198140356,Friday,Friday,7 days
Ust-Kamenogorsk,Cazaquistão,2925,757.6,Várias companhias aéreas,UKK,2023-12-05,2023-12-09,http://kayak.com/flights/LIS-UKK/2023-12-05/2023-12-09/,757.6,1.0,2023,12,LIS,759.4,759.4,759.4,2023-06-03 02:51:49,True,-1.7999999999999545,-0.23702923360547204,Tuesday,Saturday,4 days
León,México,2685,980.97,Aeromexico,BJX,2023-06-15,2023-06-22,http://kayak.com/flights/LIS-BJX/2023-06-15/2023-06-22/,980.97,1.0,2023,6,LIS,983.3,1006.97,983.3,2023-06-03 02:51:49,True,-2.3299999999999272,-0.23695718498931428,Thursday,Thursday,7 days
Sturup,Suécia,1620,256.88,Várias companhias aéreas,MMX,2023-06-23,2023-06-27,http://kayak.com/flights/LIS-MMX/2023-06-23/2023-06-27/,256.88,1.0,2023,6,LIS,257.49,326.09238095238095,342.1,2023-06-03 02:51:49,True,-0.6100000000000136,-0.23690240397685877,Friday,Tuesday,4 days
