City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Incheon,Coreia do Sul,1975,571.58,LOT,ICN,2023-02-25,2023-03-04,http://kayak.com/flights/MXP-ICN/2023-02-25/2023-03-04/,571.58,1.0
Paris,França,90,49.55,Vueling,PAR,2023-03-27,2023-03-31,http://kayak.com/flights/MXP-PAR/2023-03-27/2023-03-31/,49.55,1.0
Nova Iorque,Estados Unidos,940,303.68,Air Canada,NYC,2023-03-28,2023-04-02,http://kayak.com/flights/MXP-NYC/2023-03-28/2023-04-02/,303.68,1.0
Londres,Reino Unido,120,19.27,Ryanair,LON,2023-03-15,2023-03-22,http://kayak.com/flights/MXP-LON/2023-03-15/2023-03-22/,19.27,1.0
Los Angeles,Estados Unidos,1480,452.31,Scandinavian Airlines,LAX,2023-09-12,2023-09-19,http://kayak.com/flights/MXP-LAX/2023-09-12/2023-09-19/,452.31,1.0
Copenhaga,Dinamarca,930,66.06,Ryanair,CPH,2023-02-28,2023-03-04,http://kayak.com/flights/MXP-CPH/2023-02-28/2023-03-04/,66.06,1.0
Banguecoque,Tailândia,1685,600.02,Oman Air,BKK,2023-05-21,2023-05-28,http://kayak.com/flights/MXP-BKK/2023-05-21/2023-05-28/,600.02,1.0
Madrid,Espanha,140,44.04,Ryanair,MAD,2023-02-22,2023-03-01,http://kayak.com/flights/MXP-MAD/2023-02-22/2023-03-01/,44.04,1.0
Miami,Estados Unidos,1379,361.48,Várias companhias aéreas,MIA,2023-04-20,2023-04-25,http://kayak.com/flights/MXP-MIA/2023-04-20/2023-04-25/,361.48,1.0
Barcelona,Espanha,100,27.53,Ryanair,BCN,2023-03-01,2023-03-08,http://kayak.com/flights/MXP-BCN/2023-03-01/2023-03-08/,27.53,1.0
São Francisco,Estados Unidos,1980,422.95,British Airways,SFO,2023-02-15,2023-02-19,http://kayak.com/flights/MXP-SFO/2023-02-15/2023-02-19/,422.95,1.0
Lisboa,Portugal,175,43.13,easyJet,LIS,2023-03-01,2023-03-08,http://kayak.com/flights/MXP-LIS/2023-03-01/2023-03-08/,43.13,1.0
Frankfurt,Alemanha,855,75.24,Ryanair,FRA,2023-02-22,2023-02-26,http://kayak.com/flights/MXP-FRA/2023-02-22/2023-02-26/,75.24,1.0
Boston,Estados Unidos,1500,431.21,Scandinavian Airlines,BOS,2023-04-28,2023-05-02,http://kayak.com/flights/MXP-BOS/2023-04-28/2023-05-02/,431.21,1.0
Viena,Áustria,90,31.2,Ryanair,VIE,2023-03-22,2023-03-29,http://kayak.com/flights/MXP-VIE/2023-03-22/2023-03-29/,31.2,1.0
Amesterdão,Holanda,115,86.25,easyJet,AMS,2023-06-29,2023-07-04,http://kayak.com/flights/MXP-AMS/2023-06-29/2023-07-04/,86.25,1.0
Manila,Filipinas,1375,803.69,SAUDIA,MNL,2023-09-05,2023-09-09,http://kayak.com/flights/MXP-MNL/2023-09-05/2023-09-09/,803.69,1.0
Nova Deli,Índia,1745,462.4,Gulf Air,DEL,2023-02-05,2023-02-09,http://kayak.com/flights/MXP-DEL/2023-02-05/2023-02-09/,462.4,1.0
Las Vegas,Estados Unidos,1255,628.46,British Airways,LAS,2023-11-02,2023-11-06,http://kayak.com/flights/MXP-LAS/2023-11-02/2023-11-06/,628.46,1.0
Dubai,Emirados Árabes Unidos,1665,308.27,Wizz Air,DXB,2023-02-22,2023-02-28,http://kayak.com/flights/MXP-DXB/2023-02-22/2023-02-28/,308.27,1.0
Roma,Itália,885,56.89,Ryanair,ROM,2023-02-25,2023-03-02,http://kayak.com/flights/MXP-ROM/2023-02-25/2023-03-02/,56.89,1.0
Istambul,Turquia,805,112.85,Várias companhias aéreas,IST,2023-03-27,2023-04-02,http://kayak.com/flights/MXP-IST/2023-03-27/2023-04-02/,112.85,1.0
Berlim,Alemanha,105,41.29,Ryanair,BER,2023-10-10,2023-10-15,http://kayak.com/flights/MXP-BER/2023-10-10/2023-10-15/,41.29,1.0
Cancún,México,1905,597.26,Turkish Airlines,CUN,2023-03-11,2023-03-18,http://kayak.com/flights/MXP-CUN/2023-03-11/2023-03-18/,597.26,1.0
Munique,Alemanha,420,160.56,Várias companhias aéreas,MUC,2023-07-19,2023-07-24,http://kayak.com/flights/MXP-MUC/2023-07-19/2023-07-24/,160.56,1.0
Bogotá,Colômbia,2240,549.56,Turkish Airlines,BOG,2023-02-25,2023-03-03,http://kayak.com/flights/MXP-BOG/2023-02-25/2023-03-03/,549.56,1.0
Atlanta,Estados Unidos,921,482.58,British Airways,ATL,2023-05-30,2023-06-05,http://kayak.com/flights/MXP-ATL/2023-05-30/2023-06-05/,482.58,1.0
Newark,Estados Unidos,875,305.52,Várias companhias aéreas,EWR,2023-03-28,2023-04-02,http://kayak.com/flights/MXP-EWR/2023-03-28/2023-04-02/,305.52,1.0
Sydney,Austrália,2100,1391.78,Várias companhias aéreas,SYD,2023-02-17,2023-02-24,http://kayak.com/flights/MXP-SYD/2023-02-17/2023-02-24/,1391.78,1.0
Singapura,Singapura,2095,526.62,Turkish Airlines,SIN,2023-06-04,2023-06-11,http://kayak.com/flights/MXP-SIN/2023-06-04/2023-06-11/,526.62,1.0
Zurique,Suíça,60,121.11,SWISS,ZRH,2023-03-16,2023-03-21,http://kayak.com/flights/MXP-ZRH/2023-03-16/2023-03-21/,121.11,1.0
Seattle,Estados Unidos,1862,657.82,Várias companhias aéreas,SEA,2023-04-29,2023-05-06,http://kayak.com/flights/MXP-SEA/2023-04-29/2023-05-06/,657.82,1.0
Cidade do México,México,1630,601.85,Turkish Airlines,MEX,2023-01-30,2023-02-03,http://kayak.com/flights/MXP-MEX/2023-01-30/2023-02-03/,601.85,1.0
Atenas,Grécia,165,64.23,Várias companhias aéreas,ATH,2023-06-02,2023-06-07,http://kayak.com/flights/MXP-ATH/2023-06-02/2023-06-07/,64.23,1.0
Denver,Estados Unidos,1141,658.73,United Airlines,DEN,2023-03-11,2023-03-16,http://kayak.com/flights/MXP-DEN/2023-03-11/2023-03-16/,658.73,1.0
Dallas,Estados Unidos,1909,579.83,Várias companhias aéreas,DFW,2023-03-07,2023-03-13,http://kayak.com/flights/MXP-DFW/2023-03-07/2023-03-13/,579.83,1.0
Chicago,Estados Unidos,1160,418.36,Scandinavian Airlines,ORD,2023-05-04,2023-05-08,http://kayak.com/flights/MXP-ORD/2023-05-04/2023-05-08/,418.36,1.0
Telavive,Israel,260,83.49,easyJet,TLV,2023-03-07,2023-03-14,http://kayak.com/flights/MXP-TLV/2023-03-07/2023-03-14/,83.49,1.0
Varsóvia,Polónia,960,66.06,Ryanair,WAW,2023-03-17,2023-03-21,http://kayak.com/flights/MXP-WAW/2023-03-17/2023-03-21/,66.06,1.0
Orlando,Estados Unidos,805,497.26,Várias companhias aéreas,MCO,2023-04-19,2023-04-26,http://kayak.com/flights/MXP-MCO/2023-04-19/2023-04-26/,497.26,1.0
