City,Country,Duration,Price,Airline,Airport,Depart,Return,Link
Punta Cana,República Dominicana,1330,922.06,SWISS,PUJ,2023-06-03,2023-06-10,http://kayak.com/flights/MXP-PUJ/2023-06-03/2023-06-10/
Quios,Grécia,705,220.11,Várias companhias aéreas,JKH,2023-06-17,2023-06-24,http://kayak.com/flights/MXP-JKH/2023-06-17/2023-06-24/
Reiquiavique,Islândia,1000,194.22,easyJet,REK,2023-06-16,2023-06-20,http://kayak.com/flights/MXP-REK/2023-06-16/2023-06-20/
Reus,Espanha,715,199.77,Vueling,REU,2023-06-06,2023-06-11,http://kayak.com/flights/MXP-REU/2023-06-06/2023-06-11/
Riade,Arábia Saudita,1320,469.82,Etihad Airways,RUH,2023-06-02,2023-06-09,http://kayak.com/flights/MXP-RUH/2023-06-02/2023-06-09/
Riga,Letónia,325,196.99,Várias companhias aéreas,RIX,2023-06-02,2023-06-06,http://kayak.com/flights/MXP-RIX/2023-06-02/2023-06-06/
Rio de Janeiro,Brasil,2065,752.82,Várias companhias aéreas,RIO,2023-06-06,2023-06-13,http://kayak.com/flights/MXP-RIO/2023-06-06/2023-06-13/
Rodes,Grécia,660,201.62,Várias companhias aéreas,RHO,2023-06-18,2023-06-25,http://kayak.com/flights/MXP-RHO/2023-06-18/2023-06-25/
Roma,Itália,405,511.44,Várias companhias aéreas,ROM,2023-06-03,2023-06-10,http://kayak.com/flights/MXP-ROM/2023-06-03/2023-06-10/
Régio da Calábria,Itália,1500,207.17,Várias companhias aéreas,REG,2023-06-05,2023-06-12,http://kayak.com/flights/MXP-REG/2023-06-05/2023-06-12/
Saint-Denis,Ilha da Reunião,1280,769.46,Várias companhias aéreas,RUN,2023-06-05,2023-06-11,http://kayak.com/flights/MXP-RUN/2023-06-05/2023-06-11/
Salzburgo,Áustria,285,203.47,Lufthansa,SZG,2023-06-13,2023-06-18,http://kayak.com/flights/MXP-SZG/2023-06-13/2023-06-18/
Salónica,Grécia,130,87.86,Aegean Airlines,SKG,2023-06-10,2023-06-17,http://kayak.com/flights/MXP-SKG/2023-06-10/2023-06-17/
Samos,Grécia,1200,613.17,Austrian Airlines,SMI,2023-06-05,2023-06-12,http://kayak.com/flights/MXP-SMI/2023-06-05/2023-06-12/
San Jose,Estados Unidos,1150,489.24,British Airways,SJC,2023-06-04,2023-06-11,http://kayak.com/flights/MXP-SJC/2023-06-04/2023-06-11/
San Juan,Porto Rico,1825,1246.68,Air Canada,SJU,2023-06-24,2023-06-30,http://kayak.com/flights/MXP-SJU/2023-06-24/2023-06-30/
Santa Cruz de Tenerife,Espanha,275,78.62,easyJet,TCI,2023-06-17,2023-06-22,http://kayak.com/flights/MXP-TCI/2023-06-17/2023-06-22/
Santander,Espanha,380,170.17,Ryanair,SDR,2023-06-03,2023-06-07,http://kayak.com/flights/MXP-SDR/2023-06-03/2023-06-07/
Santiago,Chile,1495,2377.74,Air France,SCL,2023-06-13,2023-06-20,http://kayak.com/flights/MXP-SCL/2023-06-13/2023-06-20/
Santiago de Compostela,Espanha,395,139.65,Várias companhias aéreas,SCQ,2023-06-24,2023-06-30,http://kayak.com/flights/MXP-SCQ/2023-06-24/2023-06-30/
Santo Domingo,República Dominicana,865,700.1,Air Europa,SDQ,2023-06-15,2023-06-20,http://kayak.com/flights/MXP-SDQ/2023-06-15/2023-06-20/
Saraievo,Bósnia-Herzegóvina,1070,200.69,Air Serbia,SJJ,2023-06-01,2023-06-06,http://kayak.com/flights/MXP-SJJ/2023-06-01/2023-06-06/
Seul,Coreia do Sul,2395,605.77,LOT,SEL,2023-06-18,2023-06-23,http://kayak.com/flights/MXP-SEL/2023-06-18/2023-06-23/
Sevilha,Espanha,440,91.56,Ryanair,SVQ,2023-06-03,2023-06-07,http://kayak.com/flights/MXP-SVQ/2023-06-03/2023-06-07/
Shannon,Irlanda,780,146.13,Várias companhias aéreas,SNN,2023-06-23,2023-06-27,http://kayak.com/flights/MXP-SNN/2023-06-23/2023-06-27/
Sharjah,Emirados Árabes Unidos,1265,458.72,Várias companhias aéreas,SHJ,2023-06-06,2023-06-13,http://kayak.com/flights/MXP-SHJ/2023-06-06/2023-06-13/
Sharm El Sheikh,Egito,280,164.62,easyJet,SSH,2023-06-08,2023-06-15,http://kayak.com/flights/MXP-SSH/2023-06-08/2023-06-15/
Singapura,Singapura,910,528.08,Turkish Airlines,SIN,2023-06-05,2023-06-11,http://kayak.com/flights/MXP-SIN/2023-06-05/2023-06-11/
Sitia,Grécia,1155,220.11,Aegean Airlines,JSH,2023-06-10,2023-06-17,http://kayak.com/flights/MXP-JSH/2023-06-10/2023-06-17/
Split,Croácia,1505,241.39,Várias companhias aéreas,SPU,2023-06-01,2023-06-06,http://kayak.com/flights/MXP-SPU/2023-06-01/2023-06-06/
