City,Country,Duration,Price,Airline,Airport,Depart,Return,Link
Istambul,Turquia,805,213.64,Várias companhias aéreas,IST,2023-06-12,2023-06-17,http://kayak.com/flights/MXP-IST/2023-06-12/2023-06-17/
Ivalo,Finlândia,1000,403.23,Finnair,IVL,2023-06-21,2023-06-28,http://kayak.com/flights/MXP-IVL/2023-06-21/2023-06-28/
Jacarta,Indonésia,1405,712.12,Etihad Airways,JKT,2023-06-04,2023-06-10,http://kayak.com/flights/MXP-JKT/2023-06-04/2023-06-10/
Jidá,Arábia Saudita,350,138.73,Wizz Air,JED,2023-06-01,2023-06-06,http://kayak.com/flights/MXP-JED/2023-06-01/2023-06-06/
Karpathos,Grécia,1200,252.48,Várias companhias aéreas,AOK,2023-06-17,2023-06-24,http://kayak.com/flights/MXP-AOK/2023-06-17/2023-06-24/
Kobe,Japão,1770,1093.15,ANA,UKB,2023-06-20,2023-06-25,http://kayak.com/flights/MXP-UKB/2023-06-20/2023-06-25/
Kos,Grécia,180,64.74,easyJet,KGS,2023-06-04,2023-06-11,http://kayak.com/flights/MXP-KGS/2023-06-04/2023-06-11/
Kuala Lumpur,Malásia,1600,643.69,Qatar Airways,KUL,2023-06-14,2023-06-20,http://kayak.com/flights/MXP-KUL/2023-06-14/2023-06-20/
La Corunha,Espanha,155,82.31,easyJet,LCG,2023-06-10,2023-06-17,http://kayak.com/flights/MXP-LCG/2023-06-10/2023-06-17/
Lamezia Terme,Itália,110,46.25,Ryanair,SUF,2023-06-14,2023-06-21,http://kayak.com/flights/MXP-SUF/2023-06-14/2023-06-21/
Lampedusa,Itália,125,91.56,easyJet,LMP,2023-06-05,2023-06-12,http://kayak.com/flights/MXP-LMP/2023-06-05/2023-06-12/
Las Palmas,Espanha,905,664.96,Iberia,LPA,2023-06-24,2023-06-30,http://kayak.com/flights/MXP-LPA/2023-06-24/2023-06-30/
Lisboa,Portugal,170,54.57,easyJet,LIS,2023-06-15,2023-06-20,http://kayak.com/flights/MXP-LIS/2023-06-15/2023-06-20/
Londres,Reino Unido,125,56.42,easyJet,LTN,2023-06-13,2023-06-18,http://kayak.com/flights/MXP-LTN/2023-06-13/2023-06-18/
Long Beach,Estados Unidos,2195,1125.52,KLM,LGB,2023-06-10,2023-06-17,http://kayak.com/flights/MXP-LGB/2023-06-10/2023-06-17/
Los Angeles,Estados Unidos,1135,764.84,American Airlines,LAX,2023-06-10,2023-06-17,http://kayak.com/flights/MXP-LAX/2023-06-10/2023-06-17/
Lourdes,França,105,65.67,easyJet,LDE,2023-06-19,2023-06-26,http://kayak.com/flights/MXP-LDE/2023-06-19/2023-06-26/
Luqa,Malta,1055,98.04,Várias companhias aéreas,MLA,2023-06-22,2023-06-29,http://kayak.com/flights/MXP-MLA/2023-06-22/2023-06-29/
Lárnaca,Chipre,900,233.99,SWISS,LCA,2023-06-06,2023-06-13,http://kayak.com/flights/MXP-LCA/2023-06-06/2023-06-13/
Madrid,Espanha,300,101.74,Várias companhias aéreas,MAD,2023-06-20,2023-06-27,http://kayak.com/flights/MXP-MAD/2023-06-20/2023-06-27/
Mahón,Espanha,95,75.84,easyJet,MAH,2023-06-20,2023-06-27,http://kayak.com/flights/MXP-MAH/2023-06-20/2023-06-27/
Malé,Maldivas,775,744.49,Qatar Airways,MLE,2023-06-08,2023-06-15,http://kayak.com/flights/MXP-MLE/2023-06-08/2023-06-15/
Manágua,Nicarágua,1881,695.48,Várias companhias aéreas,MGA,2023-06-15,2023-06-22,http://kayak.com/flights/MXP-MGA/2023-06-15/2023-06-22/
Marraquexe,Marrocos,375,102.66,Várias companhias aéreas,RAK,2023-06-19,2023-06-25,http://kayak.com/flights/MXP-RAK/2023-06-19/2023-06-25/
Marsa Alam,Egito,585,452.25,Várias companhias aéreas,RMF,2023-06-04,2023-06-11,http://kayak.com/flights/MXP-RMF/2023-06-04/2023-06-11/
Mascate,Omã,1075,425.43,Lufthansa,MCT,2023-06-17,2023-06-24,http://kayak.com/flights/MXP-MCT/2023-06-17/2023-06-24/
Medina,Arábia Saudita,1235,1007.14,Várias companhias aéreas,MED,2023-06-26,2023-06-30,http://kayak.com/flights/MXP-MED/2023-06-26/2023-06-30/
Miami,Estados Unidos,1425,582.65,British Airways,MIA,2023-06-04,2023-06-10,http://kayak.com/flights/MXP-MIA/2023-06-04/2023-06-10/
