City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Incheon,Coreia do Sul,1220,715.19,Lufthansa,ICN,2024-01-22,2024-01-29,http://kayak.com/flights/LIS-ICN/2024-01-22/2024-01-29/,715.19,1
Paris,França,155,55.02,easyJet,PAR,2023-06-15,2023-06-20,http://kayak.com/flights/LIS-PAR/2023-06-15/2023-06-20/,55.02,1
Londres,Reino Unido,170,65.11,Wizz Air UK,LON,2023-05-05,2023-05-10,http://kayak.com/flights/LIS-LON/2023-05-05/2023-05-10/,65.11,1
Nova Iorque,Estados Unidos,810,417.2,Delta,NYC,2024-02-09,2024-02-14,http://kayak.com/flights/LIS-NYC/2024-02-09/2024-02-14/,417.2,1
Los Angeles,Estados Unidos,1460,714.28,Air France,LAX,2023-05-07,2023-05-14,http://kayak.com/flights/LIS-LAX/2023-05-07/2023-05-14/,714.28,1
Copenhaga,Dinamarca,835,124.7,Várias companhias aéreas,CPH,2023-05-24,2023-05-31,http://kayak.com/flights/LIS-CPH/2023-05-24/2023-05-31/,124.7,1
Barcelona,Espanha,120,36.68,Vueling,BCN,2024-02-14,2024-02-19,http://kayak.com/flights/LIS-BCN/2024-02-14/2024-02-19/,36.68,1
Madrid,Espanha,85,35.76,easyJet,MAD,2023-04-26,2023-05-03,http://kayak.com/flights/LIS-MAD/2023-04-26/2023-05-03/,35.76,1
São Francisco,Estados Unidos,1365,588.66,British Airways,SFO,2023-08-30,2023-09-06,http://kayak.com/flights/LIS-SFO/2023-08-30/2023-09-06/,588.66,1
Miami,Estados Unidos,1015,390.61,Air Europa,MIA,2023-11-20,2023-11-24,http://kayak.com/flights/LIS-MIA/2023-11-20/2023-11-24/,390.61,1
Viena,Áustria,415,130.21,Várias companhias aéreas,VIE,2023-05-25,2023-05-31,http://kayak.com/flights/LIS-VIE/2023-05-25/2023-05-31/,130.21,1
Amesterdão,Holanda,195,90.78,Vueling,AMS,2023-11-27,2023-12-01,http://kayak.com/flights/LIS-AMS/2023-11-27/2023-12-01/,90.78,1
Frankfurt,Alemanha,1525,158.63,Várias companhias aéreas,FRA,2023-05-03,2023-05-07,http://kayak.com/flights/LIS-FRA/2023-05-03/2023-05-07/,158.63,1
Boston,Estados Unidos,980,494.22,Vueling,BOS,2023-05-10,2023-05-14,http://kayak.com/flights/LIS-BOS/2023-05-10/2023-05-14/,494.22,1
Banguecoque,Tailândia,2145,900.41,Emirates,BKK,2023-10-01,2023-10-08,http://kayak.com/flights/LIS-BKK/2023-10-01/2023-10-08/,900.41,1
Berlim,Alemanha,645,112.78,Ryanair,BER,2023-10-20,2023-10-25,http://kayak.com/flights/LIS-BER/2023-10-20/2023-10-25/,112.78,1
Roma,Itália,190,73.36,Ryanair,ROM,2023-10-11,2023-10-17,http://kayak.com/flights/LIS-ROM/2023-10-11/2023-10-17/,73.36,1
