City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct
Biarritz,França,540,172.58,Várias companhias aéreas,BIQ,2023-06-01,2023-06-08,http://kayak.com/flights/OPO-BIQ/2023-06-01/2023-06-08/,172.58,1.0,2023,6,OPO,628.91,631.1790909090909,630.77,2023-03-21 02:28:34,True,-456.3299999999999,-72.55887169865322
Antália,Turquia,860,225.75,Várias companhias aéreas,AYT,2023-04-19,2023-04-24,http://kayak.com/flights/OPO-AYT/2023-04-19/2023-04-24/,225.75,1.0,2023,4,OPO,296.27,380.05428571428575,387.85,2023-03-21 02:28:34,True,-70.51999999999998,-23.80261248185776
Bratislava,Eslováquia,750,101.68,Ryanair,BTS,2023-05-18,2023-05-23,http://kayak.com/flights/OPO-BTS/2023-05-18/2023-05-23/,101.68,1.0,2023,5,OPO,132.95,241.88899999999998,269.055,2023-03-21 02:28:34,True,-31.269999999999982,-23.520120345994723
Dubrovnik,Croácia,1520,136.2,Várias companhias aéreas,DBV,2023-04-19,2023-04-26,http://kayak.com/flights/OPO-DBV/2023-04-19/2023-04-26/,136.2,1.0,2023,4,OPO,162.57,244.433,212.445,2023-03-21 02:28:34,True,-26.370000000000005,-16.220704927108326
Tijuana,México,2316,833.96,Várias companhias aéreas,TIJ,2023-05-03,2023-05-07,http://kayak.com/flights/OPO-TIJ/2023-05-03/2023-05-07/,833.96,1.0,2023,5,OPO,960.03,986.7029411764706,991.44,2023-03-21 02:28:34,True,-126.06999999999994,-13.13188129537618
Viena,Áustria,625,82.09,Ryanair,VIE,2023-06-21,2023-06-27,http://kayak.com/flights/OPO-VIE/2023-06-21/2023-06-27/,82.09,1.0,2023,6,OPO,91.46,125.92727272727274,130.8,2023-03-21 02:28:34,True,-9.36999999999999,-10.244915810190237
Nova Iorque,Estados Unidos,1555,295.72,PLAY,NYC,2023-05-25,2023-05-29,http://kayak.com/flights/OPO-NYC/2023-05-25/2023-05-29/,295.72,1.0,2023,5,OPO,323.08,413.5514705882353,410.36,2023-03-21 02:28:34,True,-27.359999999999957,-8.468490776278308
New Windsor,Estados Unidos,1555,295.72,PLAY,SWF,2023-05-25,2023-05-29,http://kayak.com/flights/OPO-SWF/2023-05-25/2023-05-29/,295.72,1.0,2023,5,OPO,323.08,579.166052631579,576.9,2023-03-21 02:28:34,True,-27.359999999999957,-8.468490776278308
Frankfurt,Alemanha,1275,115.68,Várias companhias aéreas,FRA,2023-06-21,2023-06-26,http://kayak.com/flights/OPO-FRA/2023-06-21/2023-06-26/,115.68,1.0,2023,6,OPO,123.84,152.70850000000002,131.875,2023-03-21 02:28:34,True,-8.159999999999997,-6.589147286821702
Florianópolis,Brasil,1890,1081.17,Azul,FLN,2023-06-15,2023-06-21,http://kayak.com/flights/OPO-FLN/2023-06-15/2023-06-21/,1081.17,1.0,2023,6,OPO,1145.34,1145.34,1145.34,2023-03-21 02:28:34,True,-64.16999999999985,-5.60270312745559
Daca,Bangladexe,1320,994.41,SAUDIA,DAC,2023-08-29,2023-09-04,http://kayak.com/flights/OPO-DAC/2023-08-29/2023-09-04/,994.41,1.0,2023,8,OPO,1050.49,1051.665,1050.92,2023-03-21 02:28:34,True,-56.08000000000004,-5.338461099106135
Dusseldorf,Alemanha,160,126.87,Ryanair,DUS,2023-06-13,2023-06-20,http://kayak.com/flights/OPO-DUS/2023-06-13/2023-06-20/,126.87,1.0,2023,6,OPO,131.37,172.91,172.53,2023-03-21 02:28:34,True,-4.5,-3.425439598081754
Colombo,Sri Lanka,2395,1180.98,Várias companhias aéreas,CMB,2023-07-19,2023-07-26,http://kayak.com/flights/OPO-CMB/2023-07-19/2023-07-26/,1180.98,1.0,2023,7,OPO,1203.54,1206.4033333333334,1203.54,2023-03-21 02:28:34,True,-22.559999999999945,-1.8744703125778905
Boston,Estados Unidos,1250,492.54,British Airways,BOS,2023-04-19,2023-04-26,http://kayak.com/flights/OPO-BOS/2023-04-19/2023-04-26/,492.54,1.0,2023,4,OPO,499.99,576.2424324324325,533.26,2023-03-21 02:28:34,True,-7.449999999999989,-1.4900298005960095
