City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct,weekday_depart,weekday_return,diff_days
Krabi,Tailândia,2250,708.23,Várias companhias aéreas,KBV,2023-05-08,2023-05-12,http://kayak.com/flights/NAP-KBV/2023-05-08/2023-05-12/,708.23,1.0,2023,5,NAP,711.8,711.8,711.8,2023-05-04 02:33:22,True,-3.5699999999999363,-0.5015453779151358,Monday,Friday,4 days
Aarhus,Dinamarca,850,124.99,Várias companhias aéreas,AAR,2023-06-02,2023-06-09,http://kayak.com/flights/NAP-AAR/2023-06-02/2023-06-09/,124.99,1.0,2023,6,NAP,125.62,443.6235,498.32,2023-05-04 02:33:22,True,-0.6300000000000097,-0.5015124980098787,Friday,Friday,7 days
Sharm El Sheikh,Egito,230,83.33,easyJet,SSH,2024-01-28,2024-02-04,http://kayak.com/flights/NAP-SSH/2024-01-28/2024-02-04/,83.33,1.0,2024,1,NAP,83.75,108.20249999999999,101.52,2023-05-04 02:33:22,True,-0.4200000000000017,-0.5014925373134349,Sunday,Sunday,7 days
Atlanta,Estados Unidos,1840,1123.02,Air France,ATL,2023-07-31,2023-08-07,http://kayak.com/flights/NAP-ATL/2023-07-31/2023-08-07/,1123.02,1.0,2023,7,NAP,1128.68,1128.68,1128.68,2023-05-04 02:33:22,True,-5.660000000000082,-0.501470744586604,Monday,Monday,7 days
Crotone,Itália,325,321.51,Ryanair,CRV,2023-06-02,2023-06-09,http://kayak.com/flights/NAP-CRV/2023-06-02/2023-06-09/,321.51,1.0,2023,6,NAP,323.13,329.26461538461535,330.49,2023-05-04 02:33:22,True,-1.6200000000000045,-0.5013462074087842,Friday,Friday,7 days
Da Nang,Vietname,2645,1730.72,SWISS,DAD,2023-08-08,2023-08-15,http://kayak.com/flights/NAP-DAD/2023-08-08/2023-08-15/,1730.72,1.0,2023,8,NAP,1739.44,1739.44,1739.44,2023-05-04 02:33:22,True,-8.720000000000027,-0.5013107666835319,Tuesday,Tuesday,7 days
Quios,Grécia,1390,599.55,Várias companhias aéreas,JKH,2023-08-01,2023-08-06,http://kayak.com/flights/NAP-JKH/2023-08-01/2023-08-06/,599.55,1.0,2023,8,NAP,602.57,626.5823076923077,628.56,2023-05-04 02:33:22,True,-3.0200000000000955,-0.50118658413132,Tuesday,Sunday,5 days
Istambul,Turquia,140,206.5,Turkish Airlines,IST,2023-11-10,2023-11-17,http://kayak.com/flights/NAP-IST/2023-11-10/2023-11-17/,206.5,1.0,2023,11,NAP,207.54,218.435,210.18,2023-05-04 02:33:22,True,-1.039999999999992,-0.5011082201021452,Friday,Friday,7 days
Santa Ana,Estados Unidos,2290,587.78,United Airlines,SNA,2023-11-14,2023-11-21,http://kayak.com/flights/NAP-SNA/2023-11-14/2023-11-21/,587.78,1.0,2023,11,NAP,590.74,666.5861538461539,679.69,2023-05-04 02:33:22,True,-2.9600000000000364,-0.5010664590175096,Tuesday,Tuesday,7 days
Barranquilla,Colômbia,1165,1072.31,Várias companhias aéreas,BAQ,2023-05-04,2023-05-11,http://kayak.com/flights/NAP-BAQ/2023-05-04/2023-05-11/,1072.31,1.0,2023,5,NAP,1077.71,1077.71,1077.71,2023-05-04 02:33:22,True,-5.400000000000091,-0.5010624379471371,Thursday,Thursday,7 days
