City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct,weekday_depart,weekday_return,diff_days
Reus,Espanha,770,229.8,Vueling,REU,2023-06-10,2023-06-14,http://kayak.com/flights/LIS-REU/2023-06-10/2023-06-14/,229.8,1,2023,6,LIS,268.12,313.1588461538462,311.56,2023-03-24 20:14:07,True,-38.31999999999999,-14.292108011338204,Saturday,Wednesday,4 days
Lahore,Paquistão,1645,792.34,Várias companhias aéreas,LHE,2023-06-21,2023-06-28,http://kayak.com/flights/LIS-LHE/2023-06-21/2023-06-28/,792.34,1,2023,6,LIS,920.08,944.2746666666666,945.27,2023-03-24 20:14:07,True,-127.74000000000001,-13.883575341274673,Wednesday,Wednesday,7 days
Bergen,Noruega,1525,309.77,Várias companhias aéreas,BGO,2023-06-18,2023-06-24,http://kayak.com/flights/LIS-BGO/2023-06-18/2023-06-24/,309.77,1,2023,6,LIS,358.3,388.2628571428572,358.3,2023-03-24 20:14:07,True,-48.53000000000003,-13.544515768908743,Sunday,Saturday,6 days
Kiruna,Suécia,1660,614.94,Várias companhias aéreas,KRN,2023-04-23,2023-04-30,http://kayak.com/flights/LIS-KRN/2023-04-23/2023-04-30/,614.94,1,2023,4,LIS,709.69,709.7871428571428,709.72,2023-03-24 20:14:07,True,-94.75,-13.35089968859643,Sunday,Sunday,7 days
Amesterdão,Holanda,195,90.08,Vueling,AMS,2023-12-07,2023-12-13,http://kayak.com/flights/LIS-AMS/2023-12-07/2023-12-13/,90.08,1,2023,12,LIS,98.42,115.14099999999999,100.765,2023-03-24 20:14:07,True,-8.340000000000003,-8.473887421255846,Thursday,Wednesday,6 days
Pequim,China,910,978.01,Várias companhias aéreas,BJS,2023-05-05,2023-05-10,http://kayak.com/flights/LIS-BJS/2023-05-05/2023-05-10/,978.01,1,2023,5,LIS,1053.6,1082.77375,1058.71,2023-03-24 20:14:07,True,-75.58999999999992,-7.174449506454055,Friday,Wednesday,5 days
Dresden,Alemanha,950,246.35,Ryanair,DRS,2023-04-23,2023-04-30,http://kayak.com/flights/LIS-DRS/2023-04-23/2023-04-30/,246.35,1,2023,4,LIS,262.94,381.401875,395.475,2023-03-24 20:14:07,True,-16.590000000000003,-6.309424203240284,Sunday,Sunday,7 days
São Francisco,Estados Unidos,1190,545.08,Várias companhias aéreas,SFO,2023-09-09,2023-09-16,http://kayak.com/flights/LIS-SFO/2023-09-09/2023-09-16/,545.08,1,2023,9,LIS,577.77,591.1609523809524,582.67,2023-03-24 20:14:07,True,-32.68999999999994,-5.657960780241263,Saturday,Saturday,7 days
Mascate,Omã,1270,697.66,Lufthansa,MCT,2023-07-05,2023-07-12,http://kayak.com/flights/LIS-MCT/2023-07-05/2023-07-12/,697.66,1,2023,7,LIS,732.94,732.98,732.94,2023-03-24 20:14:07,True,-35.280000000000086,-4.813490872377014,Wednesday,Wednesday,7 days
Luanda,Angola,1325,435.7,Brussels Airlines,LAD,2023-06-07,2023-06-13,http://kayak.com/flights/LIS-LAD/2023-06-07/2023-06-13/,435.7,1,2023,6,LIS,454.36,494.77250000000004,508.66,2023-03-24 20:14:07,True,-18.660000000000025,-4.106875605246946,Wednesday,Tuesday,6 days
Bristol,Reino Unido,580,122.26,Ryanair,BRS,2023-06-21,2023-06-28,http://kayak.com/flights/LIS-BRS/2023-06-21/2023-06-28/,122.26,1,2023,6,LIS,127.29,190.77094339622641,187.4,2023-03-24 20:14:07,True,-5.030000000000001,-3.9516065676801015,Wednesday,Wednesday,7 days
Antália,Turquia,775,251.86,Várias companhias aéreas,AYT,2023-05-04,2023-05-11,http://kayak.com/flights/LIS-AYT/2023-05-04/2023-05-11/,251.86,1,2023,5,LIS,261.31,291.85,308.82,2023-03-24 20:14:07,True,-9.449999999999989,-3.616394320921507,Thursday,Thursday,7 days
Vitória,Brasil,2385,921.02,Várias companhias aéreas,VIX,2023-06-05,2023-06-09,http://kayak.com/flights/LIS-VIX/2023-06-05/2023-06-09/,921.02,1,2023,6,LIS,950.7,954.095,954.095,2023-03-24 20:14:07,True,-29.680000000000064,-3.1219101714526203,Monday,Friday,4 days
Singapura,Singapura,1390,654.46,Air France,SIN,2023-04-04,2023-04-09,http://kayak.com/flights/LIS-SIN/2023-04-04/2023-04-09/,654.46,1,2023,4,LIS,672.16,1322.9291489361701,848.42,2023-03-24 20:14:07,True,-17.699999999999932,-2.633301594858357,Tuesday,Sunday,5 days
Calvi,França,925,352.05,Várias companhias aéreas,CLY,2023-08-26,2023-09-02,http://kayak.com/flights/LIS-CLY/2023-08-26/2023-09-02/,352.05,1,2023,8,LIS,359.25,406.80428571428575,411.94,2023-03-24 20:14:07,True,-7.199999999999989,-2.0041753653444645,Saturday,Saturday,7 days
Raleigh,Estados Unidos,1429,656.3,British Airways,RDU,2023-04-13,2023-04-17,http://kayak.com/flights/LIS-RDU/2023-04-13/2023-04-17/,656.3,1,2023,4,LIS,665.12,1084.7320689655173,767.48,2023-03-24 20:14:07,True,-8.82000000000005,-1.3260764974741475,Thursday,Monday,4 days
Vila do Porto,Portugal,220,106.63,Azores Airlines,SMA,2023-05-04,2023-05-11,http://kayak.com/flights/LIS-SMA/2023-05-04/2023-05-11/,106.63,1,2023,5,LIS,107.77,182.64894736842106,136.34,2023-03-24 20:14:07,True,-1.1400000000000006,-1.0578082954440018,Thursday,Thursday,7 days
Nova Iorque,Estados Unidos,1680,402.61,Air Canada,NYC,2023-12-01,2023-12-08,http://kayak.com/flights/LIS-NYC/2023-12-01/2023-12-08/,402.61,1,2023,12,LIS,406.44,414.25,408.3,2023-03-24 20:14:07,True,-3.829999999999984,-0.9423285109733256,Friday,Friday,7 days
Newark,Estados Unidos,1746,402.61,Air Canada,EWR,2023-12-01,2023-12-08,http://kayak.com/flights/LIS-EWR/2023-12-01/2023-12-08/,402.61,1,2023,12,LIS,406.44,419.7768181818182,410.24,2023-03-24 20:14:07,True,-3.829999999999984,-0.9423285109733256,Friday,Friday,7 days
Banja Luka,Bósnia-Herzegóvina,1425,328.15,Várias companhias aéreas,BNX,2023-08-22,2023-08-29,http://kayak.com/flights/LIS-BNX/2023-08-22/2023-08-29/,328.15,1,2023,8,LIS,330.53,330.53,330.53,2023-03-24 20:14:07,True,-2.3799999999999955,-0.7200556681693026,Tuesday,Tuesday,7 days
Lamezia Terme,Itália,680,217.85,Várias companhias aéreas,SUF,2023-07-01,2023-07-08,http://kayak.com/flights/LIS-SUF/2023-07-01/2023-07-08/,217.85,1,2023,7,LIS,219.43,229.61714285714285,229.91,2023-03-24 20:14:07,True,-1.5800000000000125,-0.7200473955247745,Saturday,Saturday,7 days
Islamabad,Paquistão,870,797.85,Turkish Airlines,ISB,2023-08-29,2023-09-05,http://kayak.com/flights/LIS-ISB/2023-08-29/2023-09-05/,797.85,1,2023,8,LIS,803.63,803.63,803.63,2023-03-24 20:14:07,True,-5.779999999999973,-0.7192364645421366,Tuesday,Tuesday,7 days
Minneapolis,Estados Unidos,1581,687.55,British Airways,MSP,2023-04-22,2023-04-29,http://kayak.com/flights/LIS-MSP/2023-04-22/2023-04-29/,687.55,1,2023,4,LIS,692.53,788.761,786.81,2023-03-24 20:14:07,True,-4.980000000000018,-0.7191024215557476,Saturday,Saturday,7 days
Billings,Estados Unidos,1919,876.9,Air France,BIL,2023-03-29,2023-04-05,http://kayak.com/flights/LIS-BIL/2023-03-29/2023-04-05/,876.9,1,2023,3,LIS,883.25,884.472857142857,883.25,2023-03-24 20:14:07,True,-6.350000000000023,-0.7189357486555361,Wednesday,Wednesday,7 days
Dakhla,Sara Ocidental,1580,566.22,Royal Air Maroc,VIL,2023-03-28,2023-04-01,http://kayak.com/flights/LIS-VIL/2023-03-28/2023-04-01/,566.22,1,2023,3,LIS,570.32,712.0784615384616,573.08,2023-03-24 20:14:07,True,-4.100000000000023,-0.7188946556319299,Tuesday,Saturday,4 days
