City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct,weekday_depart,weekday_return,diff_days
Bodø,Noruega,830,328.21,Várias companhias aéreas,BOO,2023-05-17,2023-05-24,http://kayak.com/flights/OPO-BOO/2023-05-17/2023-05-24/,328.21,1.0,2023,5,OPO,329.28,329.36,329.28,2023-03-31 02:35:34,True,-1.0699999999999932,-0.3249514091350806,Wednesday,Wednesday,7 days
Bremen,Alemanha,1535,245.47,Várias companhias aéreas,BRE,2023-08-28,2023-09-03,http://kayak.com/flights/OPO-BRE/2023-08-28/2023-09-03/,245.47,1.0,2023,8,OPO,246.27,246.27,246.27,2023-03-31 02:35:34,True,-0.8000000000000114,-0.32484671295732787,Monday,Sunday,6 days
León,Espanha,755,497.37,Várias companhias aéreas,LEN,2023-04-03,2023-04-07,http://kayak.com/flights/OPO-LEN/2023-04-03/2023-04-07/,497.37,1.0,2023,4,OPO,498.99,500.8222222222222,499.6,2023-03-31 02:35:34,True,-1.6200000000000045,-0.3246558047255465,Monday,Friday,4 days
Los Angeles,Estados Unidos,1695,540.58,Várias companhias aéreas,LAX,2023-10-05,2023-10-09,http://kayak.com/flights/OPO-LAX/2023-10-05/2023-10-09/,540.58,1.0,2023,10,OPO,542.34,664.5174999999999,705.0999999999999,2023-03-31 02:35:34,True,-1.759999999999991,-0.32451967400523485,Thursday,Monday,4 days
Aqaba,Jordânia,1320,485.42,easyJet,AQJ,2023-10-31,2023-11-07,http://kayak.com/flights/OPO-AQJ/2023-10-31/2023-11-07/,485.42,1.0,2023,10,OPO,487.0,487.80199999999996,487.59,2023-03-31 02:35:34,True,-1.579999999999984,-0.3244353182751507,Tuesday,Tuesday,7 days
Bydgoszcz,Polónia,1125,242.71,Várias companhias aéreas,BZG,2023-04-22,2023-04-29,http://kayak.com/flights/OPO-BZG/2023-04-22/2023-04-29/,242.71,1.0,2023,4,OPO,243.5,738.285294117647,1170.25,2023-03-31 02:35:34,True,-0.789999999999992,-0.3244353182751507,Saturday,Saturday,7 days
Esmirna,Turquia,1375,341.08,Várias companhias aéreas,IZM,2023-09-22,2023-09-29,http://kayak.com/flights/OPO-IZM/2023-09-22/2023-09-29/,341.08,1.0,2023,9,OPO,342.19,464.58375,498.39,2023-03-31 02:35:34,True,-1.1100000000000136,-0.3243811917355895,Friday,Friday,7 days
Haugesund,Noruega,1485,430.26,Várias companhias aéreas,HAU,2023-06-17,2023-06-21,http://kayak.com/flights/OPO-HAU/2023-06-17/2023-06-21/,430.26,1.0,2023,6,OPO,431.66,431.92,431.92,2023-03-31 02:35:34,True,-1.400000000000034,-0.3243293332715642,Saturday,Wednesday,4 days
Ålesund,Noruega,1030,430.26,Várias companhias aéreas,AES,2023-06-17,2023-06-21,http://kayak.com/flights/OPO-AES/2023-06-17/2023-06-21/,430.26,1.0,2023,6,OPO,431.66,431.92,431.92,2023-03-31 02:35:34,True,-1.400000000000034,-0.3243293332715642,Saturday,Wednesday,4 days
Cardiff,Reino Unido,1505,215.13,Várias companhias aéreas,CWL,2023-09-16,2023-09-23,http://kayak.com/flights/OPO-CWL/2023-09-16/2023-09-23/,215.13,1.0,2023,9,OPO,215.83,227.04636363636365,235.32,2023-03-31 02:35:34,True,-0.700000000000017,-0.3243293332715642,Saturday,Saturday,7 days
