City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct
Cozumel,México,1888,923.21,American Airlines,CZM,2023-06-07,2023-06-13,http://kayak.com/flights/MAD-CZM/2023-06-07/2023-06-13/,923.21,1.0,2023,6,MAD,933.49,1207.3668421052632,1125.17,2023-03-20 02:41:21,True,-10.279999999999973,-1.101243719804173
Victoria,Seicheles,1340,887.59,Várias companhias aéreas,SEZ,2023-11-18,2023-11-25,http://kayak.com/flights/MAD-SEZ/2023-11-18/2023-11-25/,887.59,1.0,2023,11,MAD,890.54,890.54,890.54,2023-03-20 02:41:21,True,-2.949999999999932,-0.3312596851348543
Dallas,Estados Unidos,1010,662.65,KLM,DFW,2023-04-18,2023-04-25,http://kayak.com/flights/MAD-DFW/2023-04-18/2023-04-25/,662.65,1.0,2023,4,MAD,664.63,714.4407692307692,697.77,2023-03-20 02:41:21,True,-1.9800000000000182,-0.2979101154025575
Bérgamo,Itália,140,42.18,Ryanair,BGY,2023-05-30,2023-06-05,http://kayak.com/flights/MAD-BGY/2023-05-30/2023-06-05/,42.18,1.0,2023,5,MAD,42.3,48.77914285714286,45.52,2023-03-20 02:41:21,True,-0.11999999999999744,-0.2836879432624053
Arrecife,Espanha,165,25.31,Ryanair,ACE,2023-04-19,2023-04-26,http://kayak.com/flights/MAD-ACE/2023-04-19/2023-04-26/,25.31,1.0,2023,4,MAD,25.32,51.091379310344834,47.02,2023-03-20 02:41:21,True,-0.010000000000001563,-0.039494470774097803
Fes,Marrocos,100,28.12,Ryanair,FEZ,2023-04-20,2023-04-27,http://kayak.com/flights/MAD-FEZ/2023-04-20/2023-04-27/,28.12,1.0,2023,4,MAD,28.13,73.99896551724137,48.925,2023-03-20 02:41:21,True,-0.00999999999999801,-0.03554923569142556
Sevilha,Espanha,70,44.99,Iberia Express,SVQ,2023-07-04,2023-07-08,http://kayak.com/flights/MAD-SVQ/2023-07-04/2023-07-08/,44.99,1.0,2023,7,MAD,45.0,51.72833333333333,48.67,2023-03-20 02:41:21,True,-0.00999999999999801,-0.0222222222222178
Ponta Delgada,Portugal,410,136.84,Várias companhias aéreas,PDL,2023-10-16,2023-10-21,http://kayak.com/flights/MAD-PDL/2023-10-16/2023-10-21/,136.84,1.0,2023,10,MAD,136.87,136.87,136.87,2023-03-20 02:41:21,True,-0.030000000000001137,-0.02191860889895604
Funchal,Portugal,1285,93.73,Várias companhias aéreas,FNC,2023-11-07,2023-11-14,http://kayak.com/flights/MAD-FNC/2023-11-07/2023-11-14/,93.73,1.0,2023,11,MAD,93.75,96.85,96.85,2023-03-20 02:41:21,True,-0.01999999999999602,-0.02133333333332909
Zadar,Croácia,1455,97.48,Várias companhias aéreas,ZAD,2023-06-06,2023-06-13,http://kayak.com/flights/MAD-ZAD/2023-06-06/2023-06-13/,97.48,1.0,2023,6,MAD,97.5,308.1194230769231,321.48,2023-03-20 02:41:21,True,-0.01999999999999602,-0.020512820512816433
