City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct
Corvo Island,Portugal,1925,168.71,Várias companhias aéreas,CVU,2023-05-08,2023-05-15,http://kayak.com/flights/OPO-CVU/2023-05-08/2023-05-15/,168.71,1.0,2023,5,OPO,168.74,227.99769230769232,238.99,2023-03-20 02:40:41,True,-0.030000000000001137,-0.017778831338154045
Timişoara,Roménia,1375,227.76,Várias companhias aéreas,TSR,2023-06-08,2023-06-13,http://kayak.com/flights/OPO-TSR/2023-06-08/2023-06-13/,227.76,1.0,2023,6,OPO,227.8,441.56555555555553,501.78,2023-03-20 02:40:41,True,-0.040000000000020464,-0.01755926251098352
Bristol,Reino Unido,130,114.35,Ryanair,BRS,2023-08-15,2023-08-22,http://kayak.com/flights/OPO-BRS/2023-08-15/2023-08-22/,114.35,1.0,2023,8,OPO,114.37,114.37,114.37,2023-03-20 02:40:41,True,-0.020000000000010232,-0.017487103261353703
Glasgow,Reino Unido,180,115.29,easyJet,GLA,2023-04-24,2023-04-28,http://kayak.com/flights/OPO-GLA/2023-04-24/2023-04-28/,115.29,1.0,2023,4,OPO,115.31,235.56244444444442,177.93,2023-03-20 02:40:41,True,-0.01999999999999602,-0.017344549475323927
Naxos,Grécia,1290,408.65,Várias companhias aéreas,JNX,2023-09-12,2023-09-16,http://kayak.com/flights/OPO-JNX/2023-09-12/2023-09-16/,408.65,1.0,2023,9,OPO,408.72,771.4300000000001,771.4300000000001,2023-03-20 02:40:41,True,-0.07000000000005002,-0.01712663926405608
Mulhouse,França,1720,410.52,Várias companhias aéreas,MLH,2023-03-23,2023-03-28,http://kayak.com/flights/OPO-MLH/2023-03-23/2023-03-28/,410.52,1.0,2023,3,OPO,410.59,484.83000000000004,472.72,2023-03-20 02:40:41,True,-0.06999999999999318,-0.017048637326772007
Saragoça,Espanha,965,176.21,Ryanair,ZAZ,2023-09-04,2023-09-08,http://kayak.com/flights/OPO-ZAZ/2023-09-04/2023-09-08/,176.21,1.0,2023,9,OPO,176.24,176.24,176.24,2023-03-20 02:40:41,True,-0.030000000000001137,-0.017022242396732376
Maastricht,Holanda,145,176.21,Ryanair,MST,2023-09-22,2023-09-29,http://kayak.com/flights/OPO-MST/2023-09-22/2023-09-29/,176.21,1.0,2023,9,OPO,176.24,176.24,176.24,2023-03-20 02:40:41,True,-0.030000000000001137,-0.017022242396732376
Kristiansand,Noruega,1955,353.35,Várias companhias aéreas,KRS,2023-04-23,2023-04-29,http://kayak.com/flights/OPO-KRS/2023-04-23/2023-04-29/,353.35,1.0,2023,4,OPO,353.41,353.41,353.41,2023-03-20 02:40:41,True,-0.060000000000002274,-0.016977448289522728
Túnis,Tunísia,1295,295.24,Várias companhias aéreas,TUN,2023-08-06,2023-08-10,http://kayak.com/flights/OPO-TUN/2023-08-06/2023-08-10/,295.24,1.0,2023,8,OPO,295.29,384.80764705882353,383.23,2023-03-20 02:40:41,True,-0.05000000000001137,-0.016932507026994264
