City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct
Catânia,Itália,1050,96.09,Ryanair,CTA,2023-05-11,2023-05-16,http://kayak.com/flights/LIS-CTA/2023-05-11/2023-05-16/,96.09,1.0,2023,5,LIS,102.08,269.1273076923077,270.02,2023-03-21 02:29:05,True,-5.989999999999995,-5.867946708463945
Boston,Estados Unidos,1040,500.94,British Airways,BOS,2023-06-01,2023-06-08,http://kayak.com/flights/LIS-BOS/2023-06-01/2023-06-08/,500.94,1.0,2023,6,LIS,518.3,722.4469999999999,736.8199999999999,2023-03-21 02:29:05,True,-17.359999999999957,-3.349411537719459
Mahón,Espanha,130,84.89,easyJet,MAH,2023-10-08,2023-10-12,http://kayak.com/flights/LIS-MAH/2023-10-08/2023-10-12/,84.89,1.0,2023,10,LIS,87.38,99.56833333333333,96.1,2023-03-21 02:29:05,True,-2.489999999999995,-2.849622339208051
Cidade da Praia,Cabo Verde,705,346.09,Royal Air Maroc,RAI,2023-09-11,2023-09-16,http://kayak.com/flights/LIS-RAI/2023-09-11/2023-09-16/,346.09,1.0,2023,9,LIS,351.71,354.30499999999995,354.30499999999995,2023-03-21 02:29:05,True,-5.6200000000000045,-1.5979073668647477
Rio de Janeiro,Brasil,1585,685.64,LATAM Airlines,RIO,2023-10-20,2023-10-26,http://kayak.com/flights/LIS-RIO/2023-10-20/2023-10-26/,685.64,1.0,2023,10,LIS,696.39,841.6966666666667,863.3399999999999,2023-03-21 02:29:05,True,-10.75,-1.5436752394491593
Orlando,Estados Unidos,1600,500.01,British Airways,MCO,2023-12-07,2023-12-12,http://kayak.com/flights/LIS-MCO/2023-12-07/2023-12-12/,500.01,1.0,2023,12,LIS,507.63,526.4866666666667,509.23,2023-03-21 02:29:05,True,-7.6200000000000045,-1.5010933159978734
Phuket,Tailândia,1910,843.29,Etihad Airways,HKT,2023-09-08,2023-09-13,http://kayak.com/flights/LIS-HKT/2023-09-08/2023-09-13/,843.29,1.0,2023,9,LIS,850.09,916.2773529411764,872.18,2023-03-21 02:29:05,True,-6.800000000000068,-0.7999153030855636
Rabil,Cabo Verde,1255,664.19,Várias companhias aéreas,BVC,2023-06-06,2023-06-12,http://kayak.com/flights/LIS-BVC/2023-06-06/2023-06-12/,664.19,1.0,2023,6,LIS,667.9,793.6745454545454,782.88,2023-03-21 02:29:05,True,-3.7099999999999227,-0.5554723761041958
Jacksonville,Estados Unidos,1883,568.1,American Airlines,JAX,2023-03-20,2023-03-27,http://kayak.com/flights/LIS-JAX/2023-03-20/2023-03-27/,568.1,1.0,2023,3,LIS,570.89,1804.19775,995.45,2023-03-21 02:29:05,True,-2.7899999999999636,-0.4887106097496827
Valência,Espanha,105,32.65,Ryanair,VLC,2023-04-26,2023-05-03,http://kayak.com/flights/LIS-VLC/2023-04-26/2023-05-03/,32.65,1.0,2023,4,LIS,32.81,52.30328947368421,45.36,2023-03-21 02:29:05,True,-0.1600000000000037,-0.4876562023773352
Campeche,México,1882,1039.19,Aeromexico,CPE,2023-03-20,2023-03-27,http://kayak.com/flights/LIS-CPE/2023-03-20/2023-03-27/,1039.19,1.0,2023,3,LIS,1044.28,1044.28,1044.28,2023-03-21 02:29:05,True,-5.089999999999918,-0.487417167809392
Nice,França,155,57.84,easyJet,NCE,2023-11-10,2023-11-17,http://kayak.com/flights/LIS-NCE/2023-11-10/2023-11-17/,57.84,1.0,2023,11,LIS,58.12,58.12,58.12,2023-03-21 02:29:05,True,-0.27999999999999403,-0.4817618719889781
Bilbau,Espanha,100,37.32,Vueling,BIO,2023-04-25,2023-05-02,http://kayak.com/flights/LIS-BIO/2023-04-25/2023-05-02/,37.32,1.0,2023,4,LIS,37.5,114.75060606060606,110.94,2023-03-21 02:29:05,True,-0.17999999999999972,-0.47999999999999926
Trapani,Itália,1300,87.69,Ryanair,TPS,2023-06-10,2023-06-14,http://kayak.com/flights/LIS-TPS/2023-06-10/2023-06-14/,87.69,1.0,2023,6,LIS,88.11,162.8828947368421,145.63,2023-03-21 02:29:05,True,-0.4200000000000017,-0.4766768811712651
Veneza,Itália,195,121.27,Várias companhias aéreas,VCE,2023-09-30,2023-10-04,http://kayak.com/flights/LIS-VCE/2023-09-30/2023-10-04/,121.27,1.0,2023,9,LIS,121.85,141.355,137.49,2023-03-21 02:29:05,True,-0.5799999999999983,-0.47599507591300644
Perugia,Itália,925,163.25,Várias companhias aéreas,PEG,2023-06-02,2023-06-06,http://kayak.com/flights/LIS-PEG/2023-06-02/2023-06-06/,163.25,1.0,2023,6,LIS,164.03,237.91,274.38,2023-03-21 02:29:05,True,-0.7800000000000011,-0.47552277022495953
Brno,República Checa,2245,262.13,Várias companhias aéreas,BRQ,2023-07-06,2023-07-13,http://kayak.com/flights/LIS-BRQ/2023-07-06/2023-07-13/,262.13,1.0,2023,7,LIS,263.38,263.38,263.38,2023-03-21 02:29:05,True,-1.25,-0.47459943807426536
Burgas,Bulgária,1345,285.45,Várias companhias aéreas,BOJ,2023-04-19,2023-04-26,http://kayak.com/flights/LIS-BOJ/2023-04-19/2023-04-26/,285.45,1.0,2023,4,LIS,286.81,286.81,286.81,2023-03-21 02:29:05,True,-1.3600000000000136,-0.4741815138942204
Funchal,Portugal,105,41.98,TAP AIR PORTUGAL,FNC,2024-02-01,2024-02-07,http://kayak.com/flights/LIS-FNC/2024-02-01/2024-02-07/,41.98,1.0,2024,2,LIS,42.18,42.18,42.18,2023-03-21 02:29:05,True,-0.20000000000000284,-0.47415836889521773
Umeå,Suécia,905,233.21,Várias companhias aéreas,UME,2023-05-25,2023-05-30,http://kayak.com/flights/LIS-UME/2023-05-25/2023-05-30/,233.21,1.0,2023,5,LIS,234.32,243.93916666666667,243.84500000000003,2023-03-21 02:29:05,True,-1.1099999999999852,-0.4737111642198639
Abu Dhabi,Emirados Árabes Unidos,1125,233.21,Várias companhias aéreas,AUH,2023-09-29,2023-10-05,http://kayak.com/flights/LIS-AUH/2023-09-29/2023-10-05/,233.21,1.0,2023,9,LIS,234.32,499.1505,618.06,2023-03-21 02:29:05,True,-1.1099999999999852,-0.4737111642198639
Baltimore,Estados Unidos,1500,390.86,PLAY,BWI,2023-04-12,2023-04-16,http://kayak.com/flights/LIS-BWI/2023-04-12/2023-04-16/,390.86,1.0,2023,4,LIS,392.72,636.2944230769231,529.52,2023-03-21 02:29:05,True,-1.8600000000000136,-0.4736198818496673
"Washington, D.C.",Estados Unidos,1500,390.86,PLAY,WAS,2023-04-12,2023-04-16,http://kayak.com/flights/LIS-WAS/2023-04-12/2023-04-16/,390.86,1.0,2023,4,LIS,392.72,495.9870909090909,467.76,2023-03-21 02:29:05,True,-1.8600000000000136,-0.4736198818496673
Nador,Marrocos,1915,281.72,Várias companhias aéreas,NDR,2023-08-20,2023-08-25,http://kayak.com/flights/LIS-NDR/2023-08-20/2023-08-25/,281.72,1.0,2023,8,LIS,283.06,416.57863636363635,361.74,2023-03-21 02:29:05,True,-1.339999999999975,-0.4733978661767735
Manama,Bahrain,1485,445.9,Várias companhias aéreas,BAH,2023-05-08,2023-05-12,http://kayak.com/flights/LIS-BAH/2023-05-08/2023-05-12/,445.9,1.0,2023,5,LIS,448.02,532.5747368421053,486.35,2023-03-21 02:29:05,True,-2.1200000000000045,-0.4731931610195984
